# # iwNorthAvgTemp,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode,pickedRoofInsuThickness,extWinU,extWinSHGC,intMass,infilRate
1.775821030279999846e+01,2.057361176000000000e+02,4.031467400999999739e+01,5.624166667000000075e+01,-3.340740740999999847e+00,4.482964106419999695e+01,1.000000000000000000e+00,6.608326089999999597e-02,2.793332725199999977e+00,5.652137996999999636e-01,2.490551227400000123e+00,4.936313535999999891e-01
2.119561046740000165e+01,1.345599379000000040e+00,1.912125827999999927e+01,7.278333333000000493e+01,1.545324074000000003e+01,2.360738036580000099e+01,0.000000000000000000e+00,1.611716784999999985e-01,1.886329905400000007e+00,5.316758113999999757e-01,2.619102731099999914e+01,1.334949651000000015e-01
1.516723255409999993e+01,4.335590202000000204e+01,1.833118941000000035e+01,5.866666666999999791e+01,1.819444440000000107e-01,4.632670148169999891e+01,1.000000000000000000e+00,6.608326089999999597e-02,2.793332725199999977e+00,5.652137996999999636e-01,2.490551227400000123e+00,4.936313535999999891e-01
2.233394009719999929e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.768333333000000351e+01,-2.710648148000000202e+00,5.711793481499999814e+01,1.000000000000000000e+00,2.053467676999999880e-01,2.447822881300000031e+00,4.705406853999999917e-01,2.828492555580000101e+01,1.149323227000000058e-01
2.129007475190000065e+01,2.308420790000000125e+02,2.050251057000000117e+02,6.636666667000000075e+01,1.198657406999999964e+01,2.395711490749999939e+01,1.000000000000000000e+00,1.812738097000000104e-01,2.788042600099999824e+00,6.221297287000000509e-01,4.239743933540000143e+01,3.075719504000000160e-01
1.848807816069999888e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.995000000000000284e+01,-5.953240741000000114e+00,4.318309888919999651e+01,1.000000000000000000e+00,2.009606167000000110e-01,1.877461485900000060e+00,6.494451592000000106e-01,3.733800801350000143e+01,1.769180901999999889e-01
1.693428001310000042e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.954166666999999791e+01,6.955092592999999823e+00,3.660755919830000238e+01,1.000000000000000000e+00,9.054828839999999601e-02,1.671044895899999938e+00,4.691059322999999726e-01,2.602100498760000136e+01,2.024378648000000058e-01
1.685260183970000014e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.073333333000000067e+01,-6.783333332999999854e+00,3.515466252830000116e+01,1.000000000000000000e+00,2.693462515000000224e-01,1.990939985000000023e+00,2.907170275000000026e-01,4.974086307099999971e+01,2.354342932000000055e-01
2.452995878839999833e+01,4.670474069000000128e+01,9.621897497000000499e+01,3.305833333000000351e+01,1.229814814999999939e+01,2.304850414330000064e+01,0.000000000000000000e+00,1.842127795000000068e-01,2.563537306200000199e+00,4.116845407999999984e-01,1.409572895089999989e+01,4.710110609000000004e-01
1.553907582829999967e+01,1.228910065000000031e+02,3.655083871000000073e+01,7.131666667000000359e+01,-5.111111110999999596e+00,5.660001814750000193e+01,1.000000000000000000e+00,1.645794204999999899e-01,2.714124719099999972e+00,5.838990752999999589e-01,9.265919688800000387e+00,4.265468371000000203e-01
2.108677751929999999e+01,1.013812286999999941e+02,2.061452062000000041e+01,6.595000000000000284e+01,-8.461111110999999241e+00,5.573455666579999956e+01,1.000000000000000000e+00,2.673787978000000121e-01,1.790321176500000000e+00,3.536905242999999754e-01,4.470077756000000235e+00,2.602903541000000098e-01
2.128453669869999842e+01,4.639117690999999866e+01,7.160379949999999827e-01,8.469166667000000359e+01,4.752777777999999564e+00,3.668283792580000124e+01,1.000000000000000000e+00,1.529043194999999966e-01,2.923640025300000111e+00,6.343377901000000207e-01,2.481663975109999853e+01,2.813732613000000105e-01
2.349575084579999995e+01,1.780289530999999954e+02,4.915973554999999884e+00,7.506666497000000504e+01,1.506574099000000011e+01,2.627294788420000060e+01,0.000000000000000000e+00,2.399791528999999923e-01,1.583871200099999932e+00,5.350934926000000535e-01,3.691899473400000176e+01,4.297223176000000144e-01
2.517140834870000177e+01,7.915507798000000150e+01,7.487498468000000003e+02,4.236666667000000075e+01,1.515324073999999932e+01,2.310938611170000101e+01,0.000000000000000000e+00,1.807063792999999974e-01,1.856645229499999994e+00,6.419922227000000037e-01,3.603385025669999919e+01,4.726279859999999999e-01
2.230110511000000173e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.213333332999999925e+01,5.143981480999999967e+00,3.518216882499999798e+01,1.000000000000000000e+00,2.590670811999999934e-01,1.579627802899999933e+00,5.938639220000000440e-01,3.089980852960000135e+01,1.540066448000000088e-01
2.365187186049999823e+01,2.646885128000000122e+02,9.990668252000000393e+01,7.534999999999999432e+01,1.896249999999999858e+01,2.374990601920000088e+01,0.000000000000000000e+00,2.868067648000000025e-01,2.396574428200000106e+00,3.298799823999999936e-01,3.647588795850000309e+01,1.684160469000000049e-01
2.468617947910000154e+01,2.465311149000000057e+02,3.744862630999999737e+02,4.410000000000000142e+01,5.631944444000000161e+00,3.453489095829999656e+01,1.000000000000000000e+00,1.611716784999999985e-01,1.886329905400000007e+00,5.316758113999999757e-01,2.619102731099999914e+01,1.334949651000000015e-01
1.811920379940000103e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.271666667000000217e+01,6.322685186000000179e+00,3.317869167079999926e+01,1.000000000000000000e+00,2.795081180000000276e-01,1.833413098000000074e+00,2.571511922999999977e-01,3.811447783349999696e+01,4.784992665000000200e-01
1.887119384500000052e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.114166667000000643e+01,-5.129166666999999791e+00,3.645899297999999789e+01,1.000000000000000000e+00,2.567480825999999827e-01,2.393520682500000163e+00,5.604524529000000088e-01,4.181145222949999862e+01,3.937109730999999724e-01
2.175668410289999954e+01,1.678019288999999858e+01,3.130105200000000282e-02,7.766666666999999791e+01,2.781018518999999856e+00,3.895923120329999989e+01,1.000000000000000000e+00,2.532715312000000107e-01,2.288407657500000081e+00,3.069183032999999727e-01,1.092707622550000046e+01,2.129194889000000090e-01
2.427477850789999891e+01,1.243777893999999975e+02,8.991492752999999993e+02,2.289999999999999858e+01,8.114814815000000792e+00,2.128892733329999842e+01,1.000000000000000000e+00,1.021652868000000047e-01,2.557401735100000018e+00,4.959337730999999749e-01,4.922579661620000024e+01,2.291418584000000092e-01
1.920833386760000039e+01,6.124096845999999772e+01,1.061993630000000088e+01,7.794166667000000359e+01,1.722268517999999915e+01,2.155745231499999903e+01,0.000000000000000000e+00,1.817458750000000012e-01,1.515234653400000076e+00,4.305856014000000176e-01,1.812461595390000113e+01,3.283492170000000265e-01
2.153029561949999859e+01,1.028252188000000018e+02,5.977206370000000106e+02,3.570000000000000284e+01,1.976203703999999917e+01,2.464116133499999961e+01,1.000000000000000000e+00,1.354898428000000099e-01,2.658974437499999954e+00,5.449273313000000396e-01,3.896319838659999846e+01,2.959155607000000243e-01
1.696217177160000134e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.007500000000000284e+01,-1.038888889000000093e+00,4.431826615829999838e+01,1.000000000000000000e+00,6.467892969999999853e-02,1.919341361699999915e+00,3.256681861999999872e-01,4.006500938210000129e+01,1.505281772000000018e-01
1.938237430159999874e+01,1.637786428000000072e+01,3.900782720000000037e+00,7.930833332999999641e+01,1.322129630000000056e+01,2.605003860669999938e+01,1.000000000000000000e+00,5.049067189999999899e-02,1.986484135700000042e+00,3.867576996000000045e-01,4.884803173649999763e+01,2.197313176000000035e-01
2.014503791450000136e+01,2.245174636000000135e+02,2.731709164000000101e+02,5.239999999999999858e+01,2.161574073999999790e+00,3.313497163249999744e+01,1.000000000000000000e+00,7.476005839999999569e-02,2.631970318800000097e+00,3.911879020999999845e-01,2.190247564399999902e+00,2.450385828999999960e-01
1.900022722119999941e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.577500000000000568e+01,1.140000000000000036e+01,2.147675947999999835e+01,1.000000000000000000e+00,2.214235848999999978e-01,1.617001490200000058e+00,3.405575453999999946e-01,4.214660828000000414e+00,1.948449808999999922e-01
1.882888722430000072e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.570833333000000209e+01,3.228240741000000025e+00,3.461116544920000138e+01,1.000000000000000000e+00,2.363341794000000107e-01,2.406273371400000194e+00,4.293240520000000116e-01,1.015731940250000065e+01,1.090463183000000003e-01
2.493953441669999904e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.740833332999999783e+01,1.591111111000000022e+01,2.477014467749999937e+01,0.000000000000000000e+00,2.630778152000000092e-01,1.681990444700000031e+00,4.975174420999999847e-01,9.105432944700000419e+00,1.422968594000000031e-01
1.585965147399999964e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.039166667000000643e+01,2.384722222000000169e+00,2.315400137500000000e+01,1.000000000000000000e+00,2.782668878999999817e-01,1.540203970999999949e+00,3.671466784999999899e-01,3.977304447599999904e+00,3.681562937999999785e-01
1.932206791979999849e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.673333332999999357e+01,8.406018517999999773e+00,3.428933489920000000e+01,1.000000000000000000e+00,1.559270111000000125e-01,2.991092710799999832e+00,4.806967206000000159e-01,2.504185438460000057e+01,1.315949926999999964e-01
1.969395001099999831e+01,1.107007418999999970e+02,3.967109828999999976e+00,6.737500000000000000e+01,8.861111109999999513e-01,3.866775657419999845e+01,1.000000000000000000e+00,1.093346550000000028e-01,2.384530650199999879e+00,3.568890263999999757e-01,2.875743896639999875e+01,3.084110825999999972e-01
1.839870912510000167e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.698333332999999357e+01,2.881481481999999872e+00,3.555571214329999918e+01,1.000000000000000000e+00,2.089544695999999979e-01,2.542492182500000197e+00,3.303412651000000033e-01,2.239971875199999829e+01,2.545911055999999784e-01
1.984670742329999982e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.842499999999999716e+01,-7.920833333000000032e+00,3.051325647170000011e+01,1.000000000000000000e+00,1.938259316000000010e-01,1.978356563499999998e+00,6.050987565000000012e-01,4.862129009699999926e+01,2.232466290000000020e-01
1.845600708410000124e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.795833333000000209e+01,-1.721296296000000003e+00,3.305146967169999783e+01,1.000000000000000000e+00,2.610790538000000161e-01,1.799384425299999979e+00,6.243004199999999670e-01,2.116640267989999913e+01,4.762360099999999874e-01
1.688485825149999897e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.379166666999999791e+01,7.869444443999999983e+00,3.422532357829999938e+01,1.000000000000000000e+00,2.801244299000000271e-01,2.072282092400000053e+00,5.624169290999999626e-01,5.736770391500000343e+00,4.653427828000000210e-01
2.267752151139999839e+01,3.467439427000000052e+01,3.250760042000000016e+00,6.335833333000000067e+01,1.207175926000000032e+01,2.585862316580000098e+01,1.000000000000000000e+00,1.994019324999999898e-01,1.800890794999999933e+00,2.877738199000000052e-01,8.695951284299999529e+00,3.445884660999999904e-01
1.725841762880000019e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.898333332999999357e+01,7.310185184999999919e+00,3.221412490579999854e+01,1.000000000000000000e+00,1.902500464000000113e-01,2.040182105700000026e+00,2.708751786999999966e-01,7.396769251800000333e+00,3.437177766000000245e-01
1.211042816740000028e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.562500000000000000e+01,-7.556018519000000211e+00,4.466099287000000118e+01,1.000000000000000000e+00,9.117919879999999977e-02,2.838771003100000190e+00,3.775849693000000173e-01,4.633971750140000267e+01,4.291732368999999769e-01
1.710211906769999857e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.727500000000000568e+01,9.523611110999999241e+00,2.876867709249999905e+01,1.000000000000000000e+00,1.645794204999999899e-01,2.714124719099999972e+00,5.838990752999999589e-01,9.265919688800000387e+00,4.265468371000000203e-01
1.448205110990000044e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.790833333000000493e+01,-2.151851852000000065e+00,4.184597657420000161e+01,1.000000000000000000e+00,7.927613470000000051e-02,2.654506467800000102e+00,2.783120907000000144e-01,3.686274503699999983e+00,1.428713681000000069e-01
2.046590658910000116e+01,9.629120629999999847e-01,1.298632476000000091e+00,4.998333333000000067e+01,4.098148147999999935e+00,4.297096555579999944e+01,1.000000000000000000e+00,1.953023328999999864e-01,1.881381256300000082e+00,3.797800762999999913e-01,4.621519993929999970e+01,3.550672205000000026e-01
1.718746688910000131e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.647499999999999432e+01,1.098009258999999993e+01,1.989589486579999900e+01,1.000000000000000000e+00,2.663097345000000060e-01,2.601122584200000087e+00,3.058108489999999957e-01,2.216156090200000151e+01,3.424798233999999941e-01
1.752783727210000109e+01,1.759034402000000057e+02,3.329866660000000138e+02,5.962500000000000000e+01,-9.204629629999999452e+00,6.552383356500000389e+01,1.000000000000000000e+00,2.313370006999999895e-01,2.160094243400000114e+00,2.640031582999999848e-01,7.576064789300000157e+00,4.682267759000000029e-01
1.862733086680000127e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.840833333000000493e+01,-1.526388888999999915e+00,4.119023694420000226e+01,1.000000000000000000e+00,2.100200116000000006e-01,2.238269630900000084e+00,2.990723097999999913e-01,4.912071962129999747e+01,1.302823270000000033e-01
1.894054215579999934e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.386666667000000075e+01,-7.354166667000000324e+00,2.400169955999999871e+01,1.000000000000000000e+00,1.856935778000000092e-01,2.727883608199999976e+00,5.326709558000000122e-01,3.839101096499999954e+01,1.461465278999999895e-01
