# # iw north average temp C,iw heating energy kWh,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C
22.60573722,18.18967718,97.67744577,406.9445107,70.95,3.268518518,37.2911700467
22.112921,0,95.66227301,7.636917427,75.675,18.3087963,21.5889902442
22.69579745,36.62660855,0,0,58.74166667,-3.45462963,48.1119933783
16.97423656,32.23595348,0,0,85.53333333,-8.70462963,39.3400987492
20.88329744,3.100985618,125.3773791,848.3261691,30.95,3.225925926,21.7725491117
22.1390031,13.07430775,0,0,90.75,6.023148148,28.6960175925
20.68919327,19.24084337,73.95991887,0.112465725,94.225,5.851851852,29.8503788992
20.80737989,27.72044686,0,0,67.8,-1.499537037,39.0740424533
24.73179365,0,0,0,76.06666667,15.71759259,23.872898325
21.85749829,19.26822565,0,0,91.69166667,7.768518518,34.1209187608
24.14033143,0,0,0,93.45833333,12.13055556,23.7774725183
22.11797501,17.48020813,247.1091635,206.0655087,63.875,0.322222222,37.1965830508
21.76708573,75.98582858,0.963086363,0.548492903,84.44166667,3.560648148,58.5900362942
22.80673176,26.3219378,0,0,59.18333333,1.649074074,39.4788812967
18.30707371,27.95788145,0,0,60.73333333,-6.783333333,35.1546625283
22.81234467,38.22554415,10.57713537,1.96706066,78.34166667,8.198148148,46.4250670817
22.91299099,30.09631442,212.3260401,290.0831645,58.175,-3.789351852,42.7675127317
25.08727991,0,275.1926253,79.29018037,57.34166667,21.05370371,23.7920375
18.26126938,29.14499391,0,0,62.43333333,-5.926851852,35.66401112
21.16407686,82.55153694,13.68383543,2.151679312,69.15833333,-0.322685185,63.1261674075
23.20966567,9.597147052,36.45374624,3.118783382,97.18333333,11.2412037,32.38324474
23.15215621,0,0,0,84.99166667,10.0587963,19.6468182733
20.479764,31.37021207,0.596122668,0.223834674,80.69166667,-1.996759259,41.2779495375
22.73539843,21.30726438,109.6413059,759.1077729,56.95,2.700462963,34.1827426767
21.83110551,0,0,0,99.74166667,10.25648148,23.78843424
22.01562328,49.18065133,121.1736261,5.711467849,78.06666667,5.727314815,58.3061209258
