,f,c
2017-01-01T15:35:00Z,31.33,-0.372222222
2017-01-01T15:40:00Z,31.84,-0.088888889
2017-01-01T15:45:00Z,31.96,-0.022222222
2017-01-01T15:50:00Z,31.64,-0.2
2017-01-01T15:55:00Z,30.7,-0.722222222
2017-01-01T16:00:00Z,29.91,-1.161111111
2017-01-01T16:05:00Z,30.36,-0.911111111
2017-01-01T16:10:00Z,31.26,-0.411111111
2017-01-01T16:15:00Z,29.44,-1.422222222
2017-01-01T16:20:00Z,30.33,-0.927777778
2017-01-01T16:25:00Z,30.33,-0.927777778
2017-01-01T16:30:00Z,30.65,-0.75
2017-01-01T16:35:00Z,30.27,-0.961111111
2017-01-01T16:40:00Z,30.9,-0.611111111
2017-01-01T16:45:00Z,31.21,-0.438888889
2017-01-01T16:50:00Z,31.03,-0.538888889
2017-01-01T16:55:00Z,30.47,-0.85
2017-01-01T17:00:00Z,30.94,-0.588888889
2017-01-01T17:05:00Z,29.79,-1.227777778
2017-01-01T17:10:00Z,30.04,-1.088888889
2017-01-01T17:15:00Z,30.67,-0.738888889
2017-01-01T17:20:00Z,30.92,-0.6
2017-01-01T17:25:00Z,31.75,-0.138888889
2017-01-01T17:30:00Z,31.69,-0.172222222
2017-01-01T17:35:00Z,31.98,-0.011111111
2017-01-01T17:40:00Z,31.93,-0.038888889
2017-01-01T17:45:00Z,31.6,-0.222222222
2017-01-01T17:50:00Z,32.7,0.388888889
2017-01-01T17:55:00Z,30.45,-0.861111111
2017-01-01T18:00:00Z,32.31,0.172222222
2017-01-01T18:05:00Z,30.43,-0.872222222
2017-01-01T18:10:00Z,30.65,-0.75
2017-01-01T18:15:00Z,30.7,-0.722222222
2017-01-01T18:20:00Z,33.19,0.661111111
2017-01-01T18:25:00Z,31.66,-0.188888889
2017-01-01T18:30:00Z,31.32,-0.377777778
2017-01-01T18:35:00Z,31.75,-0.138888889
2017-01-01T18:40:00Z,30.85,-0.638888889
2017-01-01T18:45:00Z,30.96,-0.577777778
2017-01-01T18:50:00Z,31.8,-0.111111111
2017-01-01T18:55:00Z,31.66,-0.188888889
2017-01-01T19:00:00Z,31.93,-0.038888889
2017-01-01T19:05:00Z,31.17,-0.461111111
2017-01-01T19:10:00Z,30.87,-0.627777778
2017-01-01T19:15:00Z,31.1,-0.5
2017-01-01T19:20:00Z,32.4,0.222222222
2017-01-01T19:25:00Z,30.99,-0.561111111
2017-01-01T19:30:00Z,31.68,-0.177777778
2017-01-01T19:35:00Z,30.4,-0.888888889
2017-01-01T19:40:00Z,30.94,-0.588888889
2017-01-01T19:45:00Z,32.14,0.077777778
2017-01-01T19:50:00Z,31.68,-0.177777778
2017-01-01T19:55:00Z,32.14,0.077777778
2017-01-01T20:00:00Z,32.4,0.222222222
2017-01-01T20:05:00Z,32.02,0.011111111
2017-01-01T20:10:00Z,32.31,0.172222222
2017-01-01T20:15:00Z,31.59,-0.227777778
2017-01-01T20:20:00Z,32.68,0.377777778
2017-01-01T20:25:00Z,32.18,0.1
2017-01-01T20:30:00Z,32.72,0.4
2017-01-01T20:35:00Z,33.46,0.811111111
2017-01-01T20:40:00Z,31.26,-0.411111111
2017-01-01T20:45:00Z,31.33,-0.372222222
2017-01-01T20:50:00Z,31.3,-0.388888889
2017-01-01T20:55:00Z,31.37,-0.35
2017-01-01T21:00:00Z,31.5,-0.277777778
2017-01-01T21:05:00Z,31.57,-0.238888889
2017-01-01T21:10:00Z,32.07,0.038888889
2017-01-01T21:15:00Z,32.38,0.211111111
2017-01-01T21:20:00Z,31.96,-0.022222222
2017-01-01T21:25:00Z,31.57,-0.238888889
2017-01-01T21:30:00Z,31.77,-0.127777778
2017-01-01T21:35:00Z,31.87,-0.072222222
2017-01-01T21:40:00Z,31.91,-0.05
2017-01-01T21:45:00Z,31.93,-0.038888889
2017-01-01T21:50:00Z,31.91,-0.05
2017-01-01T21:55:00Z,31.89,-0.061111111
2017-01-01T22:00:00Z,32,0
2017-01-01T22:05:00Z,32.04,0.022222222
2017-01-01T22:10:00Z,32,0
2017-01-01T22:15:00Z,31.98,-0.011111111
2017-01-01T22:20:00Z,32,0
2017-01-01T22:25:00Z,31.95,-0.027777778
2017-01-01T22:30:00Z,32.05,0.027777778
2017-01-01T22:35:00Z,32.02,0.011111111
2017-01-01T22:40:00Z,32.11,0.061111111
2017-01-01T22:45:00Z,32.25,0.138888889
2017-01-01T22:50:00Z,32.41,0.227777778
2017-01-01T22:55:00Z,32.22,0.122222222
2017-01-01T23:00:00Z,32.22,0.122222222
2017-01-01T23:05:00Z,32.31,0.172222222
2017-01-01T23:10:00Z,32.54,0.3
2017-01-01T23:15:00Z,32.22,0.122222222
2017-01-01T23:20:00Z,32,0
2017-01-01T23:25:00Z,32.14,0.077777778
2017-01-01T23:30:00Z,32.05,0.027777778
2017-01-01T23:35:00Z,32.11,0.061111111
2017-01-01T23:40:00Z,32.29,0.161111111
2017-01-01T23:45:00Z,32.4,0.222222222
2017-01-01T23:50:00Z,32.47,0.261111111
2017-01-01T23:55:00Z,32.58,0.322222222
2017-01-02T00:00:00Z,32.34,0.188888889
2017-01-02T00:05:00Z,32.49,0.272222222
2017-01-02T00:10:00Z,32.47,0.261111111
2017-01-02T00:15:00Z,32.41,0.227777778
2017-01-02T00:20:00Z,32.4,0.222222222
2017-01-02T00:25:00Z,32.31,0.172222222
2017-01-02T00:30:00Z,32.5,0.277777778
