,c
01/07/17 06:00 PM,59.2158490742
01/07/17 07:00 PM,65.2269331942
01/07/17 08:00 PM,42.3902132317
01/07/17 09:00 PM,38.8204797692
01/07/17 10:00 PM,42.1290511583
01/07/17 11:00 PM,44.5568624992
01/08/17 12:00 AM,45.805386805
01/08/17 01:00 AM,47.103921065
01/08/17 02:00 AM,47.9684597225
01/08/17 03:00 AM,48.9416405117
01/08/17 04:00 AM,49.7328831017
01/08/17 05:00 AM,50.3165380558
01/08/17 06:00 AM,50.5842853242
01/08/17 07:00 AM,51.46179125
01/08/17 08:00 AM,51.55643014
01/08/17 09:00 AM,65.5847419908
01/08/17 10:00 AM,65.6028073608
01/08/17 11:00 AM,65.4525988417
01/08/17 12:00 PM,65.343639955
01/08/17 01:00 PM,65.523833565
01/08/17 02:00 PM,65.7463176392
01/08/17 03:00 PM,59.8967430092
01/08/17 04:00 PM,59.5659897225
01/08/17 05:00 PM,61.2130045358
01/08/17 06:00 PM,66.345052685
01/08/17 07:00 PM,65.3960141217
01/08/17 08:00 PM,41.5066699625
01/08/17 09:00 PM,39.2414410192
01/08/17 10:00 PM,42.5486889358
01/08/17 11:00 PM,44.7287089817
01/09/17 12:00 AM,46.4747767583
01/09/17 01:00 AM,47.3791531008
01/09/17 02:00 AM,48.0628857875
01/09/17 03:00 AM,49.0692928242
01/09/17 04:00 AM,49.2728713892
01/09/17 05:00 AM,49.7210077783
01/09/17 06:00 AM,49.560871065
01/09/17 07:00 AM,50.2133032867
01/09/17 08:00 AM,64.4950818992
01/09/17 09:00 AM,66.6334565733
01/09/17 10:00 AM,65.5989734267
01/09/17 11:00 AM,65.533083195
01/09/17 12:00 PM,65.4859395833
01/09/17 01:00 PM,62.1828425917
01/09/17 02:00 PM,47.8672106025
01/09/17 03:00 PM,47.2202799075
01/09/17 04:00 PM,46.896561945
01/09/17 05:00 PM,54.2080599075
01/09/17 06:00 PM,58.1246827308
01/09/17 07:00 PM,50.39718264
01/09/17 08:00 PM,60.52784551
01/09/17 09:00 PM,38.0035172917
01/09/17 10:00 PM,35.6847545792
01/09/17 11:00 PM,38.1242672675
01/10/17 12:00 AM,39.7319560183
01/10/17 01:00 AM,40.8741210192
01/10/17 02:00 AM,42.1578643975
01/10/17 03:00 AM,43.1390845842
01/10/17 04:00 AM,43.7388063433
01/10/17 05:00 AM,43.7478464358
01/10/17 06:00 AM,43.8212944458
01/10/17 07:00 AM,44.7517607408
01/10/17 08:00 AM,59.3068100475
01/10/17 09:00 AM,65.9174681483
01/10/17 10:00 AM,65.185739305
01/10/17 11:00 AM,51.9515493042
01/10/17 12:00 PM,52.9128649992
01/10/17 01:00 PM,46.3222612492
01/10/17 02:00 PM,51.5923412033
01/10/17 03:00 PM,48.22656676
01/10/17 04:00 PM,41.8545541333
01/10/17 05:00 PM,46.4250670817
01/10/17 06:00 PM,43.603726115
01/10/17 07:00 PM,42.5282628933
01/10/17 08:00 PM,40.2986929583
01/10/17 09:00 PM,36.3672286625
01/10/17 10:00 PM,32.7066586158
01/10/17 11:00 PM,34.0614448892
01/11/17 12:00 AM,35.5767871817
01/11/17 01:00 AM,36.2909189908
01/11/17 02:00 AM,36.1215651433
01/11/17 03:00 AM,35.6001772592
01/11/17 04:00 AM,35.5630047633
01/11/17 05:00 AM,36.0534878892
01/11/17 06:00 AM,36.5305108658
01/11/17 07:00 AM,36.93344162
01/11/17 08:00 AM,55.1803998608
01/11/17 09:00 AM,56.5516283317
01/11/17 10:00 AM,37.1401478608
01/11/17 11:00 AM,33.9829236817
01/11/17 12:00 PM,32.4030987975
01/11/17 01:00 PM,31.4592625133
01/11/17 02:00 PM,28.5262596575
01/11/17 03:00 PM,31.063014855
01/11/17 04:00 PM,31.1115562408
01/11/17 05:00 PM,32.0767139692
01/11/17 06:00 PM,32.7560105133
01/11/17 07:00 PM,33.8479772083
01/11/17 08:00 PM,41.4349854625
01/11/17 09:00 PM,32.2600382358
01/11/17 10:00 PM,31.3819870783
01/11/17 11:00 PM,31.6297330542
01/12/17 12:00 AM,31.4735317733
01/12/17 01:00 AM,30.9792557642
01/12/17 02:00 AM,28.5557196342
01/12/17 03:00 AM,26.0534395542
01/12/17 04:00 AM,24.1087703758
01/12/17 05:00 AM,22.7572413658
01/12/17 06:00 AM,22.1141055692
01/12/17 07:00 AM,21.8311185225
01/12/17 08:00 AM,21.6545876608
01/12/17 09:00 AM,21.5904497675
01/12/17 10:00 AM,21.557452315
01/12/17 11:00 AM,21.5400141342
01/12/17 12:00 PM,21.5262132175
01/12/17 01:00 PM,21.549419495
01/12/17 02:00 PM,21.5889902442
01/12/17 03:00 PM,21.6194590008
01/12/17 04:00 PM,21.6343678283
01/12/17 05:00 PM,21.6348353833
01/12/17 06:00 PM,21.6459854308
