,f,c
2017-01-01T14:00:00Z,151.032684,66.12926889
2017-01-01T14:05:00Z,146.217072,63.45392889
2017-01-01T14:10:00Z,142.97226,61.65125556
2017-01-01T14:15:00Z,143.2257,61.79205556
2017-01-01T14:20:00Z,143.695145,62.05285833
2017-01-01T14:25:00Z,144.694443,62.60802389
2017-01-01T14:30:00Z,145.302612,62.94589556
2017-01-01T14:35:00Z,144.609848,62.56102667
2017-01-01T14:40:00Z,144.724976,62.62498667
2017-01-01T14:45:00Z,144.20639,62.33688333
2017-01-01T14:50:00Z,136.196945,57.88719167
2017-01-01T14:55:00Z,129.376114,54.09784111
2017-01-01T15:00:00Z,122.986176,50.54787556
2017-01-01T15:05:00Z,117.816666,47.67592556
2017-01-01T15:10:00Z,113.16906,45.09392222
2017-01-01T15:15:00Z,109.127769,42.84876056
2017-01-01T15:20:00Z,105.395088,40.77504889
2017-01-01T15:25:00Z,102.219116,39.01062
2017-01-01T15:30:00Z,99.4649048,37.48050267
2017-01-01T15:35:00Z,96.99392,36.10773333
2017-01-01T15:40:00Z,94.74505,34.85836111
2017-01-01T15:45:00Z,92.7927246,33.77373589
2017-01-01T15:50:00Z,91.0046,32.78033333
2017-01-01T15:55:00Z,89.42821,31.90456111
2017-01-01T16:00:00Z,87.98305,31.10169444
2017-01-01T16:05:00Z,86.67318,30.37398889
2017-01-01T16:10:00Z,85.45502,29.69723333
2017-01-01T16:15:00Z,84.3727646,29.09598033
2017-01-01T16:20:00Z,83.39089,28.55049444
2017-01-01T16:25:00Z,83.36927,28.53848333
2017-01-01T16:30:00Z,88.93542,31.63078889
2017-01-01T16:35:00Z,86.0908,30.05044444
2017-01-01T16:40:00Z,85.48485,29.71380556
2017-01-01T16:45:00Z,85.4516144,29.69534133
2017-01-01T16:50:00Z,87.52523,30.84735
2017-01-01T16:55:00Z,88.6472549,31.47069717
2017-01-01T17:00:00Z,91.0521851,32.8067695
2017-01-01T17:05:00Z,91.6774139,33.15411883
2017-01-01T17:10:00Z,92.3343658,33.51909211
2017-01-01T17:15:00Z,91.20559,32.89199444
2017-01-01T17:20:00Z,88.16189,31.20105
2017-01-01T17:25:00Z,86.8449554,30.46941967
2017-01-01T17:30:00Z,85.4668045,29.70378028
2017-01-01T17:35:00Z,84.2318649,29.01770272
2017-01-01T17:40:00Z,83.13941,28.41078333
2017-01-01T17:45:00Z,82.1921158,27.88450878
2017-01-01T17:50:00Z,81.27457,27.37476111
2017-01-01T17:55:00Z,80.52326,26.95736667
2017-01-01T18:00:00Z,79.80055,26.55586111
2017-01-01T18:05:00Z,79.1494141,26.19411894
2017-01-01T18:10:00Z,78.54166,25.85647778
2017-01-01T18:15:00Z,77.98145,25.54525
2017-01-01T18:20:00Z,77.45996,25.25553333
2017-01-01T18:25:00Z,95.51259,35.28477222
2017-01-01T18:30:00Z,81.9971161,27.77617561
2017-01-01T18:35:00Z,93.99077,34.43931667
2017-01-01T18:40:00Z,92.80157,33.77865
2017-01-01T18:45:00Z,87.24642,30.69245556
2017-01-01T18:50:00Z,91.3429,32.96827778
2017-01-01T18:55:00Z,85.95509,29.97505
2017-01-01T19:00:00Z,85.40192,29.66773333
2017-01-01T19:05:00Z,84.203064,29.00170222
2017-01-01T19:10:00Z,82.98448,28.32471111
2017-01-01T19:15:00Z,81.99035,27.77241667
2017-01-01T19:20:00Z,81.08082,27.26712222
2017-01-01T19:25:00Z,80.29358,26.82976667
2017-01-01T19:30:00Z,79.57209,26.42893889
2017-01-01T19:35:00Z,78.95405,26.08558333
2017-01-01T19:40:00Z,78.31919,25.73288333
2017-01-01T19:45:00Z,77.76105,25.42280556
2017-01-01T19:50:00Z,77.29316,25.16286667
2017-01-01T19:55:00Z,91.10319,32.83510556
2017-01-01T20:00:00Z,89.2738647,31.81881372
2017-01-01T20:05:00Z,89.47041,31.92800556
2017-01-01T20:10:00Z,87.56188,30.86771111
2017-01-01T20:15:00Z,88.23509,31.24171667
2017-01-01T20:20:00Z,88.4453659,31.35853661
2017-01-01T20:25:00Z,88.3733749,31.31854161
2017-01-01T20:30:00Z,87.9128647,31.06270261
2017-01-01T20:35:00Z,87.518074,30.84337444
