# iw north average temp C,iw heating energy kWh,diffuse solar w/m2,direct solar w/m2,dew point temp C,OAH %,OAT C,wind direction from north,wind speed m/s,Mull SWT C,Heat Mode
2.250928739999999806e+01,3.113804890000000114e+01,0.000000000000000000e+00,0.000000000000000000e+00,-4.645833332999999676e+00,5.820000000000000284e+01,2.743981481999999694e+00,2.964166667000000075e+02,1.490133333000000171e+00,4.307680661919999920e+01,1.000000000000000000e+00
2.264975746000000001e+01,1.898280746000000008e+01,9.375611431999999468e+01,2.014078939000000013e+00,5.506018518999999500e+00,9.116666666999999791e+01,6.839814815000000436e+00,7.741666666999999791e+01,1.721104000000000189e+00,3.457624045499999710e+01,1.000000000000000000e+00
2.336178771999999881e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.535185184999999564e+00,6.194166666999999649e+01,1.368611111000000058e+01,1.806666666999999791e+02,2.235200000000000034e-02,2.390464842169999926e+01,0.000000000000000000e+00
2.714153422000000049e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.075601851999999958e+01,4.611666667000000075e+01,2.293981481999999872e+01,1.495000000000000000e+02,4.023360000000000269e-01,2.533619961579999824e+01,0.000000000000000000e+00
2.291201249999999945e+01,1.027808804000000009e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.792592593000000178e+00,9.665000000000000568e+01,1.029212962999999981e+01,1.558333333000000209e+02,0.000000000000000000e+00,2.808529649169999942e+01,1.000000000000000000e+00
2.546733124000000004e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.160138889000000084e+01,7.450000000000000000e+01,1.612037036999999984e+01,2.260000000000000000e+02,0.000000000000000000e+00,2.440416373580000098e+01,0.000000000000000000e+00
2.317814634000000140e+01,1.770104732000000070e+01,1.609991479999999910e+02,3.900630871999999840e+02,-3.757407407000000088e+00,6.102499999999999858e+01,3.020370370000000193e+00,3.223333332999999925e+02,3.203786670000000059e-01,3.362610528670000321e+01,1.000000000000000000e+00
2.081263188000000142e+01,2.991524894999999873e+01,0.000000000000000000e+00,0.000000000000000000e+00,-4.102777778000000097e+00,7.969166667000000359e+01,-1.038888889000000093e+00,2.450000000000000000e+02,1.262888000000000011e+00,3.959180277829999994e+01,1.000000000000000000e+00
2.091127888999999840e+01,2.847510941000000173e+01,0.000000000000000000e+00,0.000000000000000000e+00,-4.400000000000000355e+00,7.840833333000000493e+01,-1.120833332999999987e+00,2.570833332999999925e+02,1.434253333000000019e+00,3.887627921420000376e+01,1.000000000000000000e+00
2.397130456000000009e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.265324073999999932e+01,7.984999999999999432e+01,1.611759259000000100e+01,1.633333333000000209e+02,4.097866700000000334e-02,2.406311287500000162e+01,0.000000000000000000e+00
