# iwNorthAvgTemp,heatEnergy,diffuse solar w/m2,direct solar w/m2,dew point temp C,OAH %,OAT C,wind direction from north,wind speed m/s,Mull SWT C,Heat Mode,mullInsulationThickness,mullMetalConductivity,intMass,mullSurfaceArea,elecEquipDensityLow,elecEquipDensityHigh,infilRate
2.179143817728029831e+01,5.290382252547479958e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.307870369999999838e+00,9.460833332999999357e+01,1.012453703999999988e+01,1.620833333000000209e+02,4.656666670000000341e-01,3.343476926830000195e+01,1.000000000000000000e+00,3.209583952475748847e-02,3.432146396573123752e+02,9.223069813967083519e+02,1.180345093083905672e+00,1.451145140343675166e+01,3.231852567394417264e+01,1.893638914955763641e-01
2.234178025693499947e+01,3.889450057959950158e+01,0.000000000000000000e+00,0.000000000000000000e+00,-1.212500000000000000e+01,4.498333333000000067e+01,-1.760185185000000097e+00,1.996666666999999791e+02,5.848773329999999993e-01,5.812468273079999648e+01,1.000000000000000000e+00,2.549149989663098137e-01,1.463778371325867056e+02,3.609535430858327345e+02,1.516871624518970396e+00,2.033693204016606160e+01,4.077337059179863843e+01,2.603465181339091883e-01
2.254638307180200130e+01,7.093989129911459912e+00,1.271328675000000032e+02,1.913248758999999950e+02,-7.372685184999999919e+00,6.402500000000000568e+01,-1.446296295999999870e+00,3.079166667000000075e+02,2.872231999999999896e+00,4.701832129499999979e+01,1.000000000000000000e+00,4.668032472693522394e-01,2.370305248398345839e+02,6.358550739189415708e+02,1.617795504386869698e+00,9.314097886351316191e+00,2.023044038228382746e+01,4.706724224764804315e-02
2.419901859348329864e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.136527777999999955e+01,6.821666666999999507e+01,1.726203703999999917e+01,2.516666666999999791e+02,1.162304000000000004e+00,2.396525601829999985e+01,0.000000000000000000e+00,3.209583952475748847e-02,3.432146396573123752e+02,9.223069813967083519e+02,1.180345093083905672e+00,1.451145140343675166e+01,3.231852567394417264e+01,1.893638914955763641e-01
2.242558152557289830e+01,2.457195685135249974e+01,4.217488003999999790e+00,5.059697765000000125e+00,-1.368518518999999989e+00,7.159166666999999507e+01,3.267592593000000267e+00,2.521666666999999791e+02,6.146800000000000042e-01,4.796266944500000307e+01,1.000000000000000000e+00,4.668032472693522394e-01,2.370305248398345839e+02,6.358550739189415708e+02,1.617795504386869698e+00,9.314097886351316191e+00,2.023044038228382746e+01,4.706724224764804315e-02
2.286943128045369988e+01,0.000000000000000000e+00,2.092853559000000132e+02,5.490009967999999674e+01,1.243703703999999988e+01,7.520000000000000284e+01,1.683935184999999990e+01,2.080833333000000209e+02,1.888743999999999978e+00,2.160329696249999998e+01,0.000000000000000000e+00,3.209583952475748847e-02,3.432146396573123752e+02,9.223069813967083519e+02,1.180345093083905672e+00,1.451145140343675166e+01,3.231852567394417264e+01,1.893638914955763641e-01
2.396005221990609968e+01,8.170481832991010052e-01,1.285175442999999973e+02,8.050858352999998715e+02,8.487962962999999306e+00,6.442499999999999716e+01,1.515416667000000039e+01,2.522500000000000000e+02,2.078736000000000139e+00,2.363232314749999929e+01,5.833333333000000342e-01,2.549149989663098137e-01,1.463778371325867056e+02,3.609535430858327345e+02,1.516871624518970396e+00,2.033693204016606160e+01,4.077337059179863843e+01,2.603465181339091883e-01
2.438632531496289957e+01,0.000000000000000000e+00,2.043835783000000106e+02,4.614901050000000282e+00,5.549999999999999822e+00,6.868333332999999641e+01,1.109166667000000039e+01,8.183333333000000209e+01,1.162304000000000004e+00,2.109249887080000008e+01,0.000000000000000000e+00,4.668032472693522394e-01,2.370305248398345839e+02,6.358550739189415708e+02,1.617795504386869698e+00,9.314097886351316191e+00,2.023044038228382746e+01,4.706724224764804315e-02
1.902219761090960048e+01,9.473042540782600440e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.069444439999999830e-01,8.865000000000000568e+01,1.982870370000000104e+00,3.145000000000000000e+02,5.886026670000000793e-01,3.072060503249999996e+01,1.000000000000000000e+00,2.549149989663098137e-01,1.463778371325867056e+02,3.609535430858327345e+02,1.516871624518970396e+00,2.033693204016606160e+01,4.077337059179863843e+01,2.603465181339091883e-01
2.224497081147670130e+01,2.284467529203079827e+00,1.211736260999999928e+02,5.711467848999999930e+00,2.207407406999999822e+00,7.806666667000000359e+01,5.727314814999999726e+00,3.144166667000000075e+02,1.300141333000000010e+00,5.830612092580000194e+01,8.333333333000000342e-01,4.668032472693522394e-01,2.370305248398345839e+02,6.358550739189415708e+02,1.617795504386869698e+00,9.314097886351316191e+00,2.023044038228382746e+01,4.706724224764804315e-02
