# # iw north average temp C,iw heating energy kWh,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode
2.170498382999999976e+01,4.797823232999999732e+01,2.779973310999999825e+01,4.669545999999999419e-01,8.715000000000000568e+01,-1.872222221999999991e+00,5.751061305420000025e+01,1.000000000000000000e+00
2.110400197999999961e+01,2.503979391000000021e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.807500000000000284e+01,1.286574074000000012e+00,3.736491166580000112e+01,1.000000000000000000e+00
1.813265107000000143e+01,2.610210639999999671e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.170833333000000209e+01,-4.352314814999999726e+00,3.427210325330000273e+01,1.000000000000000000e+00
2.468573148000000117e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.713333332999999925e+01,1.876249999999999929e+01,2.286571990750000083e+01,0.000000000000000000e+00
1.813012471000000048e+01,2.921055680999999993e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.079166666999999791e+01,-7.502777777999999564e+00,3.599194696330000198e+01,1.000000000000000000e+00
2.209952937999999989e+01,3.148939881000000440e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.582500000000000284e+01,1.134537036999999948e+01,2.303784262920000003e+01,1.000000000000000000e+00
2.263318105000000102e+01,1.579923191999999865e+00,5.362473544000000203e+00,8.309638909999998990e-01,6.520833333000000209e+01,1.340277777999999920e+01,2.304158769999999734e+01,4.166666667000000213e-01
2.313158148000000125e+01,0.000000000000000000e+00,5.198804146999999887e+01,4.835717757000000283e+00,9.059166666999999507e+01,1.439722221999999974e+01,2.371116990830000049e+01,0.000000000000000000e+00
2.174952499000000117e+01,1.898989747999999977e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.154166666999999791e+01,3.716203703999999775e+00,3.412195020920000132e+01,1.000000000000000000e+00
2.066190373999999963e+01,2.842147111000000059e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.773333333000000067e+01,5.931481481000000500e+00,1.931196995750000056e+01,1.000000000000000000e+00
1.911723466999999843e+01,2.201816721000000143e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.025000000000000000e+01,-5.659259258999999709e+00,3.028769994329999804e+01,1.000000000000000000e+00
2.046098564000000053e+01,2.876836606000000174e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.344166667000000359e+01,-3.837499999999999911e+00,3.860311768420000078e+01,1.000000000000000000e+00
1.990202522999999957e+01,3.863535989999999742e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.329166666999999791e+01,-1.116111111000000022e+01,4.414933402919999850e+01,1.000000000000000000e+00
2.249186114000000103e+01,1.410410101999999988e+01,1.343492835999999784e+02,2.376759136000000083e+01,9.127500000000000568e+01,7.180555555999999839e+00,3.133633654169999971e+01,1.000000000000000000e+00
1.857045358999999962e+01,2.351958185000000157e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.419166667000000359e+01,-2.740277778000000275e+00,3.237630417670000327e+01,1.000000000000000000e+00
2.283766302000000081e+01,2.799691469999999960e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.206666666999999649e+01,1.246064815000000081e+01,2.222694745500000124e+01,1.000000000000000000e+00
2.164658363999999935e+01,3.751497842999999932e+01,1.370329825999999969e+02,3.908742761000000314e+02,5.912500000000000000e+01,4.351851849999999744e-01,5.348502805500000079e+01,1.000000000000000000e+00
2.412950273999999951e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.209999999999999432e+01,1.458657406999999928e+01,2.441386392080000078e+01,0.000000000000000000e+00
2.121859743999999992e+01,2.836046637000000104e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.885833333000000067e+01,-2.624537037000000073e+00,3.812426726750000228e+01,1.000000000000000000e+00
2.169627974999999864e+01,2.049299109000000030e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.834999999999999432e+01,2.313888889000000226e+00,3.522463400830000069e+01,1.000000000000000000e+00
2.360495934000000062e+01,2.965430646999999809e+00,1.202924479999999932e+02,7.209935856000000740e+02,6.965000000000000568e+01,9.612500000000000711e+00,2.555384440329999762e+01,1.000000000000000000e+00
2.264975746000000001e+01,1.898280746000000008e+01,9.375611431999999468e+01,2.014078939000000013e+00,9.116666666999999791e+01,6.839814815000000436e+00,3.457624045499999710e+01,1.000000000000000000e+00
2.010163745999999918e+01,6.419398277999999891e+01,5.336741331000000343e+01,5.127113555999999335e+02,6.741666666999999791e+01,-1.346759259000000153e+00,6.075189787080000059e+01,1.000000000000000000e+00
2.022128019000000165e+01,2.929441950000000006e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.429999999999999716e+01,-2.922685185000000185e+00,3.870774004670000323e+01,1.000000000000000000e+00
2.253482925999999864e+01,4.562297223000000201e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.288333332999999925e+01,6.824074079999999931e-01,4.399197949170000044e+01,1.000000000000000000e+00
2.108577301000000048e+01,2.521622672999999892e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.118333332999999641e+01,3.132407407000000088e+00,3.793949773579999629e+01,1.000000000000000000e+00
2.232742388000000133e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.045000000000000284e+01,7.192592592999999646e+00,2.242523590170000247e+01,0.000000000000000000e+00
1.911482833000000170e+01,1.733376597999999902e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.693333332999999641e+01,1.316203704000000085e+00,3.013938049669999941e+01,1.000000000000000000e+00
2.310139798000000155e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.719166667000000359e+01,1.245324074000000003e+01,2.309236322579999978e+01,0.000000000000000000e+00
2.199437604999999962e+01,5.709454086000000217e+01,6.101307795999999684e+01,1.899726993000000030e+00,7.063333332999999925e+01,-1.606481480000000184e-01,6.404917092579999860e+01,1.000000000000000000e+00
2.103284385999999984e+01,2.391148278000000005e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.676666666999999933e+01,2.219444444000000072e+00,3.576042841169999775e+01,1.000000000000000000e+00
2.241947404000000077e+01,1.093985746000000070e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.683333333000000209e+01,9.439814815000000081e+00,2.732911851829999961e+01,1.000000000000000000e+00
2.232074477000000101e+01,1.656611602999999988e+01,1.974410008000000118e+02,4.445315589999999588e+02,6.186666667000000075e+01,-4.629166666999999791e+00,3.209595119499999782e+01,1.000000000000000000e+00
2.280065843999999942e+01,5.990552229000000040e+01,6.647146564000000524e+01,9.555038649999999523e-01,8.188333332999999925e+01,1.835648148000000202e+00,5.291286499920000352e+01,1.000000000000000000e+00
2.095267795999999905e+01,4.451760121999999598e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.415833333000000493e+01,1.072268518999999998e+01,2.132224886999999924e+01,1.000000000000000000e+00
2.236827673000000161e+01,7.946403817999999397e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.292499999999999716e+01,6.485185184999999741e+00,3.155499198669999927e+01,1.000000000000000000e+00
2.256245790999999912e+01,7.138574816000000567e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.740833332999999783e+01,-9.384722222000000613e+00,6.634505268499999886e+01,1.000000000000000000e+00
1.936143685000000048e+01,1.585072684999999915e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.367976249999999538e+01,2.015145106999999935e+00,2.863282703750000024e+01,1.000000000000000000e+00
2.588706179000000063e+01,0.000000000000000000e+00,1.511439623000000267e+02,1.368241826000000003e+02,5.560833333000000067e+01,2.044305556000000124e+01,2.459316064829999959e+01,0.000000000000000000e+00
2.275305585999999991e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.704999999999999716e+01,1.424629630000000091e+01,2.343418128669999945e+01,0.000000000000000000e+00
1.918627363999999957e+01,4.488605517999999961e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.406666667000000359e+01,-1.179722222000000009e+01,4.812536916670000409e+01,1.000000000000000000e+00
2.095267795999999905e+01,4.451760121999999598e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.415833333000000493e+01,1.072268518999999998e+01,2.132224886999999924e+01,1.000000000000000000e+00
2.429870165000000171e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.392499999999999716e+01,1.379953704000000059e+01,2.428448101920000113e+01,0.000000000000000000e+00
2.111836638000000121e+01,2.704413768999999945e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.915833333000000493e+01,1.039351852000000020e+00,3.817358243500000015e+01,1.000000000000000000e+00
1.911482833000000170e+01,1.733376597999999902e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.693333332999999641e+01,1.316203704000000085e+00,3.013938049669999941e+01,1.000000000000000000e+00
2.091073932999999840e+01,2.647912532999999868e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.918333332999999641e+01,1.008333332999999943e+00,3.873030541749999855e+01,1.000000000000000000e+00
1.949806510999999887e+01,1.126847214999999913e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.764166667000000643e+01,3.646759258999999975e+00,2.663342996749999969e+01,1.000000000000000000e+00
1.623998553999999928e+01,7.759609946000000491e+01,3.041370308000000122e+01,1.015937030000000074e-01,8.266666666999999791e+01,-3.794444444999999888e+00,6.211313648170000334e+01,1.000000000000000000e+00
1.890808172999999925e+01,1.767575848999999977e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.761666667000000075e+01,2.027314814999999992e+00,3.074809323670000083e+01,1.000000000000000000e+00
2.297647677999999871e+01,2.313943361000000110e+01,1.757764990999999952e+02,3.137559459999999945e+01,7.278333333000000493e+01,-8.643518519999999761e-01,4.325123824079999935e+01,1.000000000000000000e+00
2.411821533999999900e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.975833332999999925e+01,1.753657407000000035e+01,2.378675092579999983e+01,0.000000000000000000e+00
1.866589649000000151e+01,2.454743265999999835e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.121666666999999507e+01,-6.497685184999999919e+00,3.229489074079999966e+01,1.000000000000000000e+00
2.116185228000000151e+01,2.065301437999999834e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.714166666999999933e+01,2.587962963000000283e+00,3.224102505580000155e+01,1.000000000000000000e+00
2.525117659000000003e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.532500000000000284e+01,1.534768518999999998e+01,2.465690138829999967e+01,0.000000000000000000e+00
2.174604736999999943e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.720833333000000209e+01,8.159722222000000968e+00,2.230840833330000095e+01,0.000000000000000000e+00
2.280298385000000039e+01,2.365863118000000043e+01,8.714849443999999323e+01,2.048172254000000247e+00,6.705833332999999641e+01,2.589351852000000065e+00,3.926455032500000186e+01,1.000000000000000000e+00
2.179151450999999895e+01,1.709345087000000163e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.375833332999999925e+01,4.805555555999999839e+00,3.184970819420000154e+01,1.000000000000000000e+00
2.286249541000000107e+01,3.476535874000000348e+01,1.144500440000000019e+01,3.446791297999999983e+02,4.776666666999999933e+01,8.892592592999999823e+00,3.124934467499999968e+01,1.000000000000000000e+00
2.278579211999999998e+01,0.000000000000000000e+00,1.530357812999999965e+02,6.433422338999999823e+00,8.096666666999999507e+01,1.438888889000000049e+01,2.457497163500000070e+01,0.000000000000000000e+00
2.379949359000000086e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.728333333000000493e+01,1.375601851999999958e+01,2.396659605170000162e+01,0.000000000000000000e+00
1.902199639000000175e+01,8.629037395999999660e+01,3.976353410000000110e+01,7.150462914999999953e+01,6.364166666999999933e+01,-2.881018518999999944e+00,5.824968620420000320e+01,1.000000000000000000e+00
2.050745417999999987e+01,3.193691241000000147e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.075000000000000000e+01,-2.998611111000000218e+00,4.111676694420000189e+01,1.000000000000000000e+00
2.267746780999999956e+01,1.876784848999999866e+01,3.589817043000000041e+01,5.221620331000000448e+00,5.286666667000000075e+01,7.741203702999999159e+00,3.404155780579999657e+01,1.000000000000000000e+00
2.046317136000000048e+01,2.717696733000000009e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.264166667000000643e+01,-3.526388888999999693e+00,3.855906865669999917e+01,1.000000000000000000e+00
2.110129080999999829e+01,2.852598838000000114e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.354166666999999791e+01,-3.185185184999999919e+00,3.799450194420000315e+01,1.000000000000000000e+00
2.108528348000000108e+01,0.000000000000000000e+00,2.422070757999999842e+02,4.157813248000000073e+01,5.508333333000000209e+01,9.988425925999999677e+00,2.126858586670000051e+01,0.000000000000000000e+00
2.281664523999999972e+01,4.148163356999999962e+01,8.857046106999999324e+01,1.214052216000000044e+02,6.239999999999999858e+01,-8.612037037000000339e+00,5.052489939920000239e+01,1.000000000000000000e+00
2.279700622000000010e+01,2.920386362999999985e+00,2.295120766999999944e+02,1.460147886000000028e+02,5.872500000000000142e+01,1.240370371000000027e+01,2.365413611090000146e+01,1.000000000000000000e+00
1.931517347000000129e+01,1.932452570999999963e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.267499999999999716e+01,-1.300925925999999899e+00,2.909221162420000084e+01,1.000000000000000000e+00
2.211797500999999855e+01,1.748020813000000118e+01,2.471091634999999656e+02,2.060655086999999810e+02,6.387500000000000000e+01,3.222222220000000026e-01,3.719658305080000105e+01,1.000000000000000000e+00
2.380399305999999982e+01,0.000000000000000000e+00,1.008791024000000078e+02,1.877913850000000195e+02,8.007500000000000284e+01,1.681157407999999975e+01,2.437978739829999952e+01,0.000000000000000000e+00
2.230019726000000091e+01,6.409173262000000371e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.239166666999999933e+01,-1.026944444999999995e+01,4.239021323170000244e+01,1.000000000000000000e+00
2.153465492000000125e+01,2.224905402999999993e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.799166667000000075e+01,1.039027777999999991e+01,3.629091899080000161e+01,1.000000000000000000e+00
2.030235301000000092e+01,3.315196991999999909e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.595000000000000284e+01,-7.550925926000000565e+00,4.183455643579999617e+01,1.000000000000000000e+00
2.256881736000000060e+01,2.248987783999999834e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.304166666999999791e+01,4.802777778000000275e+00,3.695047866670000047e+01,1.000000000000000000e+00
2.114239321999999888e+01,2.592720303000000115e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.046666666999999507e+01,3.549999999999999822e+00,3.781142017670000399e+01,1.000000000000000000e+00
2.307826194000000086e+01,1.671561815999999823e+01,1.606985175000000083e+02,7.518548366999999644e+01,8.099166667000000075e+01,5.534259258999999709e+00,3.516222900420000030e+01,1.000000000000000000e+00
2.104996136999999834e+01,6.385146970000000266e+01,1.210656770000000080e+02,4.333324600999999916e+02,5.734166667000000217e+01,-3.338888888999999693e+00,6.020328624999999789e+01,1.000000000000000000e+00
2.104905404000000146e+01,4.370516673000000019e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.577500000000000568e+01,1.140000000000000036e+01,2.147675947999999835e+01,1.000000000000000000e+00
2.288120041000000171e+01,8.280225677999998979e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.640833332999999783e+01,7.570833332999999499e+00,3.578494153670000344e+01,1.000000000000000000e+00
2.234086930999999865e+01,3.352894014999999950e+00,1.211403532000000070e+02,9.106141072000000349e+02,4.175000000000000000e+01,1.367592593000000134e+00,2.337110666829999772e+01,1.000000000000000000e+00
2.217059112000000098e+01,6.656941174000000672e+01,1.302638817999999965e+01,7.058760649999999970e-01,8.015000000000000568e+01,-5.817129630000000162e+00,5.612654268420000392e+01,1.000000000000000000e+00
2.345538618999999869e+01,0.000000000000000000e+00,1.327166144999999915e+02,8.868785927000001266e+02,4.664999999999999858e+01,1.530787036999999984e+01,2.225705487500000146e+01,0.000000000000000000e+00
2.361295429000000112e+01,3.073949138999999775e+00,7.168425451999999609e+01,1.502591776999999951e+01,8.789166667000000643e+01,1.379583333000000067e+01,2.541265021750000130e+01,1.000000000000000000e+00
2.070429279000000022e+01,3.720474251999999815e+00,1.824236261000000070e+02,3.408428346000000175e+01,8.959999999999999432e+01,6.591203703999999775e+00,2.601076399080000101e+01,1.000000000000000000e+00
2.406487178000000071e+01,0.000000000000000000e+00,9.676026425000000586e+01,4.498117005999999947e+02,6.755833332999999641e+01,1.721064815000000081e+01,2.372584357499999896e+01,0.000000000000000000e+00
