# # iwNorthAvgTemp,heatEnergy,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode,mullInsulationThickness,mullMetalConductivity,intMass,mullSurfaceArea,elecEquipDensityLow,elecEquipDensityHigh,infilRate
2.245513567745139838e+01,6.191502185793919644e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.118333332999999641e+01,3.132407407000000088e+00,3.793949773579999629e+01,1.000000000000000000e+00,2.389409843411920420e-01,1.808804703279110981e+02,6.722578353509632052e+02,1.355956908400577809e+00,1.852119842869316813e+01,3.517984090035677269e+01,1.042934270145067371e-01
2.153495326814730149e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.970000000000000284e+01,-1.254166667000000013e+00,1.775985787420000150e+01,0.000000000000000000e+00,1.722543605049527138e-01,1.691471388023948066e+02,8.101505722161481344e+02,1.654540622909480119e+00,1.586346733728087344e+01,2.746258044054502179e+01,4.910458460938112168e-02
2.432283949654830124e+01,8.382050077807500443e+00,1.343492835999999784e+02,2.376759136000000083e+01,9.127500000000000568e+01,7.180555555999999839e+00,3.133633654169999971e+01,1.000000000000000000e+00,2.084649886802565910e-01,1.227183681538905660e+02,6.380344153143696531e+02,1.634360366919016760e+00,1.030447192473382145e+01,2.756016753409882014e+01,1.437050198235255982e-01
2.214869875985050029e+01,2.568677790597229915e+01,6.385899904000000049e+01,3.778066635000000062e+00,8.552500000000000568e+01,5.504629630000000162e+00,3.509567422170000128e+01,1.000000000000000000e+00,1.268134297211613148e-03,2.414030473584625440e+02,9.226953569421157226e+02,1.529276353222271512e+00,7.994571525409757129e+00,4.305383197017386010e+01,7.875263051689015970e-02
1.989100288898579905e+01,1.031193877215079979e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.159999999999999432e+01,-8.236111109999999513e-01,3.998217884249999798e+01,1.000000000000000000e+00,2.279304494528964220e-01,2.240483801001251152e+02,7.790253919982629895e+02,1.556355358795400878e+00,1.854798146572444040e+01,4.512422417886581627e+01,2.864969714775964515e-01
1.812056062557099878e+01,1.381613640315939939e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.498333333000000067e+01,-1.760185185000000097e+00,5.812468273079999648e+01,1.000000000000000000e+00,2.445129767648846764e-01,8.705085471740670755e+01,7.503280069354968873e+02,1.403510893422154515e+00,1.537403200208526854e+01,4.081790405734460592e+01,1.426529677741889511e-02
2.189425497721920166e+01,8.423619064899920517e+00,1.202350017999999920e+02,8.349713665000000447e+02,4.373333333000000067e+01,1.127777777999999920e+01,2.219492731000000063e+01,1.000000000000000000e+00,4.921196963250554779e-01,9.117483126991410813e+01,4.915734943242795225e+02,1.282096018753124733e+00,1.816129201167400709e+01,2.154249380335307862e+01,9.019781222861962544e-02
2.700968249451490166e+01,3.385104101634940132e+00,7.311317737999999622e+01,7.999613988999999492e+02,1.859166666999999862e+01,1.083009258999999957e+01,2.210934417170000188e+01,1.000000000000000000e+00,8.363078157350323227e-02,2.745091329843532435e+02,3.734942825754494606e+02,1.290558126759037805e+00,2.317804443749013643e+01,2.664856242469689107e+01,2.331298898427036359e-01
2.206644524430319976e+01,9.435276476205450180e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.272499999999999432e+01,1.057638889000000049e+01,2.996565583750000172e+01,1.000000000000000000e+00,4.888455593607948790e-01,1.236404150191878557e+02,2.384515636688672089e+02,1.659444949576793782e+00,7.585496905029613934e+00,3.616674313374070948e+01,1.628360202589276551e-01
2.035820466541240137e+01,5.280669814280149588e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.415833333000000493e+01,1.072268518999999998e+01,2.132224886999999924e+01,1.000000000000000000e+00,2.529581128284159042e-01,2.446103807111416018e+02,7.933967561690867569e+02,1.239485112097739705e+00,6.394312541518563542e+00,3.160172094740468651e+01,4.345872263593475449e-02
