iw heating energy kWh,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C
18.18967718,97.67744577,406.9445107,70.95,3.268518518,37.2911700467
0,95.66227301,7.636917427,75.675,18.3087963,21.5889902442
36.62660855,0,0,58.74166667,-3.45462963,48.1119933783
32.23595348,0,0,85.53333333,-8.70462963,39.3400987492
3.100985618,125.3773791,848.3261691,30.95,3.225925926,21.7725491117
13.07430775,0,0,90.75,6.023148148,28.6960175925
19.24084337,73.95991887,0.112465725,94.225,5.851851852,29.8503788992
27.72044686,0,0,67.8,-1.499537037,39.0740424533
0,0,0,76.06666667,15.71759259,23.872898325
19.26822565,0,0,91.69166667,7.768518518,34.1209187608
0,0,0,93.45833333,12.13055556,23.7774725183
17.48020813,247.1091635,206.0655087,63.875,0.322222222,37.1965830508
75.98582858,0.963086363,0.548492903,84.44166667,3.560648148,58.5900362942
26.3219378,0,0,59.18333333,1.649074074,39.4788812967
27.95788145,0,0,60.73333333,-6.783333333,35.1546625283
38.22554415,10.57713537,1.96706066,78.34166667,8.198148148,46.4250670817
30.09631442,212.3260401,290.0831645,58.175,-3.789351852,42.7675127317
0,275.1926253,79.29018037,57.34166667,21.05370371,23.7920375
29.14499391,0,0,62.43333333,-5.926851852,35.66401112
82.55153694,13.68383543,2.151679312,69.15833333,-0.322685185,63.1261674075
9.597147052,36.45374624,3.118783382,97.18333333,11.2412037,32.38324474
0,0,0,84.99166667,10.0587963,19.6468182733
31.37021207,0.596122668,0.223834674,80.69166667,-1.996759259,41.2779495375
21.30726438,109.6413059,759.1077729,56.95,2.700462963,34.1827426767
0,0,0,99.74166667,10.25648148,23.78843424
49.18065133,121.1736261,5.711467849,78.06666667,5.727314815,58.3061209258
67.52114643,65.9423431,1.764527304,64.05833333,-4.253240741,65.4520886567
17.13751921,0,0,96.30833333,6.773148148,32.2820615008
20.55176593,165.7319399,12.0043523,71.3,-1.228703704,41.7155715742
38.07288167,0,0,96.16666667,0.413425926,29.3735754475
22.40738542,243.5318444,509.0891428,44.23333333,4.818518519,26.4798651058
3.731635853,274.4959801,440.7494246,44.975,3.786574074,28.1998368658
27.61944578,0,0,82.88333333,-4.018981482,36.4240757183
76.3486689,55.92498324,5.854388927,74.40833333,-1.946296296,56.7791751383
35.31663085,12.67542511,316.410208,54.59166667,3.560648148,41.8822417133
16.82966208,0,0,58.74166667,6.827777778,31.7673884533
39.97231413,58.37402204,3.85617364,75.175,8.996296297,53.0537595833
0,303.0543688,418.926351,52.325,19.74768518,12.3796107267
21.80459323,61.47882205,0.594414261,86.03333333,4.689814815,36.3361175917
0.482032277,0.80353061,0.263742148,85.725,-4.445370371,14.9055195292
39.73974494,49.1400772,0.965103578,98.14166667,6.945370371,40.4627323525
3.796925358,0,0,61.90833333,9.14212963,22.0556539775
