heatEnergy,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,pickedRoofInsuThickness,extWinU,extWinSHGC,infilRate,mullSurfaceMetalThickness
42.6691980624,0,0,45.275,-0.673611111,56.3383912492,0.2651442905,2.0463959518,0.3395103684,0.2407188857,0.0077056949
9.2432673351,0,0,80.16666667,2.905092593,31.9514763742,0.1036633618,2.7508916269,0.287795651,0.1719100686,0.0081768479
11.6634712042,0,0,89.90833333,7.268518519,33.809411805,0.1824093626,2.6689787983,0.5449239803,0.4608202833,0.0089656112
44.7974341059,65.8520027,41.7896098,60.51666667,7.643518519,59.53053963,0.1065019322,2.3273213344,0.580756098,0.3962649945,0.0010140309
0.5579765911,187.5649233,4.070443142,61.8,11.93194444,27.7262781517,0.1390057198,2.4357785438,0.3511274533,0.2514594028,0.0058061796
0,0,0,84.99166667,11.13055556,30.4204767733,0.1479019942,1.6987243064,0.5959533116,0.1539399185,0.0055124488
17.247623051,138.6979321,1.422046521,39.48333333,5.558333333,31.202532175,0.1160327042,2.5909210993,0.3277698915,0.4794230294,0.0038573647
5.7626941888,138.6963099,626.0060863,52.63333333,-0.368518519,37.4387028658,0.2720236873,2.161996191,0.3555163601,0.4372820063,0.0031155357
17.5293754602,40.91836945,1.384271228,74.93333333,-0.274074074,43.8528576383,0.0725537778,2.0557881392,0.6497020868,0.4478813687,0.0094322901
0,87.87488597,320.4690675,36.2,19.19259259,24.7665243608,0.1473171026,2.9297649298,0.410011491,0.4276556645,0.0031678866
16.0843683971,0,0,90.75,-2.998611111,41.1167669442,0.0798719588,2.166303826,0.5428247558,0.3956706878,0.0083150629
35.4437490091,88.7493601,2.868686432,68.16666667,0.524074074,50.517471575,0.0901648023,2.8615812941,0.4650655188,0.349152043,0.0072751786
19.3626914014,23.39461127,0.140723631,95.64166667,5.62037037,38.9975887033,0.0957035126,2.4825757231,0.3869036894,0.2252049411,0.0064289513
15.7295831971,89.62813157,103.5470059,70.25833333,1.5375,37.9604250742,0.084209952,2.2317078265,0.439317931,0.175042645,0.007459069
23.1180241906,230.9763086,375.9379425,54.55,-6.003703704,38.9735680808,0.1690747577,2.8499179319,0.3231970762,0.3538143935,0.0056997028
28.8230104785,2.289785766,4.567190596,66.575,-5.702777778,34.8987335225,0.2900150006,1.9576044157,0.5419019767,0.3752418585,0.0019902155
20.5972680276,72.83905382,7.111055725,58.14166667,0.364814815,41.73396574,0.1496861736,2.1286354325,0.507931076,0.2530652719,0.0097485878
0,322.6407274,147.4765862,54.85,17.84305556,11.078537485,0.2858077545,2.4168088393,0.2945633348,0.4072575779,0.00197739
19.4871856562,59.91211803,1.686390588,75.48333333,4.694444444,30.7377277092,0.1554956833,2.8836372637,0.3122387961,0.2865979866,0.0027226609
36.6665107823,170.0279815,112.9678731,71.525,0.843055556,59.9752607858,0.084209952,2.2317078265,0.439317931,0.175042645,0.007459069
0,0,0,84.325,13.05601852,22.36650439,0.159829016,2.7183834095,0.3796942163,0.1888030131,0.0068969145
13.759418367,0,0,64.01666667,-1.883796296,35.9326038233,0.189902561,2.003287552,0.4316568632,0.2360880289,0.0019452346
7.7759772882,0,0,88.75833333,10.20509259,37.4617699317,0.1408154853,1.7199201393,0.2617302659,0.1945743055,0.0069185071
6.2411358256,0,0,78.79166667,9.735648148,28.2405412683,0.0798719588,2.166303826,0.5428247558,0.3956706878,0.0083150629
0,0,0,96.24166667,14.79814815,22.577502315,0.2491597697,2.3081144832,0.4765768841,0.4398801969,0.0075188111
7.9275169239,0,0,90.475,6.687037037,33.0670615225,0.2405195654,1.9507336021,0.5393217039,0.430239146,0.0079363225
9.1188583694,0,0,61.94166667,2.418518518,28.1592710842,0.1331018825,2.4101682926,0.5694820686,0.4043751902,0.0087418415
13.2460421924,146.7895547,41.78667616,84.44166667,10.15648148,31.4012512033,0.11533414,2.2443138994,0.2847351956,0.3137100895,0.005398142
12.6188818751,0,0,57.55,-3.625462963,29.7938066858,0.1331018825,2.4101682926,0.5694820686,0.4043751902,0.0087418415
2.0322590633,0,0,99.35,-2.433333333,16.8027500267,0.1520368177,2.7896554231,0.2518814919,0.188217076,0.0097047969
11.1183085386,18.40994715,251.6820644,60.05,9.367129629,32.1877904817,0.2255629064,2.8667999835,0.6446778216,0.2840674047,0.0073757533
3.7274997984,2.417595195,0.694242117,77.65,9.584722222,21.2463060742,0.2577309507,2.8986572253,0.3488319197,0.30566496,0.00888154
11.2988047495,0,0,68.03333333,-4.272685185,34.7454919275,0.1316003457,1.7934022253,0.4215203937,0.2185667977,0.0023183399
12.6750723713,90.07836764,871.5564006,54.09166667,-3.167592593,32.5735099717,0.2875547143,2.8143674239,0.6164498579,0.3459828818,0.0074905607
10.2319443664,0,0,84.2,2.985185185,37.069484235,0.2173562762,1.9056679183,0.4005439873,0.3468247003,0.0077996314
0,255.8235644,231.2462821,45.69166667,16.08842593,23.07469384,0.2666790024,1.8938870293,0.3073022017,0.4595226514,0.0038287953
39.4984223828,131.8671504,13.5818905,73.89166667,-1.704166667,60.7209558342,0.2173562762,1.9056679183,0.4005439873,0.3468247003,0.0077996314
6.1831388015,0,0,69.775,-4.343981482,23.1424444633,0.2900150006,1.9576044157,0.5419019767,0.3752418585,0.0019902155
30.715291805,0,0,60.68333333,-4.880092593,32.8133847325,0.2424355488,2.7824751537,0.4869164702,0.3101399276,0.0048603176
0,82.837853,0.980954741,90.49166667,13.61574074,13.5431407273,0.0969400686,2.4006735218,0.5466665642,0.2801721037,0.0036807811
7.4506394336,0,0,94.80833333,8.289351852,30.5620296308,0.1390057198,2.4357785438,0.3511274533,0.2514594028,0.0058061796
0,18.5575718,331.7324158,40.84166667,17.43472222,23.9033087775,0.2103445481,1.6382716026,0.2555401492,0.3431061689,0.0057853769
0,0,0,81.04166667,10.80787037,30.9092740458,0.228322412,2.8350940628,0.6473535333,0.2095632169,0.0037216841
15.3878229106,147.1800286,277.7808072,78.35416667,0.092129727,40.1340028825,0.1943249366,2.0915347722,0.3461284906,0.3783894221,0.0028959948
7.2432145314,0,0,79.34166667,3.474074074,28.14855118,0.1520368177,2.7896554231,0.2518814919,0.188217076,0.0097047969
2.8570997098,109.065738,855.9136994,50.1,7.386574074,23.5430708183,0.299657144,2.0269186718,0.4899297076,0.2196395052,0.0055691039
0,0,0,82.725,10.57638889,29.9656558375,0.1429466263,2.8057906454,0.2549607063,0.2235632538,0.0073014114
0,0,0,79.40833333,15.59444444,24.3944984267,0.2193405134,2.5041920167,0.524830851,0.3498224467,0.0054307517
0,285.7599318,410.8589601,67.06666667,17.41481482,23.5616240358,0.1291949568,2.6098808855,0.4779707675,0.4874708836,0.0011780493
50.0951069572,5.097707539,11.16444658,66.6,-6.125,60.2136400467,0.0963430825,2.7288930252,0.5061675144,0.1744046018,0.0025762507
8.4243622935,0,0,57.55,-3.625462963,29.7938066858,0.2134960601,2.2806751513,0.481878135,0.350811738,0.0041001527
18.3438475408,0,0,70.2,-7.60787037,42.7947474533,0.0963430825,2.7288930252,0.5061675144,0.1744046018,0.0025762507
10.1974091961,0,0,75.70833333,-7.090740741,36.2827273975,0.076739028,2.3693132362,0.5440229077,0.3393678434,0.0041292491
7.6979799771,0,0,57.225,-0.7,31.9914504392,0.2545445805,2.1448732048,0.4117879861,0.4923521396,0.0023510221
40.3990113857,66.47146564,0.955503865,81.88333333,1.835648148,52.9128649992,0.0626734374,2.9305523608,0.4043564946,0.4865818795,0.0051678386
13.3538798783,98.15626777,7.770804033,94.75,4.230555556,38.2788872208,0.2569019956,1.5906627903,0.2814434591,0.260016929,0.0046585411
20.1570397803,0,0,58.2,2.743981482,43.0768066192,0.0558596901,1.5222882304,0.6039476169,0.4962532129,0.0018522797
11.6392741261,0,0,91.39166667,2.980555556,36.0389123292,0.2800270231,2.9039779842,0.4900881632,0.3337881632,0.0092892915
2.3753766313,125.7035796,846.9839081,25.70833333,6.759722222,20.0897185417,0.228322412,2.8350940628,0.6473535333,0.2095632169,0.0037216841
14.0813714854,0,0,83.69166667,1.968518518,36.4512455958,0.082989647,1.936115762,0.2630518011,0.4744764179,0.0044438516
0,181.4300793,721.1147838,36.88333333,11.86944445,22.6988930725,0.0914627928,1.7069024382,0.3249353102,0.2776184238,0.0065284995
1.286805419,0,0,91.175,7.818518518,22.6881224758,0.2651442905,2.0463959518,0.3395103684,0.2407188857,0.0077056949
0,223.3478322,84.94460101,61.025,15.85925926,22.6566317358,0.2008019444,2.2299989522,0.5885490383,0.4345182706,0.0059933934
10.8243164466,0,0,76.11666667,-0.662962963,35.9061204683,0.275782136,1.7515879552,0.3887782918,0.1599560667,0.0040109846
0,0,0,82.075,13.06898148,23.4734547867,0.1429466263,2.8057906454,0.2549607063,0.2235632538,0.0073014114
10.3657185973,0,0,76.91666667,1.531481482,35.5241242325,0.2491597697,2.3081144832,0.4765768841,0.4398801969,0.0075188111
0,0,0,82.35,10.34907407,29.1005414308,0.2491597697,2.3081144832,0.4765768841,0.4398801969,0.0075188111
6.2268232631,80.37815594,856.9071379,39.75833333,1.678703704,24.0833202642,0.1321955229,2.1767214958,0.4130609759,0.4520790529,0.0024753915
14.7694453968,0,0,82.88333333,-4.018981482,36.4240757183,0.1814025611,2.4722990221,0.2798564866,0.3185795848,0.0062199728
0,91.92207793,703.9859943,50.89166667,12.9125,29.743279225,0.2103445481,1.6382716026,0.2555401492,0.3431061689,0.0057853769
21.4484641257,0,0,69.79166667,0.770833333,48.346077685,0.127540688,2.7323343417,0.4834396861,0.2929590013,0.0085901002
44.5778308552,52.81393832,9.105839945,74.39166667,-3.259259259,65.86411676,0.2910890658,1.516740746,0.5778694169,0.359989618,0.0072124645
0,152.3355402,687.5028577,43.93333333,15.87546296,24.5063034575,0.1739930845,2.4530146312,0.5919743786,0.2636233723,0.00715471
1.3209866118,0,0,93.26666667,1.222222222,19.2389294292,0.2929921838,2.1083747267,0.4802946833,0.3822728999,0.0094168574
20.0068046149,0,0,72.8,10.34722222,40.2986929583,0.1614373068,2.6729368741,0.4369201974,0.2415810558,0.004729463
0,80.41502427,0.257197366,97.99166788,12.22546274,37.4876766192,0.2449963944,1.5728661538,0.4512010378,0.4257050135,0.0013498141
0,255.8235644,231.2462821,45.69166667,16.08842593,23.07469384,0.1773332863,2.2230947305,0.6065635473,0.2730909398,0.0056723625
14.1067865026,0,0,96.86666667,6.606944444,33.034614375,0.0821464579,2.8710469068,0.5865011502,0.499890693,0.0083870462
3.8510960261,0,0,94.89166667,0.897222222,23.3828099217,0.299657144,2.0269186718,0.4899297076,0.2196395052,0.0055691039
11.3402087857,0,0,90.475,6.687037037,33.0670615225,0.0610817072,2.6487461374,0.2649872525,0.376509732,0.0097774149
18.3469466088,0,0,64.79166667,-11.6837963,46.4747767583,0.1987032217,2.0649007212,0.2757837605,0.3296453514,0.0017665548
11.2604457925,160.4486901,24.37640044,82.73333333,5.510648148,34.2617168608,0.1861410392,2.3356728513,0.4484031174,0.4431282102,0.0033562151
11.5158608638,1.253431466,4.509243103,54.18333333,-2.874074074,29.5919591792,0.190704353,2.7728408822,0.6218904044,0.4408168836,0.0021246664
16.8089709325,0,0,67.35833333,-11.25787037,42.1290511583,0.1473171026,2.9297649298,0.410011491,0.4276556645,0.0031678866
0,81.32915885,6.456659667,80.99166667,16.87962963,21.5400141342,0.2299314654,2.6385029846,0.3393082861,0.2621391286,0.0041880221
20.1413218029,180.8572387,127.9526047,64.18333333,-0.958796296,41.0722595825,0.0547661931,2.3023223619,0.3960346169,0.4649117244,0.0099031411
9.5394878673,0,0,47.03333333,-2.508333333,35.6847545792,0.2933432035,2.654956835,0.5110764829,0.2495540839,0.0089029958
17.5446353157,49.99208789,39.70197301,49.10833333,4.368055556,40.5520979617,0.2794363965,2.032598361,0.4846956072,0.4036395351,0.0022775835
0,0,0,64.93333333,19.3787037,22.85074537,0.1581491048,1.8297033323,0.3759013899,0.4190082266,0.0025059095
7.8466524073,189.7205992,502.4588536,56.71666667,1.65462963,26.8496035508,0.0626734374,2.9305523608,0.4043564946,0.4865818795,0.0051678386
32.106941354,0,0,80.825,-3.959722222,36.5567453483,0.1363650325,1.6018600049,0.5975970109,0.4142549998,0.0064795343
2.6808894546,0,0,58.1,2.461574074,19.9338095458,0.2686228791,2.0762093785,0.5846887193,0.4119494077,0.0014186539
3.6236729839,0,0,93.61666667,1.701388889,21.6593155425,0.2538855855,1.6700789957,0.4830343844,0.4528343034,0.003008679
6.1746586826,0,0,89.675,3.940277778,32.098956495,0.2770965057,1.6491367493,0.3160483479,0.4557008444,0.0032664486
15.2154050986,0,0,75.96666667,-1.099537037,40.723791805,0.1745056051,2.3915018489,0.3307410617,0.3347630073,0.0071021822
10.869554839,0,0,90.3,6.8875,33.62831369,0.1681561239,2.3743821268,0.5218140185,0.2089500165,0.0096162009
11.058356504,147.1180909,277.5978241,69.41666667,1.386111111,32.5683705225,0.2593325977,2.6948060747,0.4465256102,0.2016321352,0.0013079143
43.1336217258,36.22397448,9.610844885,93.64166667,1.806944445,62.8727127308,0.1759276757,2.6017390938,0.2668552343,0.4198175055,0.0035032309
15.9705016733,105.412062,751.7955736,63.55,-5.039351852,32.4449350467,0.1011337094,2.9112209031,0.3572416743,0.1966982398,0.005343813
17.2330413421,83.30441762,4.64212337,70.475,4.025462963,36.9241626575,0.2605388654,1.7681035387,0.6382010753,0.3904676095,0.0098514949
0,9.216009155,76.10859641,81.53333333,12.72824074,17.0118502592,0.221005974,2.4878431481,0.3515204262,0.1694029747,0.004215781
7.5990660982,0,0,63.68333333,-0.964351852,34.42033045,0.2631323316,2.0072650231,0.4675270411,0.3838020839,0.0039957573
0,0,0,55.775,11.56574074,23.2282108533,0.1255858099,2.9731736511,0.5016941292,0.3047159322,0.0036061444
41.3214151412,19.72949087,852.8281645,54.93333333,-8.954166667,61.2130045358,0.2531690826,2.5897890833,0.3297903969,0.2889003302,0.0030823469
14.1372738236,19.37681274,0.530552678,97.08333333,7.216666667,33.3828305508,0.1658110718,2.8426967952,0.2509080272,0.4540378712,0.0083372997
9.5708931684,160.6985175,75.18548367,80.99166667,5.534259259,35.1622290042,0.1759276757,2.6017390938,0.2668552343,0.4198175055,0.0035032309
25.3694182196,0,0,79.3,-12.59583334,51.55643014,0.0757516594,2.7229216762,0.5590025217,0.1530097214,0.009080901
0,0,0,76.74166667,14.86435185,23.7609627217,0.0881973519,2.4439595679,0.4402446795,0.2121163083,0.0023257762
13.5009548515,0,0,84.3,-2.922685185,38.7077400467,0.2531690826,2.5897890833,0.3297903969,0.2889003302,0.0030823469
49.3784356321,28.34853988,75.90206062,61.50833333,-8.639351852,63.1811918983,0.2052578329,1.9150276809,0.3981083065,0.3482821091,0.002055121
27.2978082822,213.4922757,49.12721027,63.65833333,-4.138425926,46.8641616667,0.1773332863,2.2230947305,0.6065635473,0.2730909398,0.0056723625
38.1814118196,94.75119337,21.41899941,74.61666667,-5.143981482,51.2367803708,0.2258373519,1.5785328743,0.3455013102,0.4714426966,0.0058666607
12.8624913328,160.999148,390.0630872,61.025,3.02037037,33.6261052867,0.1464816249,2.9178628389,0.6355746254,0.4106890232,0.0050475471
30.9242827398,18.68992956,0.190476473,86.975,0.664351852,42.1337133333,0.0661106418,2.998730563,0.5726834778,0.4894931961,0.0049589683
0,0,0,43.96666667,13.5287037,22.5085620558,0.1882047483,2.2704256824,0.2868222204,0.4237735799,0.0033858016
3.9517649392,0,0,94.04166667,11.12685185,23.006028745,0.1703908839,1.7302130568,0.3850388935,0.3298212747,0.0036264412
15.7770217284,67.78657518,2.225033594,84.05833333,-0.015277778,41.74057426,0.2341035721,1.978150025,0.5572125878,0.4025690233,0.0022084709
17.0476512491,0,0,53.01666667,-1.672685185,39.12734949,0.2569019956,1.5906627903,0.2814434591,0.260016929,0.0046585411
15.8859608145,122.3932796,20.60087578,59.70833333,0.947685185,37.7126041533,0.2067970545,1.9891513241,0.6002222249,0.2206903509,0.006783691
17.5795330053,0,0,79.69166667,-1.038888889,39.5918027783,0.082989647,1.936115762,0.2630518011,0.4744764179,0.0044438516
10.8608998372,0,0,56.35833333,-4.567592593,31.5157141475,0.1957415545,1.9927084192,0.5226300047,0.3745547816,0.008504137
11.1862868737,0,0,79.025,-1.025,32.71643467,0.1869589657,2.6149261268,0.4083546747,0.3259681534,0.0031303169
16.4941927348,0,0,89.51666667,-3.18287037,41.6095305558,0.269185039,2.8263238394,0.6439932127,0.4091038635,0.0098255002
7.2967211289,0,0,65.81666667,2.324537037,28.8280301033,0.2228339697,1.5688277786,0.3544752462,0.3409760606,0.0024290599
0,0,0,69.7,17.68842593,23.7056076283,0.0969400686,2.4006735218,0.5466665642,0.2801721037,0.0036807811
1.7129865134,0,0,68.48333333,9.205555556,19.5733150092,0.2405195654,1.9507336021,0.5393217039,0.430239146,0.0079363225
0,82.837853,0.980954741,90.49166667,13.61574074,13.5431407273,0.2023000721,2.8857894872,0.3604576099,0.4590633164,0.0075421606
46.6224574168,9.560734493,3.702725836,85.15,-5.233796296,61.1104860642,0.2872623097,2.6786375846,0.2976688696,0.276607219,0.00460769
37.1988572685,125.7894456,33.82737228,78.18333333,-3.603240741,60.1805877775,0.0619123565,2.3625709697,0.4553432164,0.2855114066,0.0044978737
14.090633198,5.752381583,0.732432767,77.45,-2.02037037,37.7739971183,0.0963430825,2.7288930252,0.5061675144,0.1744046018,0.0025762507
0,0,0,69.45,17.38657407,23.8112821958,0.2502750102,2.8757992638,0.4440933886,0.1796310133,0.0068110155
18.108287706,0,0,54.26666667,-1.145833333,30.4058529583,0.0758789725,2.4070728834,0.2900681514,0.300150501,0.0021015262
11.2081365661,0,0,98.35,2.313888889,35.2246340083,0.1806848346,2.8042865921,0.4949386326,0.2980543919,0.0037991075
0,97.37270349,5.630763201,47.81666667,18.74444444,23.5619083342,0.093546125,2.1938857408,0.4715651877,0.2433378601,0.0025463433
0,0,0,84.75833333,12.48148148,19.5549254633,0.2569019956,1.5906627903,0.2814434591,0.260016929,0.0046585411
