Date/Time,EMS:IW North Zone Average Temperature [C](TimeStep),EMS:IW North Zone Average Temperature [C](Hourly),EMS:IW Calculated Heating Demand [KW](TimeStep),EMS:IW Calculated Heating Energy [KWH](Hourly),TEMPHWLOOP SUPPLY SIDE OUTLET:System Node Temperature [C](TimeStep),TEMPHWLOOP DEMAND SIDE INLET BRANCH PIPE OUTLET:System Node Temperature [C](TimeStep) 
 01/01  05:20:00,19.7098772834,,15.5976534553,,38.45281389,38.1012670577
 01/01  05:25:00,19.691329472,,16.5745885778,,39.65068389,38.7931803695
 01/01  05:30:00,19.6759846061,,16.0993165501,,38.126725,38.7686269165
 01/01  05:35:00,19.6632906408,,15.1558832902,,37.914645,38.2659565987
 01/01  05:40:00,19.6556697976,,14.7283907654,,37.51236667,37.8806150615
 01/01  05:45:00,19.6403822536,,15.1454412753,,38.27029778,37.9310135006
 01/01  05:50:00,19.6220967813,,15.8329947251,,38.61201389,38.2851417798
 01/01  05:55:00,19.6052817651,,16.7944777157,,39.68834333,38.9140616298
 01/01  06:00:00,19.5977555244,19.6750467334,16.3345625965,15.5297528521,38.26391444,38.8732608608
 01/01  06:05:00,19.5927366538,,15.3217548577,,37.92726722,38.3439656024
 01/01  06:10:00,19.5851335689,,14.9950255973,,37.69695283,37.9819713005
 01/01  06:15:00,19.5728235197,,15.3819096065,,38.35087222,38.0468962601
 01/01  06:20:00,19.5527487354,,15.9652300501,,38.59315667,38.3395721869
 01/01  06:25:00,19.5321008965,,16.7653750426,,39.55098056,38.8747849019
 01/01  06:30:00,19.5134350356,,16.8528693328,,38.96245333,39.091597429
 01/01  06:35:00,19.5037734274,,15.8810525876,,38.10767278,38.6776850108
 01/01  06:40:00,19.4892051844,,15.1170675402,,37.57735,38.0995939181
 01/01  06:45:00,19.4751878309,,15.5134919527,,38.50966667,38.116158557
 01/01  06:50:00,19.4545568836,,16.3537289964,,38.88774444,38.5198538136
 01/01  06:55:00,19.4327282896,,17.434301813,,40.065545,39.214756513
 01/01  07:00:00,19.4198675204,19.5103581288,16.9516120927,16.0444516225,38.60093,39.2086549842
