Date/Time,EMS:IW North Zone Average Temperature [C](TimeStep),CMU DISTRICTHEATING:District Heating Hot Water Energy [J](Hourly) 
 01/05  15:00:00,21.2774648358629,196399332.769608 
 01/05  16:00:00,21.3661482611453,196216810.29174 
 01/05  17:00:00,21.4362505718862,194775716.217611 
 01/05  18:00:00,21.5105558625118,194959127.709283 
 01/05  19:00:00,21.5603188293211,196233189.630934 
 01/05  20:00:00,21.6030391881299,196697066.804583 
 01/05  21:00:00,21.6359869883904,181986470.773474 
 01/05  22:00:00,21.6687797028204,0.0 
 01/05  23:00:00,21.6518563754995,0.0 
 01/05  24:00:00,21.5932791751338,0.0 
 01/06  01:00:00,21.4480411313826,0.0 
 01/06  02:00:00,21.2319903713186,0.0 
 01/06  03:00:00,20.9706343680832,0.0 
 01/06  04:00:00,20.6802883085174,0.0 
 01/06  05:00:00,20.3540949287358,561620692.689646 
 01/06  06:00:00,20.1033624329493,404001073.644498 
 01/06  07:00:00,19.9559383189982,277577305.724406 
 01/06  08:00:00,19.865906986394,220439670.804058 
 01/06  09:00:00,19.770818421843,205156318.612384 
 01/06  10:00:00,19.70908259447,203598568.150817 
 01/06  11:00:00,19.7982518002211,203819945.543873 
 01/06  12:00:00,19.9377478678752,201890306.746763 
 01/06  13:00:00,20.149341154802,197953585.855952 
 01/06  14:00:00,20.4819679167868,194764289.303885 
 01/06  15:00:00,21.0353539324907,192567067.845929 
 01/06  16:00:00,21.4131913767292,191390173.8941 
 01/06  17:00:00,21.5674258496974,193221985.462061 
 01/06  18:00:00,21.7304204839654,114985625.774546 
 01/06  19:00:00,21.7842633803474,153574850.459475 
 01/06  20:00:00,21.6957577688398,244757606.402191 
 01/06  21:00:00,21.6228376921155,0.0 
 01/06  22:00:00,21.5540350325874,0.0 
 01/06  23:00:00,21.3815187458523,0.0 
 01/06  24:00:00,21.1672215213875,0.0 
 01/07  01:00:00,20.9052948824384,0.0 
 01/07  02:00:00,20.5946057481289,0.0 
 01/07  03:00:00,20.2613018332185,553679870.825493 
 01/07  04:00:00,20.0058852332366,401639519.6613 
 01/07  05:00:00,19.8624785193228,290011362.82066 
 01/07  06:00:00,19.8978173553576,218166605.167655 
 01/07  07:00:00,19.823920572315,182306123.467864 
 01/07  08:00:00,19.7672667438965,173104377.050518 
 01/07  09:00:00,19.761892368854,185387630.867586 
 01/07  10:00:00,19.7620649230052,199147611.763005 
 01/07  11:00:00,19.7714001248068,203094386.424502 
