# # iwNorthAvgTemp,heatEnergy,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode,mullInsulationThickness,mullMetalConductivity,intMass,mullSurfaceArea,elecEquipDensityAll,infilRate
2.205020218384009922e+01,2.791913038435739836e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.007500000000000284e+01,-1.038888889000000093e+00,4.431826615829999838e+01,1.000000000000000000e+00,2.701492730770574911e-03,1.768326777623440194e+02,9.556957718404948992e+02,1.486744402604403437e+00,3.704151815159322325e+01,1.708772666436381149e-01
2.131904486588479841e+01,3.751861577988100294e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.909999999999999432e+01,-2.888888888999999960e+00,4.234946212919999908e+01,1.000000000000000000e+00,2.054148236175256000e-03,2.985350363004462224e+02,7.559195504900125115e+02,1.647050783908395433e+00,9.493123049177505379e+00,1.920600217375681429e-01
2.218100416993230084e+01,9.788185778707909179e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.806666667000000359e+01,-4.997685184999999919e+00,2.996584205499999953e+01,1.000000000000000000e+00,3.229182408821706235e-03,3.634725306173608033e+02,7.157380304185427349e+02,1.302775213216142980e+00,3.477072512388668457e+01,1.497753552019452095e-01
2.664699761282509982e+01,1.530784464683370061e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.364999999999999858e+01,5.245369260000000144e-01,3.016356141670000213e+01,1.000000000000000000e+00,1.369895070731332563e-03,1.476970469684061982e+02,5.283287792425419411e+02,1.501744504539866742e+00,4.821367979178583596e+01,3.177450116836207095e-02
1.856198805028050103e+01,2.410849683551600009e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.243333333000000351e+01,-5.926851852000000420e+00,3.566401111999999785e+01,1.000000000000000000e+00,3.475888280495066304e-03,3.533975824871176883e+02,4.239875253001650890e+02,1.555724649937534121e+00,2.142999924489360097e+01,6.887481709400990193e-02
2.521607140110780065e+01,1.291187143955409944e+01,9.108642584000000397e+01,2.101974071999999971e+00,8.579999999999999716e+01,4.862962963000000194e+00,3.585941075830000102e+01,1.000000000000000000e+00,1.548363021981761546e-03,3.161804244597766456e+02,2.755759171822952567e+02,1.350957640611208932e+00,3.189629530836116089e+01,1.444317274655524397e-01
2.505460093231889829e+01,1.750511147248530008e+01,8.899302376999999353e+01,3.125371399999999653e+02,7.359166666999999507e+01,5.810185179999999283e-01,3.907748277750000199e+01,1.000000000000000000e+00,2.148227972308117649e-03,3.293592927466302172e+02,9.338054097551333825e+02,1.202547540485483069e+00,4.941870463087237653e+01,6.634106988422827644e-02
2.211082541189490058e+01,4.964880819743600071e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.729999999999999716e+01,-1.558333333000000209e+00,1.998231130919999998e+01,1.000000000000000000e+00,4.384239646342054375e-03,2.053098118381429344e+02,7.677526215841247677e+02,1.505574997292096651e+00,1.318695641345788161e+01,6.510036130497091900e-02
1.930972959096040142e+01,3.324651206141469917e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.837500000000000000e+01,3.965740741000000291e+00,2.136253188999999963e+01,1.000000000000000000e+00,4.401517683719139221e-03,3.419451642358214940e+02,8.447858237940555455e+02,1.447432455824233077e+00,3.561320033111525873e+01,2.062431047967796804e-01
2.399184376223870174e+01,0.000000000000000000e+00,2.043835783000000106e+02,4.614901050000000282e+00,6.868333332999999641e+01,1.109166667000000039e+01,2.109249887080000008e+01,0.000000000000000000e+00,1.798526888881376868e-03,3.844988530557677677e+02,8.947664931186683361e+02,1.430665811470179349e+00,2.925415387346771112e+01,2.936388728670241699e-01
2.158450762845500037e+01,2.560436394937120141e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.735833332999999357e+01,-1.125787036999999913e+01,4.212905115830000113e+01,1.000000000000000000e+00,2.507955965598752078e-03,3.055450851443755482e+02,7.637645662007150804e+02,1.390745759931939496e+00,1.932381745323666422e+01,1.272593005666126931e-01
2.112107889532959959e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.984999999999999432e+01,1.611759259000000100e+01,2.406311287500000162e+01,0.000000000000000000e+00,1.319493244097313901e-03,9.676444219137479763e+01,9.714399617068226007e+02,1.666496382468272808e+00,6.212089155973570698e+00,1.531023581499773578e-01
2.306789299727029885e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.756666628000000685e+01,1.020879651000000088e+01,2.140762175920000132e+01,0.000000000000000000e+00,2.362093007872034193e-03,9.419342025621321568e+01,4.935310209485064661e+02,1.152580896869020100e+00,2.729812423146262290e+01,1.683415929784823628e-01
2.083097301597700124e+01,1.385802724465460045e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.807500000000000284e+01,1.286574074000000012e+00,3.736491166580000112e+01,1.000000000000000000e+00,1.095603227237780574e-03,2.381450546451519585e+02,6.426907403317563876e+02,1.182613967761011020e+00,1.744623261364035471e+01,3.848161066139745706e-02
