Heating demand khw,Diffuse solar w/m2,Direct normal solar w/m2,OAH,OAT C,Pitched roof insul thickness m,Ext win U,Ext win SHGC,Infil rate ACH,Mullion surface metal thickness m
41.8099357113,134.3906248,569.6424506,70.775,0.852314815,0.1841072111,1.6807625015,0.4156699944,0.2698401591,0.0090995947
46.2211049006,123.7766779,156.7670576,64.675,-7.680555555,0.1619143692,2.6283375834,0.5119267442,0.2235096734,0.0021313313
17.4147062858,0,0,76.90833333,2.085648148,0.2592779104,2.1143959984,0.5946326252,0.4546477,0.0092859081
14.8268478801,0,0,60.73333333,-6.783333333,0.1910421168,2.6768867957,0.3913116439,0.4859016373,0.0040491227
0,2.096440103,0.346594931,95.3,13.07268519,0.1894341325,1.7436467725,0.5306541803,0.4487201957,0.0078723396
21.9635366184,0,0,72.7,4.6375,0.0630710324,1.7995104972,0.5785127482,0.2376462128,0.0044916665
26.0565814727,126.7945159,4.257114851,71.825,-2.131018519,0.1856658214,2.2663733068,0.4366397048,0.2872773527,0.009405392
0,0,0,85.84166667,10.58009259,0.0737551364,2.5889814986,0.5892280827,0.385770593,0.0024666914
23.9470979321,0,0,98.2,7.254166667,0.0763820472,2.8495463681,0.6072660096,0.4034111356,0.0043049062
53.7188708887,23.31352275,3.106040227,85.95,6.633333333,0.0521998127,1.8316050806,0.3350764828,0.4644866642,0.0058644096
26.4884955628,39.21009372,0.162379793,93.45833333,6.105555556,0.1748638727,2.7030886233,0.5105785721,0.426611354,0.0091911243
0,133.222033,701.2268884,43.94166667,15.40185185,0.1841072111,1.6807625015,0.4156699944,0.2698401591,0.0090995947
0,162.3530012,566.7575281,42.175,16.6912037,0.1604216446,2.686525526,0.3156578385,0.1898557529,0.0088078404
7.7358785409,0,0,90.1,3.785185185,0.1598566917,2.2208288946,0.368026879,0.2689153562,0.0027645775
26.6202084366,0,0,58.80833333,-9.568055555,0.1228971519,2.2452509172,0.4413620667,0.1843263331,0.0067814424
0,0,0,57.2,10.34398148,0.0802880138,2.73081584,0.2803154994,0.259836718,0.0056041505
18.2446987343,61.2903618,602.9269259,56.825,10.72453704,0.2090261815,2.9648517009,0.3457617033,0.36934193,0.0093323243
21.1016067974,0,0,98.05833333,1.535648148,0.1619143692,2.6283375834,0.5119267442,0.2235096734,0.0021313313
0,0,0,67.98333333,12.22175926,0.2364433202,2.4579606303,0.4185870504,0.1984543005,0.0028029241
15.5609116902,0,0,70.675,1.278703704,0.2154954547,2.0314507846,0.6374844865,0.3837598159,0.0022552824
0,74.50165951,391.5006572,43.68333333,11.99351852,0.0855927333,2.7098292491,0.3039667208,0.1549753442,0.0021757622
0,0,0,91.56666547,13.02638914,0.0722488441,2.8524401559,0.5060092175,0.3369971981,0.0056304196
3.9062095232,0,0,60.85833333,8.796296296,0.2056012585,2.4209223547,0.5190890054,0.2642166753,0.008730821
0,0,0,50.86666667,10.39444444,0.2914175439,2.4882565575,0.5448515701,0.3349390267,0.0026900131
36.1407353864,130.9767831,46.64020805,64.74166667,2.170833333,0.2319560437,2.091473484,0.2721881477,0.2543335331,0.0062828308
10.350803163,0,0,93.26666667,1.222222222,0.1787717995,2.8270987115,0.2642227292,0.2020148391,0.008128209
17.5037785269,0,0,76.11666667,-0.662962963,0.1372140004,2.5310742387,0.5633192883,0.185603974,0.007857703
22.4199393169,14.86528549,1.174128367,81.63333333,4.387962963,0.1315234575,2.8927951709,0.3624504652,0.3323200877,0.0086487432
8.0830190084,0,0,90.125,3.811111111,0.1761658253,2.2512748873,0.6043911932,0.4195980242,0.0070349888
19.9575893045,0,0,98.85833333,7.556481481,0.1344300421,1.8812618785,0.295534091,0.431514075,0.0093749291
12.4891218385,0,0,71.48333333,3.619907407,0.2654510171,2.0009581795,0.2822424849,0.2511251737,0.0079299638
0,157.6696182,3.971483381,63.5,12.94861111,0.286600172,1.6470630259,0.291151557,0.4428680118,0.0089401692
0,158.7710011,705.0333274,57.51666667,14.96898148,0.1803566468,2.5955434331,0.2874992178,0.4711868434,0.0070249232
16.5018664635,0,0,61.01666667,6.023611111,0.1541138585,2.8325925972,0.455771414,0.4452680756,0.0051554869
9.1758104193,0,0,89.94166667,6.369444445,0.2830806267,1.5763262312,0.2520078387,0.3780986007,0.0054970356
0,0,0,87.28333333,13.75601852,0.1058693453,1.7299792439,0.3848054598,0.4975332778,0.0012050422
37.9774083268,130.4903521,55.73062137,70.625,1.656018519,0.1787717995,2.8270987115,0.2642227292,0.2020148391,0.008128209
0,0,0,75.49166667,15.17407408,0.0783574283,1.5314684663,0.5483463785,0.4306397913,0.0083294703
9.2838804748,242.2070758,41.57813248,55.08333333,9.988425926,0.1488375243,2.6473834929,0.4641131361,0.4068061655,0.0040684849
35.6802311397,196.6656585,170.3429214,83.7,0.586111111,0.2849807331,2.5718383095,0.428176987,0.2564347686,0.00319425
12.5836582072,0,0,76.51666667,-8.436574074,0.1433360449,2.9766684792,0.4199551848,0.2480367018,0.008264257
0,65.06031331,324.2854941,38.44166667,15.87314815,0.2853865329,2.8139360534,0.6146831562,0.4770095815,0.0071423724
0,0.54493512,0.21721848,89.55,12.70462963,0.055830874,1.9220285795,0.3056392262,0.2157303904,0.0026184691
0,0,0,78.325,10.74675926,0.2695395336,1.9894184489,0.4045760592,0.3479891405,0.006384495
0,70.8100608,18.02786466,48.95833333,18.69074074,0.2125716002,1.6332364374,0.2695256784,0.4606268004,0.0031727853
23.081319136,0,0,61.35833333,-5.235648148,0.1910421168,2.6768867957,0.3913116439,0.4859016373,0.0040491227
24.5715779295,127.9480533,857.3297806,26.84166667,5.481018519,0.1376415734,2.1305123893,0.2999408275,0.1819303072,0.0084206929
41.9849746463,0,0,73.56666667,9.27037037,0.1610798601,2.7630085314,0.5027542851,0.4020599047,0.0013351293
0,0,0,58.675,16.58148148,0.2065003114,2.08645542,0.5573990127,0.441524911,0.0066144761
11.0696953632,0,0,57.45833333,-1.235185185,0.0975306636,2.4363564916,0.3294464492,0.4543535829,0.0019253578
19.7004501427,0,0,75.31666667,3.411111111,0.0756490063,2.6230225869,0.3913441913,0.3217831848,0.0018658434
7.5168108233,0,0,86.24166667,4.849537037,0.1918646277,2.4306182328,0.5691809813,0.3882050149,0.0070607617
21.9382219987,0,0,78.29166667,-0.836574074,0.1981728923,2.9968876028,0.4309388354,0.2709435454,0.0052540316
68.3859006146,0,0,83.20833333,-11.63101852,0.2332166626,2.7822414795,0.2838505267,0.3816571269,0.0086971722
30.8007228596,0,0,81.5,-0.167592593,0.115118207,2.0390173977,0.4382099341,0.2426102296,0.0051359795
42.3158324368,19.37681274,0.530552678,97.08333333,7.216666667,0.0844405925,2.2189417667,0.565551848,0.3740735527,0.0012647564
16.4166073543,0,0,85.53333333,-8.70462963,0.0834390088,2.7436240189,0.485843346,0.1590751164,0.00297228
0,0,0,54.4,9.880555556,0.1642471063,2.9712676786,0.5831719823,0.480019798,0.0052867267
11.8163076596,0,0,90.525,4.231944444,0.1709319201,2.1810538803,0.2886834843,0.4250177841,0.009777703
0,0,0,76.11666667,17.22083334,0.1729041802,1.7130997856,0.6269975804,0.4508669205,0.0018804561
0,79.15507798,748.7498468,42.36666667,15.15324074,0.1195410343,1.9685049621,0.4328152614,0.3790952167,0.0075721293
0,27.44201708,0.353325339,98.25833333,12.40046296,0.1907812305,2.1561781822,0.3378505391,0.2202433485,0.0031011981
0,0,0,54.19166667,19.92546296,0.1798470573,2.054668684,0.2872113308,0.3525913809,0.0044302008
34.209640192,55.34943732,31.9798159,64.03333333,-3.69212963,0.0844405925,2.2189417667,0.565551848,0.3740735527,0.0012647564
0,8.641462919,4.411559785,69.53333333,17.17083333,0.0889525765,2.6979576283,0.3147452259,0.1580296962,0.0019457129
0,0,0,88.83333333,14.49305556,0.2217936616,2.231267308,0.2672733998,0.313052716,0.0095656769
0,0,0,80.66666667,10.12453704,0.2957144639,1.8383588945,0.3388031736,0.2453269049,0.002638822
7.5725746137,0,0,92.68333333,5.241203704,0.1307259575,1.9965693515,0.5227466888,0.2314860543,0.0032457846
6.2995942128,0,0,91.01666667,3.826851852,0.248210685,1.5967168376,0.5160950118,0.1758341411,0.0047371734
10.5385106441,0,0,89.25833333,4.278703704,0.227027997,1.5005443552,0.3169316588,0.1596416648,0.0053110008
17.1495869314,0,0,61.66666667,-4.046759259,0.0950623408,2.7954185062,0.4057577645,0.2216428086,0.0087589797
9.7467636571,0,0,57.95833333,-1.721296296,0.2340857472,2.45157365,0.3128874685,0.2971710771,0.0024729843
0,0,0,87.23333333,13.56435185,0.0624124514,2.0972054738,0.4032936329,0.4078596553,0.0050992448
14.7328425206,0,0,91.28333333,1.840740741,0.0834390088,2.7436240189,0.485843346,0.1590751164,0.00297228
32.7851168906,71.7204979,4.3350653,76.05,-5.293055556,0.1175088922,1.5804153985,0.2758501022,0.3054921478,0.003419236
47.2714030538,157.4966513,25.18578379,70.43333333,2.265277778,0.0547409926,1.7308889884,0.47386631,0.357658222,0.0014399271
49.9600395505,4.18395066,6.179555057,81.7,0.110185185,0.1803566468,2.5955434331,0.2874992178,0.4711868434,0.0070249232
0,0,0,93.125,11.70972222,0.0874639758,1.9115093169,0.4708022252,0.1946992015,0.0023262925
0,80.07143528,348.687138,76.33333333,14.60509259,0.0737551364,2.5889814986,0.5892280827,0.385770593,0.0024666914
0,2.417595195,0.694242117,77.65,9.584722222,0.2474259988,2.5381575516,0.4081474672,0.1666540279,0.0025810179
20.6332347146,0,0,72.05,-7.896759259,0.0822537747,2.6138248772,0.4577192078,0.298811243,0.0019929214
0,0,0,79.40833333,15.59444444,0.1941712545,2.3228759249,0.3336732642,0.4881561805,0.0053943593
0,0,0,79.25833333,10.79722222,0.1404012433,2.5432025632,0.2853480017,0.484138135,0.0028414765
44.1049039293,113.6470537,3.214259658,75.68333333,-3.192592593,0.0506319691,2.2294767252,0.5329709177,0.3547031411,0.0088564058
5.2338133223,0,0,55.675,-4.170370371,0.1126449651,2.4790972093,0.4111524567,0.2850958862,0.0044547761
0,16.37786428,3.90078272,79.30833333,13.2212963,0.09965538,2.3084169135,0.6182331717,0.4982369799,0.0061720122
19.1797406639,0,0,83.69166667,1.968518518,0.0933312159,1.6518752472,0.5798282703,0.4904508309,0.0058134344
6.3438379153,0,0,86.14166667,0.856481482,0.1829257891,2.058343528,0.5883779619,0.2120123511,0.0099193367
0,41.39266549,0.431169189,93.16666667,12.91111111,0.2427010049,1.5173391457,0.3803044885,0.1605114884,0.0059224219
17.1934306676,0,0,66.50833333,0.518055556,0.2092910191,2.3443553527,0.4780826724,0.2956630893,0.0023857022
0,103.4414714,654.1014728,81.1,14.86388889,0.2942454362,1.7369111036,0.474399723,0.3496036656,0.0047687737
7.7536809672,221.2550747,190.0690192,58.59166667,8.840740741,0.1894341325,1.7436467725,0.5306541803,0.4487201957,0.0078723396
0,1.671695178,0.772411866,56.81666667,10.6712963,0.1841072111,1.6807625015,0.4156699944,0.2698401591,0.0090995947
8.9753724602,0,0,99.7,9.625925926,0.0783574283,1.5314684663,0.5483463785,0.4306397913,0.0083294703
36.3847927954,42.99966169,1.288711658,69.5,-4.861111111,0.0692654,2.9435735131,0.3874019809,0.3939548889,0.0084465185
14.7064858895,0,0,76.90833333,2.085648148,0.1123670732,2.3569704841,0.6438860717,0.3028030252,0.0081023217
15.4336996263,0,0,57.78333333,0.190740741,0.2458874698,2.7379295262,0.5385111997,0.2080485992,0.0092263363
17.9469284054,124.7612002,58.00796924,47.10833333,4.843055556,0.1563201262,2.9652252387,0.6384616698,0.2462333921,0.0081696187
21.7831841329,0,0,86.925,8.426851852,0.1139385516,1.821312788,0.4890523699,0.4722206694,0.001129746
0,0,0,95.28333333,12.29537037,0.1273466567,1.8057228745,0.4018276861,0.4172706541,0.007279588
16.8240782827,0,0,60.01666667,2.218055556,0.0604703814,2.0173902905,0.5980898378,0.4170294309,0.0074975723
0,190.448142,62.84349355,74.59166667,15.45833333,0.2763950517,2.3382808288,0.5961706367,0.236148847,0.003314304
12.7583825409,104.9367892,780.9505607,46.13333333,9.525925926,0.2763950517,2.3382808288,0.5961706367,0.236148847,0.003314304
12.4468470346,0,0,99.7,-1.254166667,0.0737551364,2.5889814986,0.5892280827,0.385770593,0.0024666914
20.7542007001,0.856168026,0.429859843,70.03333333,3.350925926,0.1692458647,1.7640993834,0.3987124341,0.3692405595,0.0067282207
18.7382075218,0,0,78.15,-1.019907408,0.1772060834,2.2018742296,0.4681876315,0.4102225715,0.0043415608
0,64.35539394,25.23392657,64.56666667,13.52407408,0.2245343293,2.3480491439,0.3721017989,0.4443614097,0.0026532983
9.7709576571,0,0,93.025,2.150462963,0.1123670732,2.3569704841,0.6438860717,0.3028030252,0.0081023217
18.7832372354,4.71115529,114.7741754,33.05833333,1.12962963,0.0506319691,2.2294767252,0.5329709177,0.3547031411,0.0088564058
21.9786182945,18.68992956,0.190476473,86.975,0.664351852,0.2427010049,1.5173391457,0.3803044885,0.1605114884,0.0059224219
11.0391622568,18.40994715,251.6820644,60.05,9.367129629,0.2367174359,2.7770991631,0.4489486224,0.3458565358,0.0080487749
