# iwNorthAvgTemp,heatEnergy,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode,mullInsulationThickness,intMass,mullSurfaceArea
2.381350011248619936e+01,0.000000000000000000e+00,2.751926252999999747e+02,7.929018037000000163e+01,5.734166667000000217e+01,2.105370371000000063e+01,2.379203749999999928e+01,0.000000000000000000e+00,2.880634619600707519e-03,9.135368150378729979e+02,1.704580620852145678e+00
2.197345218380809939e+01,2.320114645020500177e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.080833332999999641e+01,-7.782407409999999581e-01,4.322834231419999895e+01,1.000000000000000000e+00,4.503360906237931574e-03,5.362117092070309354e+02,1.311522479145594389e+00
1.719642266752099857e+01,5.321318677695390242e+00,1.032908249000000112e+00,3.797553949999999956e-01,7.700000000000000000e+01,4.222685184999999564e+00,2.594696859829999980e+01,1.000000000000000000e+00,3.382240856490635258e-03,2.031694973061784424e+02,1.403544601008325454e+00
2.168001199791000033e+01,1.751340466397030005e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.010833332999999357e+01,1.363842593000000036e+01,2.228455416750000140e+01,8.333333330000000649e-02,4.961939846819400472e-03,6.572677237041486933e+02,1.469467983485928331e+00
1.822537926618399950e+01,1.355689013244420060e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.618333332999999641e+01,3.850462963000000016e+00,2.808507731419999942e+01,1.000000000000000000e+00,3.745839086939295112e-03,6.804629195334800897e+02,1.696915455916919058e+00
2.115936735934079849e+01,4.008386816775119854e+01,7.746094195000000582e+01,5.887512197000000214e+01,6.904166666999999791e+01,9.384259259999999658e-01,5.939397013829999850e+01,1.000000000000000000e+00,3.118941268527925664e-03,5.250774763648973931e+02,1.219884274676866998e+00
2.187227633869180110e+01,1.183116965576810031e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.921666666999999507e+01,-4.113888889000000049e+00,3.199925043500000044e+01,1.000000000000000000e+00,1.702125327372088718e-03,4.120044707584809203e+02,1.165548891586128288e+00
2.001991338581619928e+01,1.513238376572319943e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.384999999999999432e+01,-1.643981481999999827e+00,2.992396306420000229e+01,1.000000000000000000e+00,4.226471811704234083e-03,3.129646158185116747e+02,1.555113805582919451e+00
2.284702874276630169e+01,4.478227921493549957e+01,1.998458969999999946e-01,9.209936300000000353e-02,9.659166666999999507e+01,2.069444444000000161e+00,4.772480120329999664e+01,1.000000000000000000e+00,3.168919200746958629e-03,8.353045055705090363e+02,1.679590028714309291e+00
2.050509105214050010e+01,1.254782335187170084e+01,9.549688378000000455e+01,6.876622523000000342e+01,5.670000000000000284e+01,1.891666666999999968e+00,3.758308055079999832e+01,1.000000000000000000e+00,2.653136070797953387e-03,4.030750502306268572e+02,1.144187678269918740e+00
