EST,iw north average temp C,iw heating energy kWh,,,
5/01/2017 11:00,22.83412297,31.56423076,,,
5/01/2017 12:00,22.68471652,38.47765973,,,
5/01/2017 13:00,22.59709478,55.59816662,,,
5/01/2017 14:00,22.78259764,29.69947402,,,
5/01/2017 15:00,22.62260625,60.25489263,,,
5/01/2017 16:00,22.80287428,35.49194954,,,
5/01/2017 17:00,22.70393622,62.93664305,,,
5/01/2017 18:00,22.77143124,45.90232861,,,
5/01/2017 19:00,22.86518659,37.34771779,,,
5/01/2017 20:00,22.77799986,56.13780531,,,
5/01/2017 21:00,22.65885176,5.388130395,,,
5/01/2017 22:00,21.76592837,24.46407296,,,
5/01/2017 23:00,21.14020222,28.15511122,,,
6/01/2017 0:00,20.72782687,30.88948409,,,
6/01/2017 1:00,20.42947028,33.36020858,,,
6/01/2017 2:00,20.30235301,33.15196992,,,
6/01/2017 3:00,20.1003529,35.29330468,,,
6/01/2017 4:00,19.93443888,36.54001932,,,
6/01/2017 5:00,19.79059927,38.08324203,,,
6/01/2017 6:00,19.61946809,38.18685463,,,
6/01/2017 7:00,19.49449496,40.31245153,,,
6/01/2017 8:00,19.63645181,76.79218108,,,
6/01/2017 9:00,20.50265179,71.58566649,,,
6/01/2017 10:00,21.62065358,63.63886384,,,
6/01/2017 11:00,22.65508241,41.17905225,,,
6/01/2017 12:00,22.65048747,30.18609395,,,
6/01/2017 13:00,22.64421272,24.54759447,,,
6/01/2017 14:00,22.64031409,51.78159102,,,
6/01/2017 15:00,22.91983646,44.23085346,,,
6/01/2017 16:00,22.81664524,41.48163357,,,
6/01/2017 17:00,22.62269262,71.2576673,,,
6/01/2017 18:00,22.76964146,48.68992249,,,
6/01/2017 19:00,22.78640657,62.95445028,,,
6/01/2017 20:00,22.7900603,56.04279427,,,
6/01/2017 21:00,22.49237002,5.879538755,,,
6/01/2017 22:00,21.42847052,27.50180233,,,
6/01/2017 23:00,20.69766164,33.16426158,,,
7/01/2017 0:00,20.21183592,35.33308525,,,
7/01/2017 1:00,19.90202523,38.6353599,,,
7/01/2017 2:00,19.70890022,39.99386186,,,
7/01/2017 3:00,19.55530601,40.79484328,,,
7/01/2017 4:00,19.44563531,40.72652349,,,
7/01/2017 5:00,19.34035139,42.18774461,,,
7/01/2017 6:00,19.2543313,43.02851704,,,
7/01/2017 7:00,19.21837716,42.31074166,,,
7/01/2017 8:00,19.18627364,44.88605518,,,
7/01/2017 9:00,19.49686436,80.19663768,,,
7/01/2017 10:00,20.53785634,68.99876468,,,
7/01/2017 11:00,21.72874611,64.57150578,,,
7/01/2017 12:00,22.82107201,36.55827637,,,
7/01/2017 13:00,22.83829382,35.9958985,,,
7/01/2017 14:00,22.64840548,67.60046683,,,
7/01/2017 15:00,22.75329829,46.87033598,,,
7/01/2017 16:00,22.83242969,45.72042028,,,
7/01/2017 17:00,22.70255184,75.37293249,,,
7/01/2017 18:00,22.79599772,50.76708823,,,
7/01/2017 19:00,22.57611732,73.03558838,,,
7/01/2017 20:00,22.30019726,6.409173262,,,
7/01/2017 21:00,21.04683442,34.47489842,,,
7/01/2017 22:00,20.25042934,36.82100185,,,
7/01/2017 23:00,19.77315032,40.22559678,,,
8/01/2017 0:00,19.52608204,41.01247532,,,
8/01/2017 1:00,19.31772898,42.84133634,,,
8/01/2017 2:00,19.12807569,44.42952504,,,
8/01/2017 3:00,18.94231789,46.07941498,,,
8/01/2017 4:00,18.78690998,48.60052096,,,
8/01/2017 5:00,18.66043365,47.96224421,,,
8/01/2017 6:00,18.57297175,48.18963667,,,
8/01/2017 7:00,18.47883768,51.74762413,,,
8/01/2017 8:00,18.41052125,49.53921733,,,
8/01/2017 9:00,18.72143736,80.35730209,,,
8/01/2017 10:00,19.84164619,68.20735196,,,
8/01/2017 11:00,20.85397372,66.42314893,,,
8/01/2017 12:00,21.59869626,65.57983933,,,
8/01/2017 13:00,22.13048135,65.89606597,,,
8/01/2017 14:00,22.57731642,66.34023262,,,
8/01/2017 15:00,22.78524115,54.74429038,,,
8/01/2017 16:00,22.74297818,55.13059519,,,
8/01/2017 17:00,22.73659955,57.67077262,,,
8/01/2017 18:00,22.56245791,71.38574816,,,
8/01/2017 19:00,22.58940708,64.43404911,,,
8/01/2017 20:00,22.09975315,9.410991133,,,
8/01/2017 21:00,20.87487562,32.51123273,,,
8/01/2017 22:00,20.20225495,36.86412539,,,
8/01/2017 23:00,19.75834172,39.51944964,,,
9/01/2017 0:00,19.47139928,42.05340533,,,
9/01/2017 1:00,19.30699359,43.69711893,,,
9/01/2017 2:00,19.15459024,43.30623842,,,
9/01/2017 3:00,19.03073529,46.81002599,,,
9/01/2017 4:00,18.95471278,44.84529119,,,
9/01/2017 5:00,18.92712208,46.88313927,,,
9/01/2017 6:00,18.90261033,44.89212154,,,
9/01/2017 7:00,18.84214922,48.07611751,,,
9/01/2017 8:00,19.16870563,79.79194025,,,
9/01/2017 9:00,20.00113609,69.77314488,,,
9/01/2017 10:00,20.65579018,67.05020162,,,
9/01/2017 11:00,21.26854106,65.99691666,,,
9/01/2017 12:00,22.05010843,64.55067036,,,
9/01/2017 13:00,22.77721643,49.64450099,,,
9/01/2017 14:00,23.03744323,33.19495322,,,
9/01/2017 15:00,23.05668175,32.4553808,,,
9/01/2017 16:00,22.84538099,43.88642483,,,
9/01/2017 17:00,22.84962237,38.46604996,,,
9/01/2017 18:00,22.71694111,72.26613269,,,
9/01/2017 19:00,22.9248455,31.62341674,,,
9/01/2017 20:00,22.81076343,60.08627985,,,
9/01/2017 21:00,22.71108618,5.342988332,,,
9/01/2017 22:00,21.75740014,26.28560363,,,
9/01/2017 23:00,21.21859744,28.36046637,,,
10/01/2017 0:00,20.88184524,29.36532692,,,
10/01/2017 1:00,20.64877919,31.78808108,,,
10/01/2017 2:00,20.42912578,33.73703772,,,
10/01/2017 3:00,20.25094468,34.62848477,,,
10/01/2017 4:00,20.14813548,35.69981796,,,
10/01/2017 5:00,20.15667036,35.62427083,,,
10/01/2017 6:00,20.06976168,33.84902258,,,
10/01/2017 7:00,19.9521312,36.69742885,,,
10/01/2017 8:00,20.21675715,74.41716089,,,
10/01/2017 9:00,21.22601586,66.94880989,,,
10/01/2017 10:00,22.23723924,64.47793956,,,
10/01/2017 11:00,23.00777465,22.92001687,,,
10/01/2017 12:00,22.80065844,59.90552229,,,
10/01/2017 13:00,22.94602385,21.91855583,,,
10/01/2017 14:00,22.88611668,38.69647434,,,
10/01/2017 15:00,22.85088212,53.36235105,,,
10/01/2017 16:00,23.00151073,10.02988138,,,
10/01/2017 17:00,22.81234467,38.22554415,,,
10/01/2017 18:00,22.79078513,41.23834764,,,
10/01/2017 19:00,23.01336189,12.06681257,,,
10/01/2017 20:00,22.76826045,41.06898538,,,
10/01/2017 21:00,22.65872017,4.633467573,,,
10/01/2017 22:00,22.27504702,18.11484225,,,
10/01/2017 23:00,21.95911486,19.18575227,,,
11/01/2017 0:00,21.65901567,21.69198335,,,
11/01/2017 1:00,21.53465492,22.24905403,,,
11/01/2017 2:00,21.57202487,20.97490292,,,
11/01/2017 3:00,21.69801906,20.57915244,,,
11/01/2017 4:00,21.65071713,21.25770633,,,
11/01/2017 5:00,21.54054226,21.10861725,,,
11/01/2017 6:00,21.44179655,22.29024423,,,
11/01/2017 7:00,21.35788596,23.21574597,,,
11/01/2017 8:00,21.5264415,67.99343411,,,
11/01/2017 9:00,22.52006194,43.21262082,,,
11/01/2017 10:00,23.11337601,7.087039998,,,
11/01/2017 11:00,22.98719524,17.20552263,,,
11/01/2017 12:00,23.05372323,13.56051786,,,
11/01/2017 13:00,23.24630882,12.37440011,,,
11/01/2017 14:00,23.40528808,5.998961933,,,
11/01/2017 15:00,23.33580078,16.36119926,,,
11/01/2017 16:00,23.28533112,13.26047461,,,
11/01/2017 17:00,23.12152148,15.33624903,,,
11/01/2017 18:00,22.94575442,16.33966305,,,
11/01/2017 19:00,22.69346752,17.61189102,,,
11/01/2017 20:00,22.62648592,34.82581626,,,
11/01/2017 21:00,22.75049689,6.170739608,,,
11/01/2017 22:00,22.46633303,15.3551243,,,
11/01/2017 23:00,22.37616508,15.08439226,,,
12/01/2017 0:00,22.36827573,13.715223,,,
12/01/2017 1:00,22.37624363,7.316576525,,,
12/01/2017 2:00,22.28767064,0,,,
12/01/2017 3:00,22.13386242,0,,,
12/01/2017 4:00,21.96535288,0,,,
12/01/2017 5:00,21.84206427,0,,,
12/01/2017 6:00,21.74938177,0,,,
12/01/2017 7:00,21.68302225,0,,,
12/01/2017 8:00,21.63507779,0,,,
12/01/2017 9:00,21.61222651,0,,,
12/01/2017 10:00,21.59849007,0,,,
12/01/2017 11:00,21.66601073,0,,,
12/01/2017 12:00,21.77417488,0,,,
12/01/2017 13:00,21.99214651,0,,,
12/01/2017 14:00,22.112921,0,,,
12/01/2017 15:00,22.25479839,0,,,
12/01/2017 16:00,22.21890335,0,,,
12/01/2017 17:00,22.11838537,0,,,
12/01/2017 18:00,21.94294833,0,,,
12/01/2017 19:00,21.94094377,0,,,
12/01/2017 20:00,22.18447329,60.37137183,,,
12/01/2017 21:00,22.91624493,5.278889604,,,
12/01/2017 22:00,22.68876124,10.09502478,,,
12/01/2017 23:00,22.30849176,16.52742203,,,
13/01/2017 0:00,22.00259094,18.35808857,,,
13/01/2017 1:00,21.75525087,19.70684082,,,
13/01/2017 2:00,21.64026469,20.28994988,,,
13/01/2017 3:00,21.47943539,21.54137889,,,
13/01/2017 4:00,21.33488599,22.91617258,,,
13/01/2017 5:00,21.26485552,23.59673404,,,
13/01/2017 6:00,21.19642238,24.08179746,,,
13/01/2017 7:00,21.10400198,25.03979391,,,
13/01/2017 8:00,21.3332552,77.53788982,,,
13/01/2017 9:00,22.37055009,54.32510972,,,
13/01/2017 10:00,23.07137033,5.557611719,,,
13/01/2017 11:00,22.94179051,20.26171857,,,
13/01/2017 12:00,22.98624412,8.003671118,,,
13/01/2017 13:00,23.10733046,24.88631696,,,
13/01/2017 14:00,23.17814634,17.70104732,,,
13/01/2017 15:00,23.22259047,12.25986336,,,
13/01/2017 16:00,23.01339712,24.80561243,,,
13/01/2017 17:00,22.79375684,26.5409698,,,
13/01/2017 18:00,22.53482926,45.62297223,,,
13/01/2017 19:00,22.68899194,27.94666581,,,
13/01/2017 20:00,22.60132579,46.8089516,,,
13/01/2017 21:00,22.68549532,5.384042187,,,
13/01/2017 22:00,22.10300243,19.44764115,,,
