23.2083207535,7.87824074,5.955092593,38.59347421,1.327087849,0.037,0.276,1.727,0.539,0.258
21.7867055666,0.524074074,-4.664351852,88.7493601,2.868686432,0.04,0.223,2.708,0.255,0.5
21.6529531442,-6.042685218,-7.169074074,0,0,0.042,0.189,2.685,0.452,0.239
22.519644812,0.061574074,-4.58287037,0,0,0.013,0.253,2.576,0.275,0.246
18.8444913416,-12.34305556,-15.38657407,48.761089,990.0361228,0.033,0.137,2.835,0.418,0.352
23.3903211649,13.46296296,3.194444444,213.518119,75.10424193,0.038,0.118,1.968,0.326,0.432
24.762995791,15.56064815,11.22592593,0,0,0.027,0.241,2.663,0.38,0.328
21.9382895386,2.585185185,0.87037037,0,0,0.015,0.148,2.416,0.282,0.253
22.8552082731,12.48148148,9.396296296,0,0,0.013,0.207,1.96,0.634,0.211
26.5506710828,22.66736111,12.76365741,332.1380565,204.3379282,0.046,0.197,2.55,0.592,0.396
24.5951801015,6.848148148,-3.418518519,0,0,0.036,0.245,2.141,0.628,0.313
26.3749833394,16.19212963,2.742592593,91.86259795,194.4748692,0.038,0.14,2.973,0.619,0.224
23.5810156031,11.66759259,10.85092593,0,0,0.02,0.209,2.295,0.333,0.286
24.1055759112,6.144907408,4.651851852,0,0,0.016,0.074,2.909,0.644,0.19
20.4092405404,-0.977314815,-3.59537037,0,0,0.021,0.204,2.746,0.445,0.198
21.3291274271,9.722685185,8.868055556,0,0,0.045,0.143,2.466,0.323,0.298
23.388506502,0.910185185,-3.655555556,0,0,0.047,0.248,1.561,0.363,0.162
22.908404337,4.616203704,3.628703704,56.61082617,1.836521852,0.049,0.252,2.235,0.501,0.18
21.662502283,3.910185185,2.298611111,10.89050376,1.272647055,0.018,0.269,1.608,0.561,0.183
24.1372451856,9.812685186,-2.586111111,0,0,0.017,0.095,1.913,0.506,0.215
25.121229099,10.43425926,-3.818518519,0,0,0.048,0.105,1.578,0.317,0.488
22.4071066141,10.80787037,7.697222222,0,0,0.045,0.29,1.803,0.462,0.462
21.9754271273,-0.423611111,-3.60462963,0,0,0.037,0.298,1.815,0.606,0.484
20.959416964,14.08472222,10.13287037,101.133013,182.5584004,0.047,0.268,1.624,0.271,0.473
23.670711325,5.243518519,2.731018519,125.4072389,5.317300911,0.026,0.228,2.458,0.438,0.478
21.9453131092,-0.293518519,-1.5875,100.7498153,3.305214786,0.048,0.063,2.796,0.596,0.466
23.6869629557,11.86527778,8.020833333,31.78632663,0.645018313,0.013,0.219,2.107,0.474,0.355
25.0390902079,-3.150925926,-10.64351852,167.4048351,35.48894163,0.044,0.158,2.184,0.572,0.288
21.3697759754,0.618055704,-4.101455088,0,0,0.048,0.063,2.796,0.596,0.466
25.3858386641,12.01527778,5.033796296,130.0649458,96.06795497,0.047,0.283,2.367,0.476,0.379
23.6621700581,4.684722222,2.676851852,0,0,0.048,0.063,2.796,0.596,0.466
21.810801902,10.45740741,10.01388889,68.8259298,0.023655437,0.019,0.147,2.405,0.471,0.283
22.8906089039,7.827314815,3.784722222,0,0,0.011,0.296,2.861,0.29,0.423
20.6580036074,3.653703704,1.591203704,0,0,0.048,0.105,1.578,0.317,0.488
24.0520152894,5.716666667,-1.018518519,0,0,0.017,0.075,2.18,0.648,0.484
21.4100072088,7.556481481,7.394907407,0,0,0.026,0.054,1.559,0.331,0.227
24.0449225809,14.19814815,7.599074074,121.179603,1.747472843,0.032,0.266,2.064,0.36,0.435
21.4036948749,5.835648148,5.407407407,0,0,0.015,0.129,2.686,0.575,0.467
24.1319812074,3.411111111,-0.537962963,0,0,0.044,0.158,2.184,0.572,0.288
24.9270527964,5.62037037,4.984722222,23.39461127,0.140723631,0.028,0.209,1.932,0.551,0.259
21.3801556883,-3.02962963,-6.9125,115.6657854,93.59357878,0.022,0.16,2.328,0.384,0.154
21.4874985435,-1.846296296,-8.456944444,0,0,0.031,0.189,1.52,0.436,0.234
22.3073462422,1.82037037,-1.757407407,0,0,0.012,0.172,1.991,0.329,0.391
