# IAT average C,Heating demand khw,Diffuse solar w/m2,Direct normal solar w/m2,OAH,OAT C,Pitched roof insul thickness m,Ext win U,Ext win SHGC,Infil rate ACH,Mullion surface metal thickness m
2.616902961999999988e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.867499999999999716e+01,1.957083332999999925e+01,2.154954547000000054e-01,2.031450784600000059e+00,6.374844865000000027e-01,3.837598159000000231e-01,2.255282400000000083e-03
1.922537620290000149e+01,1.376927957410000047e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.101666666999999933e+01,-7.588888888999999693e+00,2.136443252000000126e-01,2.120511679799999882e+00,3.324822660000000263e-01,3.407863568999999759e-01,4.400168000000000308e-03
2.082502259880000040e+01,0.000000000000000000e+00,1.493621420000000057e+02,3.750596774000000266e+01,7.554166666999999791e+01,1.829907406999999964e+01,2.298732867999999929e-01,2.603570828900000134e+00,5.444469362999999618e-01,4.833244157000000096e-01,6.987099000000000087e-03
2.199118394230000106e+01,0.000000000000000000e+00,3.154154910000000100e+01,2.008634758999999992e+00,8.429166666999999791e+01,1.709166666999999862e+01,2.065003113999999973e-01,2.086455420000000061e+00,5.573990127000000294e-01,4.415249110000000199e-01,6.614476099999999810e-03
2.076592937590000076e+01,1.767836121810000094e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.500833332999999925e+01,5.388888889000000404e+00,8.444059249999999461e-02,2.218941766699999985e+00,5.655518480000000237e-01,3.740735526999999783e-01,1.264756400000000046e-03
2.378084837389999961e+01,0.000000000000000000e+00,2.069972649999999987e+02,5.188350769999999557e+02,5.554166666999999791e+01,2.241342592999999894e+01,1.610798600999999997e-01,2.763008531400000134e+00,5.027542850999999757e-01,4.020599047000000259e-01,1.335129300000000106e-03
2.406263755970000062e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.584166666999999507e+01,1.058009258999999957e+01,2.403422229000000132e-01,2.474949439600000023e+00,5.853167341999999662e-01,3.721718089000000118e-01,3.904736499999999968e-03
2.528724453330000088e+01,0.000000000000000000e+00,1.108391203000000047e+02,2.480892695999999944e+02,2.970833332999999854e+01,1.423750000000000071e+01,9.143282449999999562e-02,2.108782223199999972e+00,2.809549037999999888e-01,2.369377048999999902e-01,2.140477000000000005e-03
2.241756308720000135e+01,3.920914124549999968e+01,1.768031800999999916e+02,3.922666454000000158e+02,5.815833332999999783e+01,4.892129630000000340e+00,6.116609209999999963e-02,2.877096734399999800e+00,4.908371226000000087e-01,4.930275914999999731e-01,4.713177800000000091e-03
2.265619261359999825e+01,0.000000000000000000e+00,8.764126604000000498e+01,2.792976315000000209e+00,9.329999999999999716e+01,1.283287037000000019e+01,2.003641546999999912e-01,1.617898715399999965e+00,4.068702107000000123e-01,4.763143027000000251e-01,2.108834100000000003e-03
2.465633202269999913e+01,1.314927132999999948e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.199166667000000075e+01,-2.494444443999999983e+00,2.303173246999999924e-01,2.042945591300000086e+00,5.583570512000000097e-01,4.019560053999999827e-01,4.579069100000000316e-03
2.517163886919999882e+01,0.000000000000000000e+00,2.597065221999999896e+00,7.458884869999999889e-01,7.735833332999999357e+01,1.576712962999999945e+01,2.683300022999999812e-01,2.561011286099999840e+00,4.235349842999999725e-01,2.761388893000000233e-01,3.542440600000000203e-03
1.991977581289999932e+01,5.194600309660000192e+01,1.257894455999999934e+02,3.382737227999999874e+01,7.818333332999999641e+01,-3.603240741000000025e+00,2.458874698000000081e-01,2.737929526199999852e+00,5.385111997000000539e-01,2.080485991999999895e-01,9.226336300000000448e-03
2.550572478240000152e+01,9.358124794000000080e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.681666667000000359e+01,4.684722222000000436e+00,1.894341324999999909e-01,1.743646772499999997e+00,5.306541803000000002e-01,4.487201956999999908e-01,7.872339600000000104e-03
2.518009749870000036e+01,2.125600691380000029e+01,9.075184665999999822e+01,2.083644346000000169e+01,7.464166667000000643e+01,3.375000000000000000e+00,1.907812305000000097e-01,2.156178182200000126e+00,3.378505391000000135e-01,2.202433484999999913e-01,3.101198099999999923e-03
2.299589274539999906e+01,4.172279834719999769e+01,1.468581351999999924e+02,2.027776211000000117e+01,5.517499999999999716e+01,4.944444450000000102e-01,1.960622508000000042e-01,2.549802414599999789e+00,5.277352019000000061e-01,3.063688694000000212e-01,3.030540700000000209e-03
2.591279098320000074e+01,2.479052426160000167e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.527499999999999858e+01,-6.736111110000000401e-01,7.452920540000000649e-02,1.792619570700000109e+00,5.934906625000000435e-01,2.721745023000000097e-01,7.833280399999999893e-03
1.986084843060000082e+01,0.000000000000000000e+00,3.784673292000000089e+01,2.180306441000000106e+01,8.182500000000000284e+01,1.296342592999999965e+01,1.579532361000000051e-01,2.933016764500000040e+00,6.004369045999999877e-01,3.644255259999999996e-01,5.469924499999999877e-03
2.121240552429999937e+01,3.444020647610000196e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.770833333000000209e+01,4.249999999999999889e-01,1.497939375000000017e-01,2.316683162699999965e+00,6.278910904000000182e-01,3.772387281999999842e-01,3.734937600000000010e-03
2.208206258959999957e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.875833332999999925e+01,1.020509258999999957e+01,2.957144639000000019e-01,1.838358894500000007e+00,3.388031736000000071e-01,2.453269049000000035e-01,2.638821999999999869e-03
2.388652227969999942e+01,1.110498572580000065e+01,8.574371039000000394e+01,1.920779009999999953e+00,5.859166667000000217e+01,2.380092593000000090e+00,2.217936615999999972e-01,2.231267308000000060e+00,2.672733997999999778e-01,3.130527160000000086e-01,9.565676900000000260e-03
2.158420479749999998e+01,1.754757743949999949e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.316666666999999791e+01,2.351851849999999911e-01,9.694844589999999929e-02,2.929022744500000108e+00,3.961801376999999902e-01,2.183555839999999915e-01,7.602772800000000102e-03
2.048103717240000066e+01,4.179724618849999729e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.230833332999999641e+01,-1.174629629999999914e+01,2.695395335999999920e-01,1.989418448899999969e+00,4.045760592000000044e-01,3.479891405000000160e-01,6.384494999999999580e-03
2.571174538640000051e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.138333332999999925e+01,1.150324074000000074e+01,8.746397579999999616e-02,1.911509316899999922e+00,4.708022251999999797e-01,1.946992015000000020e-01,2.326292499999999940e-03
