# IAT average C,Heating demand khw,Diffuse solar w/m2,Direct normal solar w/m2,OAH,OAT C
2.064877918999999906e+01,3.178808108000000132e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.833333333000000209e+01,-2.431018519000000211e+00
2.268025584000000094e+01,1.920634264999999985e+01,7.607772961999999950e+01,1.589883129999999944e+01,8.742499999999999716e+01,5.714814815000000436e+00
2.109517862999999949e+01,1.841053574000000026e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.414166667000000643e+01,3.957870370000000193e+00
2.044836923000000084e+01,2.827523477999999812e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.529166666999999791e+01,4.837962962999999839e+00
2.126485552000000112e+01,2.359673404000000119e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.369166667000000359e+01,1.968518517999999995e+00
2.270667231999999913e+01,5.675698627999999957e+01,9.154207389999999833e-01,3.986780540000000039e-01,7.437500000000000000e+01,-2.763888890000000265e-01
2.310601046000000025e+01,2.933880446999999947e+00,1.631615922000000012e+02,1.215042397999999935e+01,7.904999999999999716e+01,8.988888889000000049e+00
2.154838420999999826e+01,2.148328116000000065e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.036666667000000075e+01,3.741666667000000057e+00
2.304334657000000064e+01,2.368644362999999942e+01,1.574966512999999964e+02,2.518578378999999856e+01,7.043333332999999641e+01,2.265277778000000186e+00
1.888343459000000024e+01,2.267016497999999913e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.166666666999999791e+01,-4.046759258999999886e+00
1.905349440999999899e+01,1.787294208999999867e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.735833332999999357e+01,1.483796295999999959e+00
1.851616239000000164e+01,2.111946170999999950e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.722500000000000142e+01,-6.999999999999999556e-01
2.064127347999999884e+01,2.762777852000000145e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.751805582999999444e+01,9.308410537000000318e+00
