IAT average C,Heating demand khw,Diffuse solar w/m2,Direct normal solar w/m2,OAH,OAT C
22.59707786,65.66398228,0,0,57.68333333,-2.710648148
22.69579745,36.62660855,0,0,58.74166667,-3.45462963
22.36776864,5.638141339,0,0,62.925,-4.209259259
21.67902939,25.84837429,0,0,61.9,-4.398148148
21.1597545,27.13848801,0,0,61.43333333,-4.674537037
20.7640393,29.68425203,0,0,60.775,-4.97962963
20.48110403,32.84858077,0,0,61.35833333,-5.235648148
20.29895023,32.17107742,0,0,63.29166667,-5.418518519
20.22487258,32.94662089,0,0,61.275,-5.537037037
20.07946874,34.80849881,0,0,64.34166667,-5.710648148
19.98743715,34.69292046,0,0,64.74166667,-6.04212963
19.90839689,35.67400614,0,0,64.35833333,-6.233333333
19.81405692,36.28641336,0,0,65.54166667,-6.35462963
20.16330866,82.33727719,0,0,67.05833333,-6.231481481
21.20688336,66.21718525,32.88222547,30.47304902,68.175,-5.859259259
22.13286358,64.02745518,90.35501701,291.0185284,67.5,-5.706481481
22.83412297,31.56423076,139.2590276,61.99348624,66.38333333,-5.376851852
22.68471652,38.47765973,135.8513671,15.46498248,69.31666667,-5.105555556
22.59709478,55.59816662,136.1271045,11.71805509,72.575,-5.321296296
22.78259764,29.69947402,136.3503746,24.45710834,73.03333333,-5.188425926
22.62260625,60.25489263,71.7204979,4.3350653,76.05,-5.293055556
22.80287428,35.49194954,40.80062239,3.951143534,81.58333333,-5.092592593
22.70393622,62.93664305,9.560734493,3.702725836,85.15,-5.233796296
22.77143124,45.90232861,0,0,88.95833333,-5.240740741
22.86518659,37.34771779,0,0,90.05,-5.337037037
22.77799986,56.13780531,0,0,90.65,-5.298148148
22.65885176,5.388130395,0,0,91.14166667,-5.129166667
21.76592837,24.46407296,0,0,93.43,-5.282777838
21.14020222,28.15511122,0,0,91.81999872,-6.042685218
20.72782687,30.88948409,0,0,89.45,-6.97037037
20.42947028,33.36020858,0,0,86.94166667,-7.334722222
20.30235301,33.15196992,0,0,85.95,-7.550925926
20.1003529,35.29330468,0,0,84.83333333,-8.250925926
19.93443888,36.54001932,0,0,84.625,-8.859259259
19.79059927,38.08324203,0,0,82.48333333,-9.763425925
19.61946809,38.18685463,0,0,81.16666667,-10.62268519
19.49449496,40.31245153,0,0,81.79166667,-11.16481482
19.63645181,76.79218108,0,0,83.20833333,-11.63101852
20.50265179,71.58566649,37.12768313,42.57958061,83.06666667,-11.50046296
21.62065358,63.63886384,93.59331393,54.54481504,79.7,-10.69814815
22.65508241,41.17905225,135.5828187,47.69177299,73.51666667,-9.796759259
