# # iwNorthAvgTemp,heatEnergy,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode,mullInsulationThickness,intMass,mullSurfaceArea,infilRate
2.256108175137860172e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.760833332999999357e+01,1.658333332999999854e+01,2.211410556919999948e+01,0.000000000000000000e+00,2.292426555402274704e-03,6.030346213077508537e+02,1.629031692046471136e+00,5.462092826985590066e-02
2.048117366684070006e+01,2.312914356191289933e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.940000000000000568e+01,8.788888888999998983e+00,2.061605623170000001e+01,1.000000000000000000e+00,3.824497890101587107e-03,2.989519387709384546e+02,1.247790090156262188e+00,1.363086379243810820e-01
2.145913349714550122e+01,1.447013585260119939e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.267499999999999716e+01,-1.300925925999999899e+00,2.909221162420000084e+01,1.000000000000000000e+00,4.917973811873119910e-03,7.056881098941396431e+02,1.674276763258577105e+00,1.310999833284062221e-01
2.214774160849760065e+01,1.461859248611730067e+01,9.651590143999999327e+01,7.863819288999999380e+00,8.553333333000000493e+01,5.163888888999999871e+00,3.501343170000000526e+01,1.000000000000000000e+00,3.527092635490707267e-03,6.611121631579713949e+02,1.338085671936466436e+00,2.181663616427807484e-01
2.177877876056270168e+01,6.892070696915889982e+01,2.277404166999999813e+00,1.888633220000000001e+00,7.710833332999999357e+01,1.620370369999999949e-01,5.887896550829999853e+01,1.000000000000000000e+00,3.306431697746124200e-03,8.831505608723554133e+02,1.579668323770454741e+00,2.267329554163327043e-01
1.979710548853690000e+01,3.540185926036329978e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.704999999999999716e+01,1.088749999999999929e+01,2.008544670000000210e+01,1.000000000000000000e+00,2.778609712001100032e-03,9.653148513683516967e+02,1.566750299884410946e+00,2.286606603686853478e-01
1.907301961742840035e+01,2.918894898945979932e+01,2.435318444000000113e+02,5.090891428000000474e+02,4.423333333000000067e+01,4.818518518999999500e+00,2.647986510579999830e+01,1.000000000000000000e+00,1.781464319824298953e-03,5.957030745319588050e+02,1.718418101108737162e+00,2.886271828006232720e-01
1.865443342384410030e+01,0.000000000000000000e+00,1.727336740999999876e+01,1.380398961999999896e+00,5.594166666999999649e+01,1.102592592999999965e+01,2.152170370829999868e+01,0.000000000000000000e+00,4.255687009393358672e-03,5.493702702334533114e+02,1.428035967299972286e+00,2.061150746709764781e-01
2.053567550036390088e+01,1.403861766357699992e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.160833333000000067e+01,4.124999999999999778e-01,2.572623723999999967e+01,1.000000000000000000e+00,4.405907739878772537e-03,9.608120377049306171e+02,1.498155789825151185e+00,6.495283742205516797e-02
1.757210956839049842e+01,3.644975038049179883e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.029166666999999791e+01,1.020185185000000061e+01,2.133521620420000175e+01,0.000000000000000000e+00,4.638212089544390196e-03,6.543862860402080059e+02,1.440383818967531759e+00,2.745252384804272028e-01
2.106131793442959932e+01,4.903813059863449730e+00,1.133794110999999987e+02,9.298101579000000356e+02,3.404999999999999716e+01,2.969444445000000155e+00,3.466549870170000247e+01,1.000000000000000000e+00,3.339052708267953740e-03,9.008567570325216138e+02,1.234994493021874584e+00,1.474856686123705019e-01
1.756538822568230174e+01,2.735439316818839828e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.216666666999999791e+01,-5.910648147999999935e+00,3.572484257920000061e+01,1.000000000000000000e+00,4.179868108572955092e-03,6.351317699966004966e+02,1.257874797332286132e+00,9.049919346397035380e-02
2.288024611584859969e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.526666667000000643e+01,1.408194443999999912e+01,2.425920509330000030e+01,0.000000000000000000e+00,3.458002982923428364e-03,3.053525414543900069e+02,1.477818336328168725e+00,2.442789770251382331e-01
2.103418518663929859e+01,4.444891005423080088e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.155833332999999641e+01,2.814814810000000334e-01,3.849690379580000155e+01,1.000000000000000000e+00,1.738140256774112821e-03,9.590512211736621566e+02,1.632375195716881500e+00,6.643207136581431860e-02
2.030411752043620055e+01,2.329304364955260098e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.018333332999999641e+01,-5.630092592999999646e+00,3.475213722249999648e+01,1.000000000000000000e+00,2.049039644090431492e-03,5.160831528495831435e+02,1.560361348708395157e+00,7.687925119218914916e-02
2.050293745797370093e+01,7.806444521022769756e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.209999999999999432e+01,9.590740740999999403e+00,3.109321273579999811e+01,1.000000000000000000e+00,4.284385317355886291e-03,6.183462766457651014e+02,1.313602311034923531e+00,2.960985808933047636e-01
2.051150910194860089e+01,3.559083787768540219e+01,4.217488003999999790e+00,5.059697765000000125e+00,7.159166666999999507e+01,3.267592593000000267e+00,4.796266944500000307e+01,1.000000000000000000e+00,2.885388626613707985e-03,3.791948990636717554e+02,1.268769458012179774e+00,2.927458162355989768e-01
1.974670774600589951e+01,2.610033196766499941e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.771666666999999507e+01,-2.379166666999999791e+00,3.748843759329999870e+01,1.000000000000000000e+00,1.585580070708691568e-03,2.411374684103782613e+02,1.493692091513911580e+00,8.135252868450341956e-02
2.361700667036980050e+01,0.000000000000000000e+00,1.327166144999999915e+02,8.868785927000001266e+02,4.664999999999999858e+01,1.530787036999999984e+01,2.225705487500000146e+01,0.000000000000000000e+00,1.610287810713308294e-03,5.072074908894314831e+02,1.387033217170336119e+00,2.031784460183815866e-01
2.304805506440009921e+01,6.396139852114689717e+01,4.080062239000000091e+01,3.951143533999999846e+00,8.158333333000000209e+01,-5.092592593000000001e+00,5.259741921330000025e+01,1.000000000000000000e+00,1.518756680930412979e-03,9.861496451231035962e+02,1.648470147888595694e+00,1.726372644375614440e-01
2.143637594106910171e+01,2.132377419325090173e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.348333332999999357e+01,6.939351852000000598e+00,2.156221687580000079e+01,1.000000000000000000e+00,3.971616373253205115e-03,8.507972317014980490e+02,1.191701401481943146e+00,3.047969168225339587e-02
2.187832514783969984e+01,2.637843363341140090e+01,1.824446877999999970e+02,2.594688188000000082e+02,6.865000000000000568e+01,-2.637962963000000105e+00,4.083604726920000161e+01,1.000000000000000000e+00,2.615663267023798748e-03,9.039064238561555840e+02,1.516247440060730423e+00,2.749208736563168998e-01
2.207368264628760102e+01,1.196093753864129994e+01,1.604486900999999932e+02,2.437640044000000117e+01,8.273333332999999357e+01,5.510648147999999580e+00,3.426171686080000001e+01,1.000000000000000000e+00,2.547196972466337327e-03,4.868112133180321734e+02,1.185159301156786693e+00,4.608895748565876999e-02
2.149203169106310085e+01,1.355733939233200047e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.318333332999999641e+01,4.723148147999999935e+00,3.421131605579999757e+01,1.000000000000000000e+00,2.012794352896863682e-03,9.777420887184571257e+02,1.293024177805299768e+00,7.046420300450340068e-02
2.346538532596339977e+01,2.701499287328540166e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.194166666999999649e+01,1.061990740999999971e+01,2.190098823170000131e+01,1.000000000000000000e+00,3.184932051740273651e-03,5.935259858316915142e+02,1.524131258141881107e+00,9.152301312522151400e-02
2.141405594044480054e+01,0.000000000000000000e+00,1.530357812999999965e+02,6.433422338999999823e+00,8.096666666999999507e+01,1.438888889000000049e+01,2.457497163500000070e+01,0.000000000000000000e+00,2.511708593220739541e-03,4.946463301214581065e+02,1.479405564137819873e+00,2.216231788111096002e-01
2.341331749995639910e+01,0.000000000000000000e+00,9.812929076999999722e+01,3.110380746000000158e+02,8.461666667000000075e+01,1.637083332999999996e+01,2.493124334750000060e+01,0.000000000000000000e+00,2.292426555402274704e-03,6.030346213077508537e+02,1.629031692046471136e+00,5.462092826985590066e-02
1.665420883323690049e+01,8.660531531721520793e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.405833332999999641e+01,3.353703703999999952e+00,2.160522363920000188e+01,1.000000000000000000e+00,3.458002982923428364e-03,3.053525414543900069e+02,1.477818336328168725e+00,2.442789770251382331e-01
1.956279190146560154e+01,1.960385028132219887e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.563333332999999925e+01,-1.268518518000000039e+00,4.777718037079999647e+01,1.000000000000000000e+00,4.230354047994820330e-03,6.673948740497589824e+02,1.149506881582678108e+00,1.904301576465178836e-01
1.751056083503939931e+01,7.771889429710109987e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.934166666999999507e+01,3.474074073999999790e+00,2.814855117999999834e+01,1.000000000000000000e+00,4.896822471752274725e-03,6.405995570414484064e+02,1.272296484362102964e+00,1.156027737857268228e-01
