# # iw north average temp C,iw heating energy kWh,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode
2.204643010999999930e+01,3.300629032999999879e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.870833333000000209e+01,-7.064814820000000495e-01,4.249852277829999991e+01,1.000000000000000000e+00
2.165719354999999879e+01,2.094598077999999930e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.747499999999999432e+01,1.762499999999999956e+00,3.470753309829999722e+01,1.000000000000000000e+00
1.958757887000000153e+01,3.656981206999999756e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.020000000000000284e+01,-7.607870369999999660e+00,4.279474745329999763e+01,1.000000000000000000e+00
2.092759519000000168e+01,2.717945363999999842e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.697499999999999432e+01,-1.578703704000000041e+00,3.842050277669999758e+01,1.000000000000000000e+00
2.214555997000000076e+01,1.609367542000000029e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.699166667000000075e+01,6.223611111000000307e+00,3.040163081000000034e+01,1.000000000000000000e+00
2.279078512999999973e+01,4.123834764000000064e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.356666667000000359e+01,9.270370370000000193e+00,4.360372611500000062e+01,1.000000000000000000e+00
2.214089953999999949e+01,1.469841798000000033e+01,1.642985749999999996e+02,1.131563139000000007e+01,4.781666666999999649e+01,7.821759258999999354e+00,3.132565414329999953e+01,1.000000000000000000e+00
2.268876124000000161e+01,1.009502477999999925e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.955833332999999641e+01,7.554166667000000501e+00,2.935362157750000023e+01,1.000000000000000000e+00
2.026198176999999845e+01,3.384755379999999292e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.183333333000000209e+01,-5.290277778000000097e+00,4.220852846999999741e+01,1.000000000000000000e+00
1.872154203999999922e+01,2.265860727999999824e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.635833333000000067e+01,-4.567592593000000534e+00,3.151571414749999889e+01,1.000000000000000000e+00
2.033361423999999928e+01,3.397693342000000172e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.543333332999999641e+01,-3.259722221999999725e+00,4.206248319579999873e+01,1.000000000000000000e+00
2.282105908999999855e+01,3.840306467999999995e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.035000000000000142e+01,-4.344907408000000082e+00,5.542709129669999868e+01,1.000000000000000000e+00
2.075365714999999867e+01,2.900399999000000051e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.395000000000000284e+01,-3.305555560000000281e-01,4.010654916749999899e+01,1.000000000000000000e+00
2.274565086000000136e+01,1.956926607999999845e+01,9.651590143999999327e+01,7.863819288999999380e+00,8.553333333000000493e+01,5.163888888999999871e+00,3.501343170000000526e+01,1.000000000000000000e+00
2.307137033000000059e+01,5.557611718999999617e+00,8.899302376999999353e+01,3.125371399999999653e+02,7.359166666999999507e+01,5.810185179999999283e-01,3.907748277750000199e+01,1.000000000000000000e+00
2.093903833999999975e+01,3.529854251999999804e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.184999999999999432e+01,-1.262499999999999956e+00,2.285830408170000183e+01,1.000000000000000000e+00
2.191464583999999860e+01,1.869897174000000106e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.891666666999999791e+01,4.599074073999999790e+00,3.394925694329999999e+01,1.000000000000000000e+00
2.092344781999999981e+01,2.728143406999999954e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.035833332999999357e+01,-4.722222200000000120e-02,3.834832330580000104e+01,1.000000000000000000e+00
2.422224526999999838e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.611666667000000075e+01,1.722083333999999866e+01,2.306765304250000170e+01,0.000000000000000000e+00
2.170610750999999894e+01,5.077766200000000119e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.921666666999999507e+01,-4.113888889000000049e+00,3.199925043500000044e+01,1.000000000000000000e+00
2.274319552000000044e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.545000000000000284e+01,1.305509258999999922e+01,2.353680250580000077e+01,0.000000000000000000e+00
2.191101025000000035e+01,9.305973652999998791e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.995000000000000284e+01,6.367129629999999985e+00,2.838679444579999966e+01,1.000000000000000000e+00
1.838100799999999779e+01,2.605315338000000125e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.763333332999999925e+01,-5.147685185000000274e+00,3.388849210330000261e+01,1.000000000000000000e+00
2.253253331999999887e+01,1.253238258000000016e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.925833332999999925e+01,4.278703703999999775e+00,3.002860065750000018e+01,1.000000000000000000e+00
2.232113066000000146e+01,1.401035850999999965e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.104166666999999791e+01,1.080787036999999984e+01,3.090927404580000015e+01,1.000000000000000000e+00
2.247158397999999835e+01,2.085231601999999995e+01,2.833297113999999510e+02,3.447984519999999975e+02,4.768333333000000351e+01,1.987962963000000194e+00,4.058660213000000283e+01,1.000000000000000000e+00
2.315623675000000148e+01,2.290052504000000155e+01,9.549688378000000455e+01,6.876622523000000342e+01,5.670000000000000284e+01,1.891666666999999968e+00,3.758308055079999832e+01,1.000000000000000000e+00
2.110129080999999829e+01,2.852598838000000114e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.354166666999999791e+01,-3.185185184999999919e+00,3.799450194420000315e+01,1.000000000000000000e+00
2.402973830999999905e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.945000000000000284e+01,1.738657407000000177e+01,2.381128219580000049e+01,0.000000000000000000e+00
2.168476489999999757e+01,1.980556277999999892e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.151666667000000643e+01,3.635185185000000097e+00,3.445057615329999834e+01,1.000000000000000000e+00
1.871169466999999997e+01,1.953903810000000263e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.455833332999999641e+01,-1.444444440000000052e-01,3.111941828750000028e+01,1.000000000000000000e+00
