# # cmbedY,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode,mullInsulationThickness,intMass,mullSurfaceArea,infilRate
2.298461821500210078e+01,9.057513640999999893e+00,2.482003914999999949e+00,9.761666667000000075e+01,8.403240740999999403e+00,3.441691861999999702e+01,1.000000000000000000e+00,1.658029236137629949e-03,3.671868875213640422e+02,1.488353596742550300e+00,1.141890228826274861e-02
1.484794320813420043e+01,1.343906248000000119e+02,5.696424505999999610e+02,7.077500000000000568e+01,8.523148149999999479e-01,3.284077808829999867e+01,1.000000000000000000e+00,4.854050160588961778e-03,3.124929504738755099e+02,1.606740892362930273e+00,1.555921218127025857e-02
2.017980267864010102e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.025833332999999925e+01,4.130555556000000017e+00,1.866258597170000044e+01,1.000000000000000000e+00,2.262878208738006332e-03,5.177852966958391789e+02,1.717641956315186125e+00,2.762231321846301824e-01
2.409043500113270042e+01,1.358513670999999761e+02,1.546498247999999975e+01,6.931666667000000359e+01,-5.105555556000000550e+00,4.844079884170000128e+01,1.000000000000000000e+00,3.810553757276307577e-03,2.668123485865638713e+02,1.576372166016254406e+00,1.431899960426390450e-01
2.339947735287769959e+01,1.144500440000000019e+01,3.446791297999999983e+02,4.776666666999999933e+01,8.892592592999999823e+00,3.124934467499999968e+01,1.000000000000000000e+00,2.793333810631603784e-03,3.308802213311930700e+02,1.220863329558248722e+00,3.651110593206070148e-02
1.384081913109150008e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.322499999999999432e+01,4.589814815000000436e+00,3.451297389500000179e+01,1.000000000000000000e+00,3.290622211484833110e-03,4.751222407892379351e+02,1.385464958536415381e+00,9.285968616551874832e-02
2.639988632927089895e+01,7.520811369999999840e+01,1.964269308000000080e+02,5.608333333000000209e+01,2.024537036999999984e+01,2.465022777829999967e+01,0.000000000000000000e+00,2.079797831601540650e-03,2.396990434701755248e+02,1.160905987431990249e+00,5.653263469274560915e-02
2.440735744729959933e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.167499999999999716e+01,-2.262037036999999806e+00,3.967206777749999702e+01,1.000000000000000000e+00,1.567973499795929319e-03,7.925069141062398330e+02,1.436185018555170334e+00,2.407490452948076454e-01
2.176340128246970096e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.692499999999999716e+01,8.426851852000000420e+00,3.151604651419999925e+01,1.000000000000000000e+00,1.386057098445714038e-03,3.589153223838914641e+02,1.530741305761307292e+00,2.988015018462736316e-02
2.054213004716860169e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.220000000000000284e+01,5.509259258999999354e+00,3.372763637919999979e+01,1.000000000000000000e+00,2.432982096704852659e-03,4.790099240320593594e+02,1.556650084679933155e+00,1.523263590679505841e-01
8.021149018746379866e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.947500000000000142e+01,6.454166667000000857e+00,2.955213223920000232e+01,1.000000000000000000e+00,1.951095358222731772e-03,7.464609562499406366e+02,1.265068096082102134e+00,2.262489787754957127e-01
6.477276618547259668e-01,1.285175442999999973e+02,8.050858352999998715e+02,6.442499999999999716e+01,1.515416667000000039e+01,2.363232314749999929e+01,5.833333333000000342e-01,3.744688766127054948e-03,5.806793323229542239e+02,1.400921272516025162e+00,2.218030212695564218e-01
7.077714302861649820e+00,2.294469941000000119e+02,2.797611125000000243e+02,5.767499999999999716e+01,1.156250000000000000e+01,2.665008306829999896e+01,1.000000000000000000e+00,2.079797831601540650e-03,2.396990434701755248e+02,1.160905987431990249e+00,5.653263469274560915e-02
2.140418583686719955e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.699166667000000075e+01,6.223611111000000307e+00,3.040163081000000034e+01,1.000000000000000000e+00,3.595009554233450505e-03,4.319677408068914133e+02,1.288830253931833036e+00,2.176664342541329011e-01
2.293515906238589963e+01,4.811033788999999672e+00,5.366233990000000009e-01,9.625000000000000000e+01,3.862962963000000194e+00,4.518593861499999775e+01,1.000000000000000000e+00,1.107478208767713902e-03,5.610790790195485442e+02,1.474583545918314531e+00,7.417226594415825269e-02
0.000000000000000000e+00,1.850719794999999834e+01,6.054832668999999612e+00,8.250833332999999925e+01,1.590648148000000006e+01,2.355846990750000103e+01,0.000000000000000000e+00,3.620740736492312345e-03,4.823562847477201103e+02,1.672821708166366328e+00,1.395818971126371044e-01
1.608080895315120173e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.029166666999999791e+01,3.253703703999999863e+00,2.860305330999999995e+01,1.000000000000000000e+00,3.408130994495622672e-03,8.569322525443425320e+02,1.332211347827509940e+00,2.572587927010658859e-01
6.277144204244019754e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.505833332999999641e+01,-1.064351851999999932e+00,3.361211361670000031e+01,1.000000000000000000e+00,3.658760112258528478e-03,7.521081822631390423e+02,1.131462503166986489e+00,9.672905133677735245e-02
2.235132534812060001e+01,3.054817539000000082e+01,1.777732379000000051e+01,7.321666666999999507e+01,-1.147916666999999968e+01,6.393290736250000350e+01,1.000000000000000000e+00,3.991221110372896244e-03,6.458206854809893684e+02,1.598395449666914159e+00,7.120130536053095871e-02
2.166235848990909929e+00,1.372228683000000160e+02,7.546476489000000356e+02,6.748333332999999357e+01,1.314166666999999933e+01,2.428959636169999925e+01,1.000000000000000000e+00,3.726046448062451510e-03,6.743499750597929960e+02,1.268396568403673319e+00,2.591311643696987688e-02
4.091166288843889731e+01,1.211736260999999928e+02,5.711467848999999930e+00,7.806666667000000359e+01,5.727314814999999726e+00,5.830612092580000194e+01,8.333333333000000342e-01,4.255687009393358672e-03,5.493702702334533114e+02,1.428035967299972286e+00,2.061150746709764781e-01
2.085090024585289825e+01,1.370017157999999995e+02,7.434612687000001188e+02,2.434166666999999862e+01,7.523611111000000129e+00,2.014427866500000164e+01,1.000000000000000000e+00,1.738140256774112821e-03,9.590512211736621566e+02,1.632375195716881500e+00,6.643207136581431860e-02
2.257245562642399861e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.306666667000000359e+01,1.717592593000000223e+00,3.473589300919999800e+01,1.000000000000000000e+00,2.969466051096743189e-03,9.145501043476036784e+02,1.619998084014943274e+00,1.538110156527011940e-01
2.732377337848609855e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.994166667000000359e+01,7.379629629999999718e-01,3.809466921420000318e+01,1.000000000000000000e+00,1.367350156576283655e-03,5.237447313752736591e+02,1.526312543065545091e+00,9.350333496781974840e-02
3.600096430965510308e+01,8.120563117000000375e+01,9.865248370000000433e-01,7.351666667000000643e+01,1.851388814999999965e+00,3.867405717999999837e+01,1.000000000000000000e+00,3.162218240629912757e-03,8.505708517148543706e+02,1.715453664696391822e+00,1.563131157074168220e-01
5.091465733092589652e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.045000000000000284e+01,7.192592592999999646e+00,2.242523590170000247e+01,0.000000000000000000e+00,2.904950149537445687e-03,3.459000597639321768e+02,1.591683661259200466e+00,1.804895251542102119e-01
7.865138268680119893e+00,4.711155289999999773e+00,1.147741753999999901e+02,3.305833333000000351e+01,1.129629629999999940e+00,3.607859860330000146e+01,1.000000000000000000e+00,3.832248425692501119e-03,2.337631545723137663e+02,1.424877227953950332e+00,2.629081939068249052e-01
1.990479754728299966e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.377500000000000568e+01,1.077407408000000011e+01,2.683921889750000034e+01,1.000000000000000000e+00,4.537371093701718372e-03,9.352700661756073259e+02,1.179989941229288020e+00,1.781272887438974939e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.530833332999999641e+01,1.556064815000000046e+01,2.460112825919999935e+01,0.000000000000000000e+00,2.262878208738006332e-03,5.177852966958391789e+02,1.717641956315186125e+00,2.762231321846301824e-01
2.320030876732920078e+01,7.161706197000000884e+00,9.380391351000000100e+01,4.309166667000000217e+01,-7.773148149999999923e-01,5.033448939830000057e+01,1.000000000000000000e+00,3.139754976994902323e-03,7.704276992280269951e+02,1.418408171933415840e+00,6.738528039225515076e-02
