# # iwNorthAvgTemp,heatEnergy,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode,mullInsulationThickness,intMass,mullSurfaceArea,infilRate
2.194134804698069985e+01,8.800689105664080358e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.421666666999999507e+01,1.333796296000000048e+00,2.907493922579999790e+01,1.000000000000000000e+00,2.121159456615248282e-03,8.456987504729480634e+02,1.245379072100847084e+00,1.938132478160974892e-01
2.188732151295510064e+01,1.220736598322569932e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.052500000000000568e+01,4.231944443999999805e+00,3.177564213499999823e+01,1.000000000000000000e+00,3.458002982923428364e-03,3.053525414543900069e+02,1.477818336328168725e+00,2.442789770251382331e-01
2.008366755254460045e+01,2.819712835374240001e+01,2.038084840000000213e+02,3.136021528000000114e+00,8.034166666999999507e+01,-4.102314814999999726e+00,4.803745953669999835e+01,1.000000000000000000e+00,4.313712134200614091e-03,9.681887331781605326e+02,1.296809219186881634e+00,1.547143171886814494e-01
2.351598457541370024e+01,3.311256809195050010e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.652499999999999858e+01,3.133333332999999943e+00,4.260709416579999953e+01,1.000000000000000000e+00,2.969466051096743189e-03,9.145501043476036784e+02,1.619998084014943274e+00,1.538110156527011940e-01
2.287280973211689883e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.809999999999999432e+01,1.662638889000000120e+01,2.357256374079999972e+01,0.000000000000000000e+00,2.728238875768560119e-03,3.982661048848825658e+02,1.339252835768103500e+00,3.914501042940056463e-02
1.884179590942079940e+01,2.791115775569030077e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.540000000000000568e+01,-2.274074074000000056e+00,3.193759048169999915e+01,1.000000000000000000e+00,2.993458210199238280e-03,4.255960473909749453e+02,1.634517328801702973e+00,2.416941769666658413e-01
2.151167836302580127e+01,3.130004112283990025e+01,7.629788777999999105e+00,1.180528425999999964e+00,9.088333332999999925e+01,2.984722221999999814e+00,5.287123342670000170e+01,1.000000000000000000e+00,2.547196972466337327e-03,4.868112133180321734e+02,1.185159301156786693e+00,4.608895748565876999e-02
2.141408540284890094e+01,2.531751733436099983e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.765833333000000493e+01,-2.020833333000000120e+00,3.641451874999999916e+01,1.000000000000000000e+00,3.103778468602168099e-03,8.187114569991567805e+02,1.692167381878901811e+00,5.843053507267008395e-02
2.237638345845149956e+01,2.349848954372770038e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.080833332999999641e+01,-7.782407409999999581e-01,4.322834231419999895e+01,1.000000000000000000e+00,3.984294276101854257e-03,6.884399455253512770e+02,1.471197551397200876e+00,8.310275764942735843e-02
2.257451142091489871e+01,4.002853435794789760e+01,4.299966169000000349e+01,1.288711657999999982e+00,6.950000000000000000e+01,-4.861111111000000484e+00,4.822523458330000068e+01,1.000000000000000000e+00,4.091309303554037380e-03,7.014619636920560879e+02,1.546689360619299070e+00,1.137805286907227487e-01
