,F,C,sim results
2017-01-01T13:35:00Z,71.02812,21.68228889,20.89745549
2017-01-01T13:40:00Z,71.24,21.8,21.00643594
2017-01-01T13:45:00Z,71.456,21.92,21.13441604
2017-01-01T13:50:00Z,71.7053757,22.05854206,21.28299909
2017-01-01T13:55:00Z,71.996,22.22,21.42296746
2017-01-01T14:00:00Z,72.29433,22.38573889,21.6818521
2017-01-01T14:05:00Z,72.52808,22.5156,21.89339367
2017-01-01T14:10:00Z,72.76995,22.64997222,22.04122353
2017-01-01T14:15:00Z,72.968,22.76,22.15212358
2017-01-01T14:20:00Z,73.13744,22.85413333,22.25778889
2017-01-01T14:25:00Z,73.31335,22.95186111,22.36534757
2017-01-01T14:30:00Z,73.472,23.04,22.4624066
2017-01-01T14:35:00Z,73.69547,23.16415,22.54757903
2017-01-01T14:40:00Z,73.91589,23.28660556,22.62875613
2017-01-01T14:45:00Z,74.1056747,23.3920415,22.70111704
2017-01-01T14:50:00Z,74.28224,23.49013333,22.76397871
2017-01-01T14:55:00Z,74.444,23.58,22.82092967
2017-01-01T15:00:00Z,74.60949,23.67193889,22.86757607
2017-01-01T15:05:00Z,74.6459351,23.69218617,22.96397712
2017-01-01T15:10:00Z,74.696,23.72,23.09445554
2017-01-01T15:15:00Z,74.67561,23.70867222,23.29838129
2017-01-01T15:20:00Z,74.67154,23.70641111,23.46182076
2017-01-01T15:25:00Z,74.66,23.7,23.56537237
2017-01-01T15:30:00Z,74.6948242,23.71934678,23.70952185
2017-01-01T15:35:00Z,74.66,23.7,23.81086683
2017-01-01T15:40:00Z,74.65914,23.69952222,24.00845358
2017-01-01T15:45:00Z,74.6268,23.68155556,24.18176295
2017-01-01T15:50:00Z,74.66,23.7,24.31736765
2017-01-01T15:55:00Z,74.58404,23.6578,24.41104839
2017-01-01T16:00:00Z,74.549614,23.63867444,24.47612525
2017-01-01T16:05:00Z,74.4666061,23.59255894,24.54391803
2017-01-01T16:10:00Z,74.372,23.54,24.62766708
2017-01-01T16:15:00Z,74.3451,23.52505556,24.6854689
2017-01-01T16:20:00Z,74.24628,23.47015556,24.73401625
2017-01-01T16:25:00Z,74.2227554,23.45708633,24.78581479
2017-01-01T16:30:00Z,74.156,23.42,24.84633947
2017-01-01T16:35:00Z,74.13471,23.40817222,24.90695737
2017-01-01T16:40:00Z,74.10268,23.39037778,24.97239019
2017-01-01T16:45:00Z,74.084,23.38,25.04119125
2017-01-01T16:50:00Z,74.048,23.36,25.09725234
2017-01-01T16:55:00Z,74.048,23.36,25.13667384
2017-01-01T17:00:00Z,74.048,23.36,25.17117851
2017-01-01T17:05:00Z,74.048,23.36,25.18955196
2017-01-01T17:10:00Z,74.05472,23.36373333,25.20739042
2017-01-01T17:15:00Z,74.07665,23.37591667,25.23672815
2017-01-01T17:20:00Z,74.06233,23.36796111,25.27693904
2017-01-01T17:25:00Z,74.07673,23.37596111,25.32983868
2017-01-01T17:30:00Z,74.12,23.4,25.38389489
2017-01-01T17:35:00Z,74.0972,23.38733333,25.43836219
2017-01-01T17:40:00Z,74.13569,23.40871667,25.48573472
2017-01-01T17:45:00Z,74.11256,23.39586667,25.52191974
2017-01-01T17:50:00Z,74.0991745,23.38843028,25.56529131
2017-01-01T17:55:00Z,74.09836,23.38797778,25.57410943
2017-01-01T18:00:00Z,74.12,23.4,25.59668163
2017-01-01T18:05:00Z,74.12,23.4,25.607862
2017-01-01T18:10:00Z,74.12,23.4,25.61111924
2017-01-01T18:15:00Z,74.05553,23.36418333,25.61180036
2017-01-01T18:20:00Z,74.048,23.36,25.65646773
2017-01-01T18:25:00Z,74.00469,23.33593889,25.71007924
2017-01-01T18:30:00Z,73.96853,23.31585,25.74312959
2017-01-01T18:35:00Z,73.94,23.3,25.7820921
2017-01-01T18:40:00Z,73.94347,23.30192778,25.81370625
2017-01-01T18:45:00Z,73.94721,23.30400556,25.84192041
2017-01-01T18:50:00Z,74.048,23.36,25.8885766
2017-01-01T18:55:00Z,73.9805,23.3225,25.94820655
2017-01-01T19:00:00Z,74.0678,23.371,26.01894544
2017-01-01T19:05:00Z,74.10915,23.39397222,26.08204695
2017-01-01T19:10:00Z,74.12,23.4,26.13114281
2017-01-01T19:15:00Z,74.12,23.4,26.18048393
2017-01-01T19:20:00Z,74.1142044,23.39678022,26.25820951
2017-01-01T19:25:00Z,74.0842,23.38011111,26.33222443
2017-01-01T19:30:00Z,74.084,23.38,26.41535818
2017-01-01T19:35:00Z,74.10181,23.38989444,26.49462358
2017-01-01T19:40:00Z,74.08302,23.37945556,26.5698642
2017-01-01T19:45:00Z,74.0143051,23.34128061,26.66644268
2017-01-01T19:50:00Z,74.01543,23.34190556,26.75961182
2017-01-01T19:55:00Z,73.99967,23.33315,26.85613496
2017-01-01T20:00:00Z,73.93285,23.29602778,26.95239307
2017-01-01T20:05:00Z,73.9143143,23.28573017,27.04594897
2017-01-01T20:10:00Z,73.9109,23.28383333,27.14148775
2017-01-01T20:15:00Z,73.94,23.3,27.21153284
2017-01-01T20:20:00Z,73.94,23.3,27.29004718
2017-01-01T20:25:00Z,73.95626,23.30903333,27.36899696
2017-01-01T20:30:00Z,73.976,23.32,27.45052663
2017-01-01T20:35:00Z,74.07205,23.37336111,27.54071675
2017-01-01T20:40:00Z,74.07167,23.37315,27.60025406
2017-01-01T20:45:00Z,74.12,23.4,27.62607076
2017-01-01T20:50:00Z,74.12,23.4,27.51144115
2017-01-01T20:55:00Z,74.12,23.4,27.14848198
2017-01-01T21:00:00Z,74.084,23.38,26.78612861
2017-01-01T21:05:00Z,74.084,23.38,26.49641438
2017-01-01T21:10:00Z,73.9932251,23.3295695,26.12738576
2017-01-01T21:15:00Z,73.9494553,23.30525294,26.06843359
2017-01-01T21:20:00Z,73.94,23.3,26.42506287
2017-01-01T21:25:00Z,73.8887,23.2715,26.86946132
2017-01-01T21:30:00Z,73.85147,23.25081667,27.10216192
2017-01-01T21:35:00Z,73.832,23.24,27.16064386
2017-01-01T21:40:00Z,73.76,23.2,27.26231247
2017-01-01T21:45:00Z,73.70594,23.16996667,26.70418799
2017-01-01T21:50:00Z,73.64779,23.13766111,26.28741477
2017-01-01T21:55:00Z,73.61167,23.11759444,25.98668095
2017-01-01T22:00:00Z,73.57277,23.09598333,25.56816904
2017-01-01T22:05:00Z,73.45184,23.0288,25.31841693
2017-01-01T22:10:00Z,73.3765945,22.98699694,25.19162549
2017-01-01T22:15:00Z,73.31614,22.95341111,25.09399586
2017-01-01T22:20:00Z,73.23037,22.90576111,24.99526462
2017-01-01T22:25:00Z,73.184,22.88,24.89114523
