# # iw north average temp C,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode
2.093903833999999975e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.184999999999999432e+01,-1.262499999999999956e+00,2.285830408169999828e+01,1.000000000000000000e+00
2.285300027999999983e+01,1.103356804000000011e+02,5.640867054000000280e+01,7.204999999999999716e+01,1.636759259000000100e+01,2.766860471329999882e+01,0.000000000000000000e+00
2.185749828999999878e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.169166667000000359e+01,7.768518517999999595e+00,3.412091876080000219e+01,1.000000000000000000e+00
2.516994524000000055e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.821666666999999507e+01,1.726203703999999917e+01,2.396525601829999985e+01,0.000000000000000000e+00
2.080101237999999952e+01,8.037815593999999919e+01,8.569071378999999524e+02,3.975833332999999925e+01,1.678703703999999908e+00,2.408332026420000105e+01,1.000000000000000000e+00
2.194767828999999892e+01,7.339292589999999450e+01,7.027493319000000156e+02,7.250833332999999925e+01,7.006084482000000335e+00,4.872395935000000122e+01,1.000000000000000000e+00
2.241089295000000092e+01,1.374364946999999972e+02,2.386693665000000131e+00,8.039166667000000643e+01,1.054953704000000059e+01,3.284654925750000132e+01,1.000000000000000000e+00
2.254196121000000019e+01,1.917569827000000089e+02,4.740596648000000073e+02,7.012500000000000000e+01,5.868055555999999839e+00,2.671583294499999894e+01,1.000000000000000000e+00
2.277222171000000017e+01,1.787462238000000170e+01,2.965215889999999743e-01,7.575000000000000000e+01,3.097685185000000008e+00,3.799111843000000022e+01,1.000000000000000000e+00
2.481308367000000104e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.950833332999999925e+01,1.517129629999999985e+01,2.451911387330000025e+01,0.000000000000000000e+00
2.523893209999999954e+01,9.706951069999999504e+01,1.140618319999999954e+02,6.483333333000000209e+01,2.031018518999999856e+01,1.857325811500000157e+01,0.000000000000000000e+00
1.943042042000000080e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.379999999999999716e+01,-1.329629629999999896e+00,2.817194606079999986e+01,1.000000000000000000e+00
2.236827573000000058e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.084999999999999432e+01,1.304814814999999939e+01,3.147353177329999951e+01,1.000000000000000000e+00
2.147942278000000016e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.492499999999999716e+01,7.657407410000000025e-01,3.141670436500000108e+01,1.000000000000000000e+00
2.260132579000000064e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.520000000000000284e+01,-2.393518520000000038e-01,4.871738509330000255e+01,1.000000000000000000e+00
2.271340607999999861e+01,8.186030678999999566e+01,2.795701391999999785e+00,9.824166667000000075e+01,8.282407407000000887e+00,3.423975887000000284e+01,1.000000000000000000e+00
2.305491171999999978e+01,9.291489704999999333e+01,2.317834863999999939e+01,8.350833332999999925e+01,4.533333332999999854e+00,3.630097074169999871e+01,1.000000000000000000e+00
1.735725135999999935e+01,2.288332420000000145e+00,1.379543092000000026e+00,8.515000000000000568e+01,-8.659259259000000597e+00,5.990702259169999877e+01,1.000000000000000000e+00
2.053387709000000072e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.505833332999999641e+01,-1.064351851999999932e+00,3.361211361670000031e+01,1.000000000000000000e+00
2.302932857000000055e+01,1.254072388999999959e+02,5.317300911000000241e+00,8.379166666999999791e+01,5.243518519000000211e+00,3.482529022170000133e+01,1.000000000000000000e+00
2.120114912000000018e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.724166667000000075e+01,1.325925926000000032e+00,3.763076473579999970e+01,1.000000000000000000e+00
2.163507779000000042e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.659999999999999432e+01,1.694675926000000032e+01,2.165458766080000075e+01,0.000000000000000000e+00
2.216763369999999966e+01,8.093886005000000239e+01,8.255743330000000242e+02,4.575833332999999925e+01,4.242129629999999985e+00,2.786867714330000112e+01,1.000000000000000000e+00
1.944901272999999975e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.204999999999999716e+01,-7.896759259000000419e+00,4.350926064829999973e+01,1.000000000000000000e+00
2.230133852999999888e+01,2.456932723999999979e+01,1.494318553000000049e+00,9.867499999999999716e+01,1.063009259000000029e+01,3.242569954580000058e+01,1.000000000000000000e+00
2.301339712000000048e+01,9.568176674999999420e+01,8.664193957000000523e+01,6.214166666999999933e+01,2.204166666999999968e+00,3.669189958749999647e+01,1.000000000000000000e+00
2.285911620999999982e+01,9.051934515000000658e+01,2.224111912000000135e+00,6.790833333000000493e+01,1.667129630000000029e+00,4.054298486249999911e+01,1.000000000000000000e+00
2.301778994000000012e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.247499999999999432e+01,5.254629630000000162e+00,3.357339343579999991e+01,1.000000000000000000e+00
2.330320515000000015e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.498333332999999357e+01,1.265879630000000056e+01,2.317125694499999966e+01,0.000000000000000000e+00
2.221923711999999895e+01,5.525479201999999646e+01,7.529172111000000314e+02,4.314166666999999933e+01,4.500925925999999855e+00,2.704237787670000159e+01,1.000000000000000000e+00
2.279905922000000018e+01,1.937681273999999831e+01,5.305526780000000553e-01,9.708333333000000209e+01,7.216666667000000146e+00,3.338283055080000139e+01,1.000000000000000000e+00
2.284639976000000061e+01,1.674048351000000139e+02,3.548894162999999935e+01,5.618333333000000351e+01,-3.150925926000000210e+00,4.515251458499999870e+01,1.000000000000000000e+00
