# # iwNorthAvgTemp,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode,elecEquipDensityHigh,elecEquipDensityLow,mullMetalConductivity,intMass,infilRate
2.389737065330000121e+01,1.012684196000000014e+02,8.541343756999999641e+02,5.002499999999999858e+01,3.574074073999999879e+00,2.357970416170000050e+01,1.000000000000000000e+00,3.247042888050000187e+01,2.164752307739999893e+01,2.777686154117000115e+02,3.302718662217000087e+02,2.164265860000000041e-01
2.443823091679999848e+01,1.115526755999999953e+00,3.476398045999999908e+01,5.289166666999999933e+01,-3.792592593000000178e+00,4.419482870329999713e+01,1.000000000000000000e+00,3.639402466069999775e+01,1.919019095919999884e+01,6.075240810060000030e+01,2.461001102310000022e+02,1.763718625000000040e-01
2.249470821519999930e+01,5.867768197000000185e+01,4.096590259999999817e-01,6.929999999999999716e+01,-4.147222221999999903e+00,6.529663185079999721e+01,1.000000000000000000e+00,2.249168036540000060e+01,2.269999925709999999e+01,3.252235631904000002e+02,6.349195122520000041e+02,2.538624224000000096e-01
2.477188518819999885e+01,1.200782425000000018e+02,8.154904659000000038e+02,5.451666666999999933e+01,1.622685184999999919e+01,2.365642453670000123e+01,0.000000000000000000e+00,3.964259252370000297e+01,2.205448760839999878e+01,1.982736597742000129e+02,9.073536294814999792e+02,1.014134728000000013e-01
2.499859951070000008e+01,2.026584018000000071e+02,1.501449155999999974e+01,6.179166666999999791e+01,1.642222221999999832e+01,2.278710900420000129e+01,0.000000000000000000e+00,2.946234625929999851e+01,9.656485155600000425e+00,2.621049938525999892e+02,6.001733236177999515e+02,2.546807369999999973e-02
2.536325397970000139e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.673333332999999357e+01,8.406018517999999773e+00,3.428933489920000000e+01,1.000000000000000000e+00,2.216199695770000133e+01,2.181754046340000031e+01,3.142197464581000190e+02,4.058193403517000206e+02,5.543138499999999969e-02
2.531753638229999837e+01,5.282723125999999780e+01,7.340880360000000548e-01,9.805833332999999641e+01,1.017592593000000001e+01,3.303908538499999992e+01,1.000000000000000000e+00,4.649441038989999697e+01,1.283115167290000080e+01,1.728069658400999913e+02,4.585602217411000083e+02,2.588539067000000249e-01
2.403826050549999849e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.283333333000000209e+01,-2.906018518999999856e+00,2.975043048579999905e+01,1.000000000000000000e+00,2.994796883800000131e+01,2.018255337809999972e+01,1.390995434476000128e+02,6.964447155837000309e+02,6.222243329999999767e-02
2.831297297300000082e+01,4.670474069000000128e+01,9.621897497000000499e+01,3.305833333000000351e+01,1.229814814999999939e+01,2.304850414330000064e+01,0.000000000000000000e+00,2.414577474320000050e+01,1.296981254359999980e+01,1.394858118019000131e+02,3.194425537815000098e+02,1.851610440000000038e-02
2.366550974540000141e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.697499999999999432e+01,-5.824074080000000153e-01,3.155699006000000040e+01,1.000000000000000000e+00,2.196862617809999918e+01,1.911493262549999983e+01,2.660653535803999716e+02,9.187121438681000427e+02,1.577483466999999862e-01
