# iw north average temp C,iw heating energy kWh,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode
2.287663099999999972e+01,8.542883688999999947e+00,7.004130784000000176e+01,1.249465586999999989e+00,9.825833332999999925e+01,7.377777777999999564e+00,3.670192589330000033e+01,1.000000000000000000e+00
2.411821533999999900e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.975833332999999925e+01,1.753657407000000035e+01,2.378675092579999983e+01,0.000000000000000000e+00
2.262955059000000091e+01,3.187730138999999951e+01,3.869117689999999610e-01,1.750374369999999902e-01,9.110833332999999357e+01,4.559259259000000064e+00,3.835678055999999714e+01,1.000000000000000000e+00
2.213376736000000022e+01,1.694756530000000083e+01,8.674457329999999899e+01,6.190435142000001179e+02,4.263333332999999925e+01,8.155555554999999401e+00,4.466529032249999887e+01,1.000000000000000000e+00
2.019125636000000057e+01,2.519167494999999946e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.459999999999999432e+01,-1.847685185000000008e+00,3.534417743000000200e+01,1.000000000000000000e+00
2.094280570999999824e+01,2.895984003999999956e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.933333333000000209e+01,-1.462499999999999911e+00,3.886023212919999992e+01,1.000000000000000000e+00
2.295368759000000125e+01,0.000000000000000000e+00,2.233478321999999707e+02,8.494460100999999952e+01,6.102499999999999858e+01,1.585925925999999997e+01,2.265663173579999778e+01,0.000000000000000000e+00
2.086992164999999844e+01,2.753684159000000164e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.269166667000000359e+01,-1.974537036999999939e+00,3.905622791580000097e+01,1.000000000000000000e+00
2.329726975999999894e+01,2.011861735999999823e+01,1.764380457000000035e+02,2.154398084000000324e+02,6.563333332999999925e+01,1.751851851999999932e+00,3.596621828669999843e+01,1.000000000000000000e+00
2.265508240999999856e+01,4.117905224999999803e+01,1.355828186999999900e+02,4.769177298999999692e+01,7.351666667000000643e+01,-9.796759258999999886e+00,5.919528606329999576e+01,1.000000000000000000e+00
2.131542164000000028e+01,0.000000000000000000e+00,1.990334903000000111e+01,4.078048360000000039e-01,9.357500000000000284e+01,1.457777777999999991e+01,2.235585902249999890e+01,0.000000000000000000e+00
2.064093954999999880e+01,4.608796651999999661e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.990833332999999783e+01,-2.010648148000000024e+00,2.925491756919999986e+01,1.000000000000000000e+00
2.258294052999999835e+01,1.350869916000000082e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.998333332999999357e+01,9.857407408000000260e+00,3.044665766670000195e+01,1.000000000000000000e+00
2.356361228000000096e+01,2.780027233000000209e+00,4.551181591000000282e+01,6.249466152999999622e+02,1.877499999999999858e+01,1.048287037000000055e+01,2.240245812999999941e+01,1.000000000000000000e+00
2.313158148000000125e+01,0.000000000000000000e+00,5.198804146999999887e+01,4.835717757000000283e+00,9.059166666999999507e+01,1.439722221999999974e+01,2.371116990830000049e+01,0.000000000000000000e+00
2.069018046000000055e+01,1.390269546999999939e+01,6.502499459000000570e+01,2.704279593000000315e+00,7.977500000000000568e+01,5.552777777999999387e+00,2.536570813499999844e+01,1.000000000000000000e+00
1.932598949000000133e+01,1.528266638000000022e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.293333332999999641e+01,2.982407408000000260e+00,2.884608186000000174e+01,1.000000000000000000e+00
2.064127347999999884e+01,2.762777851999999701e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.751805582999999444e+01,9.308410537000000318e+00,1.971814465750000167e+01,1.000000000000000000e+00
2.277799986000000132e+01,5.613780530999999741e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.065000000000000568e+01,-5.298148148000000113e+00,5.863323055669999917e+01,1.000000000000000000e+00
2.197281554999999997e+01,2.699855351000000070e+01,8.597748217000000182e+01,3.847596400000000139e-02,9.688333332999999925e+01,1.061296296000000083e+01,4.489073721329999955e+01,1.000000000000000000e+00
2.520377504000000002e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.068333332999999641e+01,1.885648147999999935e+01,2.148765483669999909e+01,0.000000000000000000e+00
2.527973361999999824e+01,0.000000000000000000e+00,2.111964250999999848e+01,1.325208562000000079e+01,6.775833332999999925e+01,1.960231480999999931e+01,2.049633434169999902e+01,0.000000000000000000e+00
2.304479674999999972e+01,2.795209751999999881e+01,1.175728089000000125e+02,1.669851574000000127e+01,7.365000000000000568e+01,4.111111110000000290e-01,4.191250291749999946e+01,1.000000000000000000e+00
2.232122972999999888e+01,3.615732455999999928e+01,1.136470537000000007e+02,3.214259658000000019e+00,7.568333332999999641e+01,-3.192592593000000090e+00,4.543017550999999798e+01,1.000000000000000000e+00
2.082595936999999964e+01,1.271663569000000038e+01,8.970717274000000430e+01,5.959822402000000920e+02,4.841666666999999791e+01,-2.489351851999999976e+00,3.407449152579999918e+01,1.000000000000000000e+00
2.381157946000000081e+01,0.000000000000000000e+00,2.268283859999999947e+02,1.821564219999999921e+02,7.919166667000000359e+01,1.529629626000000009e+01,2.301848007919999972e+01,0.000000000000000000e+00
2.190632060000000081e+01,1.096079229000000055e+01,1.865730513999999971e+02,1.614805531000000087e+02,6.567499999999999716e+01,1.285648147999999935e+00,4.176924966170000175e+01,1.000000000000000000e+00
2.294179051000000058e+01,2.026171856999999932e+01,1.471180908999999986e+02,2.775978241000000253e+02,6.941666666999999791e+01,1.386111110999999951e+00,3.256837052249999687e+01,1.000000000000000000e+00
