# # iwNorthAvgTemp,diffuse solar w/m2,direct solar w/m2,dew point temp C,OAH %,OAT C,wind direction from north,wind speed m/s,Mull SWT C,Heat Mode,pitchedRoofInsuThickness,mullSurfaceMetalThickness,extWinU,extWinSHGC,intMass,infilRate
2.332494823629329872e+01,1.486885331000000008e+02,2.985053316999999762e+00,1.443935184999999954e+01,7.338333332999999925e+01,1.930000000000000071e+01,2.734166667000000075e+02,1.892469333000000198e+00,2.396018493829999940e+01,0.000000000000000000e+00,1.551842159818760947e-01,6.563936894802756446e-03,2.142362736474065166e+00,3.772931868468019090e-01,4.532829303032040968e+01,7.122395147924823200e-02
1.885448185527749843e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.422037036999999948e+01,9.624166667000000075e+01,1.479814814999999939e+01,2.037500000000000000e+02,3.207511999999999919e+00,2.257750231500000027e+01,0.000000000000000000e+00,1.165255207001455323e-01,2.137126974175115619e-03,2.460908849251774999e+00,4.575170602456967162e-01,7.612976066998020030e+01,8.067239156009396728e-02
1.735517423899349865e+01,0.000000000000000000e+00,0.000000000000000000e+00,-1.319444439999999941e-01,9.616666666999999791e+01,4.134259259999999991e-01,3.254166667000000075e+02,7.189893330000000082e-01,2.937357544749999860e+01,1.000000000000000000e+00,6.945841197447427673e-02,6.043285979785370694e-03,2.221142013529254999e+00,2.952821919688306540e-01,3.247476119465855504e+01,1.698322727584282710e-01
1.946981235673370136e+01,0.000000000000000000e+00,0.000000000000000000e+00,-1.480046296000000083e+01,6.771666666999999507e+01,-9.960185184000000191e+00,2.585000000000000000e+02,4.060613329999999688e-01,4.165906560170000006e+01,1.000000000000000000e+00,8.905131070198579746e-02,4.550159030056849171e-03,2.767797291854091846e+00,3.927328876098465926e-01,5.918822149048192216e+01,3.653276478389348020e-02
1.930423007561800119e+01,0.000000000000000000e+00,0.000000000000000000e+00,-5.214814815000000436e+00,5.394166666999999649e+01,3.208333333000000120e+00,6.833333333000000209e+01,2.384213330000000131e-01,2.428288973500000125e+01,1.000000000000000000e+00,2.360920027591674186e-01,5.589126280046947254e-03,2.964335486443151702e+00,4.063431951850420276e-01,3.617533267773212913e+01,1.687396688772154485e-01
1.993772222262650118e+01,0.000000000000000000e+00,0.000000000000000000e+00,-4.444444439999999941e-01,7.757500000000000284e+01,3.090740741000000291e+00,2.538333333000000209e+02,4.209626670000000126e-01,4.801154854749999856e+01,1.000000000000000000e+00,9.727419403902418105e-02,2.306354500607769691e-03,2.548945593949486721e+00,5.899793224542031478e-01,4.929944200279738453e+01,8.402986901911557727e-02
2.155391735291659927e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.101666666999999933e+01,9.511666667000000075e+01,1.176064814999999975e+01,1.130833332999999925e+02,7.748693329999999380e-01,2.350163750000000107e+01,0.000000000000000000e+00,1.815932084493662169e-01,5.035909058565893326e-03,2.696329182909188216e+00,3.564205823288727482e-01,6.315912219521387527e+01,1.287301400114201910e-01
1.963740837486270152e+01,1.284187210999999884e+00,3.968799863999999733e+00,8.705555556000000195e+00,9.749166667000000075e+01,9.072685184999999208e+00,6.666666667000000324e+00,0.000000000000000000e+00,2.914088379500000059e+01,1.000000000000000000e+00,1.959125550422301520e-01,2.565709132836570521e-03,2.543517397001505032e+00,6.275292783638160010e-01,4.735038621077754328e+01,9.537892890647189925e-02
1.846190840280380030e+01,9.630863629999999453e-01,5.484929029999999761e-01,1.186111110999999996e+00,8.444166667000000359e+01,3.560648148000000290e+00,2.449166666999999791e+02,1.974426669999999884e-01,5.859003629419999726e+01,1.000000000000000000e+00,1.112847888325234902e-01,7.181193865817028094e-03,2.321266551131771827e+00,5.526800511932985494e-01,8.573862335043189375e+01,2.181678610438123334e-01
2.630838991230909940e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.277129629999999949e+01,6.241666666999999791e+01,2.016250000000000142e+01,2.360833333000000209e+02,1.784434666999999974e+00,2.287570833330000042e+01,0.000000000000000000e+00,2.355390469504439199e-01,8.457532109214380839e-03,1.597250728886251858e+00,4.039393114449181255e-01,7.595289101081687022e+01,2.146275434424362027e-01
2.130504457213449854e+01,1.370329825999999969e+02,3.908742761000000314e+02,-6.619907407999999549e+00,5.912500000000000000e+01,4.351851849999999744e-01,1.663333333000000209e+02,6.929119999999999724e-01,5.348502805500000079e+01,1.000000000000000000e+00,1.632366838610029014e-01,9.867858249395570353e-03,2.574950291647791545e+00,6.000104383014464027e-01,6.928127519631679831e+01,2.251433237336056825e-01
2.529082172530679884e+01,2.053400428000000204e+02,4.155360621000000378e+02,1.224074073999999968e+01,5.931666666999999649e+01,2.043101851999999852e+01,2.737500000000000000e+02,2.309706666999999936e+00,2.367320120420000151e+01,0.000000000000000000e+00,1.228450495270294873e-01,6.524228042936152001e-03,2.085159049128825437e+00,5.775572563420026118e-01,5.479812185888992104e+01,2.892916179348141714e-01
2.118112215112439856e+01,6.524295655000000238e+01,5.687172741000000542e+02,-5.159259258999999709e+00,6.949166667000000075e+01,-2.537037039999999744e-01,1.470833333000000209e+02,2.197946669999999991e-01,5.818270069420000112e+01,1.000000000000000000e+00,2.187264906320476876e-01,6.305925310865874260e-03,2.507194640912250527e+00,6.309823949004151888e-01,8.952491138612361965e+01,2.117526029654513420e-01
2.683927010343759889e+01,1.331406542000000002e+02,5.102884227000000124e+02,1.089120370000000015e+01,5.626666666999999933e+01,1.983333332999999854e+01,2.092500000000000000e+02,1.184655999999999931e+00,2.334384201079999954e+01,0.000000000000000000e+00,2.490473600411599597e-01,8.924923748911052501e-03,1.796436118948456340e+00,5.521854831940564701e-01,5.940287268490796890e+01,2.424346016281903882e-01
1.329310130175399962e+01,0.000000000000000000e+00,0.000000000000000000e+00,-1.078564815000000010e+01,5.754999999999999716e+01,-3.625462962999999927e+00,2.092500000000000000e+02,2.235200000000000034e-02,2.979380668579999991e+01,1.000000000000000000e+00,7.496991372674674525e-02,2.322068549704870647e-03,2.469086917378661372e+00,3.277493746972127142e-01,7.776276299587343033e+01,2.990222841942459797e-01
2.145024679716890148e+01,4.048846369000000323e+01,1.965099136000000044e+02,8.280092592999999113e+00,9.866666666999999791e+01,8.471759259000000597e+00,2.920000000000000000e+02,0.000000000000000000e+00,5.053942606420000061e+01,1.000000000000000000e+00,1.763414156867234572e-01,3.928606721361420535e-03,1.956272034214210809e+00,5.501755480468589754e-01,4.619686591268063580e+01,2.583003878192394187e-02
1.753098386468870018e+01,2.277404166999999813e+00,1.888633220000000001e+00,-3.373148148000000290e+00,7.710833332999999357e+01,1.620370369999999949e-01,1.788333333000000209e+02,2.719493330000000153e-01,5.887896550829999853e+01,1.000000000000000000e+00,1.216183925194115195e-01,3.108291785919910753e-03,1.875939036147332040e+00,3.022128554632072528e-01,6.518531237694985236e+01,2.503301750545791071e-01
2.038788189440009901e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.102314814999999726e+00,9.533333333000000209e+01,7.795370369999999660e+00,7.358333333000000209e+01,4.470400000000000068e-02,5.445405365749999760e+01,1.000000000000000000e+00,2.545486105659868770e-01,8.033129223089997828e-03,2.212357969958631543e+00,6.210517805878568165e-01,4.540168635266326902e+01,1.713768534466448279e-01
2.614492765092069959e+01,2.176554229999999848e+02,5.549586212000000387e+02,1.162916667000000004e+01,4.937500000000000000e+01,2.276620370999999921e+01,2.586666667000000075e+02,2.596557333000000245e+00,1.693915109750000170e+01,0.000000000000000000e+00,2.636781968794623676e-01,9.435590558516629422e-03,2.434142151071323035e+00,2.913543612352154089e-01,3.135203765339370108e+01,1.853773810309365666e-01
1.770352615807080099e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.593518518999999856e+00,9.322499999999999432e+01,4.589814815000000436e+00,7.150000000000000000e+01,0.000000000000000000e+00,3.451297389500000179e+01,1.000000000000000000e+00,8.905131070198579746e-02,4.550159030056849171e-03,2.767797291854091846e+00,3.927328876098465926e-01,5.918822149048192216e+01,3.653276478389348020e-02
2.205948683940760091e+01,1.828201521000000014e+02,3.953008371999999895e+02,-2.467592593000000001e+00,5.349166667000000075e+01,6.275462962999999839e+00,2.652500000000000000e+02,3.129280000000000062e+00,3.325648764329999807e+01,1.000000000000000000e+00,2.682826553415209592e-01,9.692685950708296305e-03,2.787331882439235020e+00,6.086149883872724597e-01,4.260722017859498578e+01,8.291336369499012482e-02
2.132749593191810078e+01,1.467895546999999681e+02,4.178667615999999896e+01,7.661111111000000307e+00,8.444166667000000359e+01,1.015648148000000006e+01,2.657500000000000000e+02,1.449154666999999952e+00,3.140125120329999930e+01,1.000000000000000000e+00,2.433351959473866177e-01,4.713784893043831969e-03,2.659215715853783024e+00,5.330717518866552318e-01,6.834784799568768676e+01,2.280059425077129651e-02
2.197332586913369923e+01,2.978151240000000257e+02,3.809369345999999723e+01,1.505092593000000090e+00,6.498333332999999357e+01,7.663888888999999871e+00,2.344166666999999791e+02,1.057994667000000000e+00,2.205497540329999850e+01,1.000000000000000000e+00,1.321443886026628656e-01,5.745119280919271272e-03,2.138441487818643072e+00,6.319659945408816482e-01,6.573313354733278402e+01,6.818744746673341406e-02
2.134915058085719863e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.182870369999999838e+00,6.621666666999999507e+01,8.096296296000000225e+00,1.557500000000000000e+02,4.656666670000000341e-01,3.354075917170000309e+01,1.000000000000000000e+00,2.234498382729641075e-01,2.227959476899746532e-03,2.029897630873571668e+00,5.454277141779463323e-01,9.504375681573009160e+01,8.211285640277500575e-02
2.028803290339489962e+01,9.780337982000000707e+00,1.049097677999999867e+00,4.287962963000000016e+00,9.641666666999999791e+01,4.805092593000000356e+00,6.658333333000000209e+01,0.000000000000000000e+00,5.713239347249999867e+01,1.000000000000000000e+00,2.818996392204107804e-01,9.097884791493610762e-03,2.974894527799476052e+00,4.193843921016355836e-01,8.946943594850552017e+01,2.947053348149299978e-01
2.155136570965260034e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.363425926000000121e+00,6.730833332999999641e+01,8.047685185000000629e+00,1.390000000000000000e+02,0.000000000000000000e+00,2.165921666079999852e+01,1.000000000000000000e+00,1.254069423963964092e-01,6.082777449888087003e-03,2.339201925681818839e+00,5.118132532024186609e-01,7.096500380168210143e+01,2.413389095846407706e-02
2.021254782796999905e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.324074074000000323e+00,9.792499999999999716e+01,9.625462963000000371e+00,1.686666666999999791e+02,0.000000000000000000e+00,3.085106215420000098e+01,1.000000000000000000e+00,2.301028585381698632e-01,3.446799921148868510e-03,1.724209312676499462e+00,3.038068511951530493e-01,4.108046805688256597e+01,4.772532432722072226e-02
