# # iw north average temp C,iw heating energy kWh,diffuse solar w/m2,direct solar w/m2,dew point temp C,OAH %,OAT C,wind direction from north,wind speed m/s,Mull SWT C,Heat Mode
2.274535492000000048e+01,2.314144461000000064e+01,2.768542857999999995e+00,5.851132679999999642e-01,3.784722222000000080e+00,7.554999999999999716e+01,7.827314815000000259e+00,2.783333332999999925e+02,4.485301332999999779e+00,3.816509423250000310e+01,1.000000000000000000e+00
1.362157851999999991e+01,3.239573818000000216e+01,7.354335338999999472e+00,3.871386900000000075e-01,-6.295370369999999660e+00,8.684999999999999432e+01,-4.427777778000000275e+00,2.977500000000000000e+02,1.069170667000000075e+00,1.830476885250000052e+01,0.000000000000000000e+00
2.233255130999999949e+01,8.885918508999999688e+00,2.726135294000000044e+02,1.696375410999999929e+02,-3.722222220000000470e-01,5.416666666999999791e+01,8.355092592000000096e+00,2.153333333000000209e+02,2.305981333000000078e+00,2.937814632919999980e+01,1.000000000000000000e+00
2.058951504999999926e+01,1.456307493000000086e+01,2.088071422999999882e+01,1.591946979999999956e-01,2.883333332999999943e+00,9.859166666999999507e+01,3.084722221999999903e+00,1.822500000000000000e+02,8.568266699999999014e-02,4.082817411999999990e+01,1.000000000000000000e+00
2.138831502000000029e+01,5.086464954000000205e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.269305555999999946e+01,5.056666666999999649e+01,-3.943981481999999872e+00,2.850833332999999925e+02,4.388442666999999631e+00,3.278986527080000002e+01,1.000000000000000000e+00
2.329928621999999905e+01,3.000381666000000447e+00,4.093914273000000037e+01,4.401676400000000267e-01,5.872685184999999919e+00,7.884999999999999432e+01,9.350462963000000016e+00,2.812500000000000000e+02,3.520440000000000236e+00,2.227700196670000210e+01,1.000000000000000000e+00
2.244492179999999948e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.652777779999999974e-01,5.329999999999999716e+01,9.370833333000000209e+00,7.741666666999999791e+01,5.886026670000000793e-01,2.296816156079999871e+01,0.000000000000000000e+00
1.829083693999999838e+01,4.798455408000000233e+01,0.000000000000000000e+00,0.000000000000000000e+00,-3.138888888999999960e+00,8.460833332999999357e+01,-8.648148150000000145e-01,2.960833332999999925e+02,2.685965332999999955e+00,4.887835462999999692e+01,1.000000000000000000e+00
2.233332066999999910e+01,5.360226916999999958e+01,1.966656585000000064e+02,1.703429214000000229e+02,-1.860185184999999963e+00,8.370000000000000284e+01,5.861111110000000179e-01,2.910000000000000000e+02,1.784434666999999974e+00,3.639125352330000140e+01,1.000000000000000000e+00
1.896681780999999845e+01,1.857282251000000173e+01,0.000000000000000000e+00,0.000000000000000000e+00,-1.171157406999999928e+01,5.567499999999999716e+01,-4.170370371000000631e+00,6.500000000000000000e+01,0.000000000000000000e+00,3.084464427329999836e+01,1.000000000000000000e+00
2.284003608000000085e+01,3.109462236999999973e+01,1.648755569000000207e+02,1.850834944000000064e+02,-6.202777777999999742e+00,7.851666667000000643e+01,-2.924074073999999968e+00,2.865833332999999925e+02,2.749295999999999740e+00,4.977377861080000088e+01,1.000000000000000000e+00
2.280239372999999858e+01,3.505645364000000086e+01,0.000000000000000000e+00,0.000000000000000000e+00,-4.147222221999999903e+00,7.783333333000000209e+01,-7.606481480000000239e-01,2.814166667000000075e+02,2.775373333000000109e+00,4.637327874999999722e+01,1.000000000000000000e+00
2.320266974999999832e+01,2.774080500000000171e+00,1.372928045999999824e+02,8.276472251999999798e+02,-4.193518518999999500e+00,3.082499999999999929e+01,1.258379629999999949e+01,2.742500000000000000e+02,5.848773332999999575e+00,2.243806046329999759e+01,1.000000000000000000e+00
2.396845941999999852e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.160277778000000026e+01,8.410833332999999357e+01,1.423333333000000067e+01,2.040000000000000000e+02,9.648613329999999877e-01,2.430568957999999924e+01,0.000000000000000000e+00
2.305897580999999974e+01,9.090725273000000328e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.052268519000000069e+01,9.379999999999999716e+01,1.147314815000000010e+01,4.066666666999999791e+01,0.000000000000000000e+00,2.730352868079999951e+01,1.000000000000000000e+00
2.241349130000000045e+01,1.689345179000000030e+01,0.000000000000000000e+00,0.000000000000000000e+00,-3.346296296000000225e+00,3.393333333000000351e+01,1.204907406999999964e+01,2.659166667000000075e+02,2.790274666999999820e+00,2.674258749999999907e+01,1.000000000000000000e+00
2.233255130999999949e+01,8.885918508999999688e+00,2.726135294000000044e+02,1.696375410999999929e+02,-3.722222220000000470e-01,5.416666666999999791e+01,8.355092592000000096e+00,2.153333333000000209e+02,2.305981333000000078e+00,2.937814632919999980e+01,1.000000000000000000e+00
2.012499800000000150e+01,2.994068890999999866e+01,0.000000000000000000e+00,0.000000000000000000e+00,-5.563425925999999855e+00,8.158333333000000209e+01,-2.845370371000000453e+00,2.819166667000000075e+02,3.021245332999999977e+00,3.928427388920000141e+01,1.000000000000000000e+00
2.252648273999999873e+01,1.776973631999999981e+01,1.846940930999999750e+02,1.669357954000000177e+02,-4.127314815000000081e+00,6.520000000000000284e+01,1.727777778000000097e+00,2.979166667000000075e+02,3.632200000000000095e+00,3.630068988000000019e+01,1.000000000000000000e+00
2.292484549999999999e+01,3.162341673999999969e+01,0.000000000000000000e+00,0.000000000000000000e+00,-1.239629629999999949e+01,4.541666666999999791e+01,-2.186574074000000145e+00,1.671666666999999791e+02,1.564640000000000197e-01,5.039718263999999692e+01,1.000000000000000000e+00
2.142714189000000147e+01,6.839860604999999794e+01,5.281393831999999833e+01,9.105839944999999602e+00,-7.165740741000000469e+00,7.439166667000000643e+01,-3.259259258999999798e+00,2.830833332999999925e+02,3.375151999999999486e+00,6.586411676000000170e+01,1.000000000000000000e+00
2.339112469000000161e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.638888890000000487e-01,4.820833333000000209e+01,1.141666666999999968e+01,6.025000000000000000e+01,6.519333330000000037e-01,2.267147310670000238e+01,0.000000000000000000e+00
2.243870878999999974e+01,1.702279849999999684e+01,0.000000000000000000e+00,0.000000000000000000e+00,-1.555555559999999837e-01,5.983333333000000209e+01,7.117129629999999985e+00,2.096666666999999791e+02,1.654047999999999963e+00,3.221954723670000220e+01,1.000000000000000000e+00
2.146910839999999610e+01,1.911338342999999895e+01,0.000000000000000000e+00,0.000000000000000000e+00,-1.018518519000000122e+00,6.187500000000000000e+01,5.716666667000000146e+00,2.261666666999999791e+02,1.605618666999999888e+00,3.302907341249999718e+01,1.000000000000000000e+00
2.119613233999999835e+01,2.793120057999999872e+01,0.000000000000000000e+00,0.000000000000000000e+00,-1.094212963000000016e+01,4.974166667000000075e+01,-1.837499999999999911e+00,1.222500000000000000e+02,4.470400000000000068e-02,3.781861006420000137e+01,1.000000000000000000e+00
2.235508527000000001e+01,3.602758648999999735e+01,1.656627627999999959e+02,6.242436018999999447e+00,-6.250000000000000000e+00,7.789166667000000643e+01,-2.931018518999999767e+00,2.875000000000000000e+02,2.753021332999999959e+00,4.503476606419999939e+01,1.000000000000000000e+00
2.610377099000000101e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.047546295999999977e+01,5.366666666999999791e+01,2.015231481000000002e+01,1.415000000000000000e+02,6.072293329999999267e-01,2.505310186079999824e+01,0.000000000000000000e+00
2.210300243000000009e+01,1.944764114999999904e+01,0.000000000000000000e+00,0.000000000000000000e+00,-7.008796295999999870e+00,6.296666667000000217e+01,-8.444444450000000435e-01,4.741666666999999791e+01,5.737013329999999245e-01,3.245139116170000193e+01,1.000000000000000000e+00
2.230019726000000091e+01,6.409173262000000371e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.608333332999999854e+01,6.239166666999999933e+01,-1.026944444999999995e+01,2.877500000000000000e+02,1.784434666999999974e+00,4.239021323170000244e+01,1.000000000000000000e+00
2.280250171000000137e+01,3.336034381999999798e+00,1.605470320999999956e+02,1.068842927000000174e+02,2.406944444000000072e+00,5.191666666999999791e+01,1.197037036999999948e+01,1.315000000000000000e+02,4.172373329999999880e-01,2.564739648169999953e+01,1.000000000000000000e+00
2.211828094999999905e+01,5.831995133000000209e+01,4.553330848000000231e+01,1.151761378000000002e+00,-5.304166666999999613e+00,5.305833333000000351e+01,3.351851851999999798e+00,2.545000000000000000e+02,2.600282666999999659e+00,6.143338541749999848e+01,1.000000000000000000e+00
2.252585819000000100e+01,2.346676052000000112e+01,1.244118886999999951e+01,1.240225893000000079e+00,6.422222222000000258e+00,8.424166667000000075e+01,8.928240740999999758e+00,9.916666666999999791e+01,1.948349333000000128e+00,3.697503193920000086e+01,1.000000000000000000e+00
2.244492179999999948e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.652777779999999974e-01,5.329999999999999716e+01,9.370833333000000209e+00,7.741666666999999791e+01,5.886026670000000793e-01,2.296816156079999871e+01,0.000000000000000000e+00
