# # iw north average temp C,iw heating energy kWh,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode
2.144993589999999983e+01,2.125844439999999835e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.634999999999999432e+01,3.653703703999999775e+00,3.563238423669999833e+01,1.000000000000000000e+00
1.923745977000000096e+01,1.679157598000000107e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.416190416999999968e+01,1.943650810000000062e+00,2.926851692670000205e+01,1.000000000000000000e+00
2.277348163999999997e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.022499999999999432e+01,8.500462963000000371e+00,2.125769355499999946e+01,0.000000000000000000e+00
2.126854106000000044e+01,6.599691665999999657e+01,1.207876902000000001e+02,2.440893344999999925e+01,6.757500000000000284e+01,-8.130092592000000451e+00,6.553308319500000323e+01,1.000000000000000000e+00
2.240464512999999869e+01,1.169129762000000028e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.055833332999999641e+01,3.260185185000000097e+00,3.172315028250000069e+01,1.000000000000000000e+00
2.124147134000000037e+01,2.311628255999999837e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.606666666999999649e+01,1.288888889000000093e+00,3.479825470419999789e+01,1.000000000000000000e+00
2.127891390999999999e+01,2.454608277999999899e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.811666667000000075e+01,4.217592591999999918e+00,3.726729326419999921e+01,1.000000000000000000e+00
2.088835594000000029e+01,2.504912584999999936e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.729999999999999716e+01,3.201388888999999960e+00,3.659762223579999585e+01,1.000000000000000000e+00
2.414312587999999948e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.695833333000000209e+01,1.688518518000000057e+01,2.331392730419999992e+01,0.000000000000000000e+00
2.279469715999999835e+01,2.844051031999999868e+00,2.212550746999999944e+02,1.900690191999999854e+02,5.859166667000000217e+01,8.840740740999999403e+00,2.132505184749999927e+01,1.000000000000000000e+00
2.247005524000000065e+01,1.442620518000000018e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.985833332999999357e+01,9.650925926000001098e+00,3.104092346670000069e+01,1.000000000000000000e+00
2.272921854000000152e+01,2.453494537999999991e+01,5.547476188000000263e+01,1.306722870999999842e+00,7.144166667000000359e+01,2.664814815000000170e+00,3.913448842580000075e+01,1.000000000000000000e+00
2.079056720999999897e+01,2.518802963999999989e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.865833333000000493e+01,-3.333333299999999971e-02,3.649856967080000203e+01,1.000000000000000000e+00
2.225029899000000100e+01,1.880715305000000015e+01,1.840994715000000070e+01,2.516820643999999731e+02,6.004999999999999716e+01,9.367129628999999014e+00,3.218779048169999868e+01,1.000000000000000000e+00
2.159764516999999984e+01,2.387087792999999891e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.316666666999999791e+01,2.351851849999999911e-01,3.549815526420000111e+01,1.000000000000000000e+00
2.213401556000000170e+01,2.924046828999999903e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.349166667000000075e+01,6.537499999999999645e+00,2.114474906919999952e+01,1.000000000000000000e+00
2.461011978000000155e+01,0.000000000000000000e+00,1.332220330000000104e+02,7.012268884000000071e+02,4.394166666999999649e+01,1.540185184999999990e+01,2.322833500000000129e+01,0.000000000000000000e+00
2.237055008999999828e+01,5.432510972000000038e+01,4.407121348999999810e+01,2.241218888000000220e+02,7.720833333000000209e+01,-4.722222200000000120e-02,6.263785685330000064e+01,1.000000000000000000e+00
2.298042232999999968e+01,2.936544841999999989e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.876333293000000424e+01,1.170740741000000007e+01,2.211422196579999877e+01,1.000000000000000000e+00
2.443053946999999937e+01,0.000000000000000000e+00,2.035163374999999917e+02,5.733909389999999995e+00,9.575000000000000000e+01,1.457916666999999933e+01,2.392956759249999976e+01,0.000000000000000000e+00
2.231468667000000039e+01,3.160663723000000047e+01,1.671654290000000174e+02,2.038136393999999996e+02,5.630833333000000351e+01,-2.205092593000000267e+00,4.090544745829999584e+01,1.000000000000000000e+00
2.156943670000000068e+01,5.131587897000000176e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.289999999999999858e+01,-4.382870371000000098e+00,3.238296185579999786e+01,1.000000000000000000e+00
2.288838299999999748e+01,8.002977583999999922e+00,3.921009372000000326e+01,1.623797929999999945e-01,9.345833333000000209e+01,6.105555556000000550e+00,3.915806846750000147e+01,1.000000000000000000e+00
2.288105516999999978e+01,6.471159317999999772e+00,1.623678469999999834e+02,8.600095061000000385e+01,8.810833332999999357e+01,8.751851851999999710e+00,3.247923041579999648e+01,1.000000000000000000e+00
2.036090245999999837e+01,2.924816056000000053e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.912500000000000000e+01,5.998148147999999402e+00,1.907736133330000072e+01,1.000000000000000000e+00
2.146910839999999610e+01,1.911338342999999895e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.187500000000000000e+01,5.716666667000000146e+00,3.302907341249999718e+01,1.000000000000000000e+00
2.233258667999999858e+01,1.275764681000000067e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.254166666999999791e+01,1.172129630000000056e+01,3.081522994499999868e+01,1.000000000000000000e+00
2.274029948000000090e+01,2.934789581000000425e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.192499999999999716e+01,1.043055556000000017e+01,2.156776668999999913e+01,1.000000000000000000e+00
2.269822418000000042e+01,6.201151026000000144e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.527499999999999858e+01,-6.736111109999999291e-01,5.633839124920000074e+01,1.000000000000000000e+00
2.291137143999999992e+01,4.525151619999999930e+00,1.535971112000000005e+02,5.070069764999999506e+02,8.328333333000000493e+01,1.010879629999999985e+01,2.721230530080000065e+01,1.000000000000000000e+00
1.952051232000000169e+01,4.428463628000000085e+01,5.047798843999999896e+00,4.464116520000000476e-01,9.762500000000000000e+01,-5.421296300000000290e-01,5.487009851829999718e+01,1.000000000000000000e+00
2.232653107999999875e+01,1.205884518999999955e+01,1.035724783000000002e+02,7.938713892999999189e+00,7.375833332999999925e+01,8.160185184999999564e+00,3.251158881919999999e+01,1.000000000000000000e+00
2.072782687000000124e+01,3.088948408999999984e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.945000000000000284e+01,-6.970370370000000371e+00,3.975213935330000226e+01,1.000000000000000000e+00
1.889240583999999856e+01,1.854666704999999993e+01,5.748939324000000184e+00,5.674041428999999859e+00,8.541666666999999791e+01,2.009722221999999725e+00,3.091159052749999958e+01,1.000000000000000000e+00
2.025094467999999992e+01,3.462848477000000003e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.294166666999999649e+01,-1.317592592999999868e+00,4.313908458419999903e+01,1.000000000000000000e+00
2.224220452999999864e+01,2.833029196000000027e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.078333333000000493e+01,1.348564814999999939e+01,2.272358196249999907e+01,1.000000000000000000e+00
2.356332812000000132e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.465000000000000568e+01,1.166759258999999993e+01,2.334313610999999966e+01,0.000000000000000000e+00
2.066295584999999946e+01,3.984332478000000233e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.145833333000000209e+01,1.022777778000000026e+01,2.058797638920000139e+01,1.000000000000000000e+00
2.223992008000000098e+01,3.657025828999999728e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.344166666999999649e+01,1.067453704000000059e+01,2.628208059250000161e+01,1.000000000000000000e+00
2.426778394999999833e+01,0.000000000000000000e+00,1.381429566999999849e+02,6.908474797000000081e+02,5.996666667000000217e+01,2.119490740999999900e+01,2.381825664830000022e+01,0.000000000000000000e+00
2.653400642000000076e+01,0.000000000000000000e+00,1.575225438999999881e+02,6.049659993999999870e+02,4.614166666999999933e+01,2.462129630000000091e+01,2.491669856329999888e+01,0.000000000000000000e+00
2.389760833000000062e+01,2.842467481000000351e+00,1.362279928000000098e+02,8.266365821000000551e+02,2.960000000000000142e+01,1.341851851999999923e+01,2.318084722249999885e+01,1.000000000000000000e+00
2.064016927000000123e+01,2.611179720999999887e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.028333333000000493e+01,-1.467592590000000030e-01,3.730289773580000201e+01,1.000000000000000000e+00
2.261656315999999833e+01,3.296224237999999929e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.652499999999999858e+01,3.133333332999999943e+00,4.260709416579999953e+01,1.000000000000000000e+00
2.211838536999999860e+01,0.000000000000000000e+00,1.937954086999999825e+00,3.624244600000000038e-01,9.535833332999999357e+01,1.451851852000000065e+01,2.163483538330000044e+01,0.000000000000000000e+00
2.148761477000000042e+01,2.166712781000000021e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.677500000000000568e+01,-3.140740741000000114e+00,3.302177894079999732e+01,1.000000000000000000e+00
2.231312463000000079e+01,9.606269599999999187e+00,8.181614776000000688e+01,1.149811684000000112e+00,9.055833332999999641e+01,9.347685184999999564e+00,3.458479483829999879e+01,1.000000000000000000e+00
2.230019726000000091e+01,6.409173262000000371e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.239166666999999933e+01,-1.026944444999999995e+01,4.239021323170000244e+01,1.000000000000000000e+00
2.297426147999999912e+01,2.091950874000000127e+01,6.728658182000000210e+00,6.662623260000000158e-01,9.752500000000000568e+01,9.919444443999999805e+00,4.736765772999999768e+01,1.000000000000000000e+00
2.269877435000000077e+01,4.304238690999999761e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.959999999999999432e+01,2.168055556000000106e+00,4.740629425920000273e+01,1.000000000000000000e+00
2.230470388999999898e+01,2.065347726999999978e+01,2.259267873999999949e+02,4.841709445000000187e+02,4.610000000000000142e+01,3.947222221999999725e+00,3.447725575829999656e+01,1.000000000000000000e+00
2.064964056000000170e+01,8.095114558000000216e+01,2.228795900999999802e+00,2.144761233000000100e+00,8.491666666999999791e+01,-3.253240741000000380e+00,6.249990995329999777e+01,1.000000000000000000e+00
2.287616536000000167e+01,3.222081078000000076e+01,1.123567285999999825e+02,6.231609049000000056e+01,8.178333333000000493e+01,-6.750000000000000444e-01,4.031973314830000277e+01,1.000000000000000000e+00
2.245692522999999952e+01,1.885764422999999823e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.108333333000000209e+01,1.045138889000000049e+01,2.989023450830000073e+01,9.166666666999999658e-01
2.527973361999999824e+01,0.000000000000000000e+00,2.111964250999999848e+01,1.325208562000000079e+01,6.775833332999999925e+01,1.960231480999999931e+01,2.049633434169999902e+01,0.000000000000000000e+00
1.853846129000000076e+01,2.144124266000000034e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.068333333000000351e+01,-4.880092593000000534e+00,3.281338473249999765e+01,1.000000000000000000e+00
2.572153253999999833e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.448333332999999357e+01,1.618888889000000120e+01,2.446536132079999959e+01,0.000000000000000000e+00
2.713942356000000089e+01,0.000000000000000000e+00,5.009745111000000151e+01,1.308756832000000081e+01,5.597500000000000142e+01,2.198472221999999832e+01,2.516331083329999885e+01,0.000000000000000000e+00
2.205114803000000023e+01,1.791463216000000003e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.808333333000000209e+01,6.114814814999999903e+00,3.265172199500000261e+01,1.000000000000000000e+00
2.077682837000000049e+01,8.053779590999999627e+00,1.968250364000000161e+02,2.342197000000000173e+01,8.197499999999999432e+01,3.520370370000000193e+00,3.103997823919999988e+01,1.000000000000000000e+00
2.284921861999999848e+01,1.594943360000000077e+01,1.648739476000000082e+02,6.837441165999999839e+02,5.829999999999999716e+01,2.530092593000000001e+00,3.763715490170000066e+01,1.000000000000000000e+00
2.452098567999999901e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.866666666999999791e+01,1.830138888999999836e+01,2.293953425999999851e+01,0.000000000000000000e+00
1.894231789000000177e+01,4.607941498000000280e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.523333332999999357e+01,-1.212500000000000000e+01,4.894164051170000107e+01,1.000000000000000000e+00
2.120130336000000071e+01,7.483258512999999823e+01,8.178093728000000340e+00,6.655130395000000476e+01,8.070000000000000284e+01,-3.865740739999999898e-01,5.868697523249999648e+01,1.000000000000000000e+00
2.284414534000000074e+01,1.062372208000000029e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.679999999999999716e+01,1.022222222000000080e+01,2.841601638330000057e+01,1.000000000000000000e+00
2.165446002999999919e+01,1.982684485000000052e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.704166666999999791e+01,5.854629629999999807e+00,3.519577174580000190e+01,1.000000000000000000e+00
2.069766163999999975e+01,3.316426158000000157e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.184166666999999507e+01,-1.054398147999999935e+01,3.996573449169999748e+01,1.000000000000000000e+00
1.888343459000000024e+01,2.267016497999999913e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.166666666999999791e+01,-4.046759258999999886e+00,3.195388455169999986e+01,1.000000000000000000e+00
1.958757887000000153e+01,3.656981206999999756e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.020000000000000284e+01,-7.607870369999999660e+00,4.279474745329999763e+01,1.000000000000000000e+00
2.357487826999999925e+01,0.000000000000000000e+00,3.225974255999999940e+01,2.000738308000000032e+01,8.579999999999999716e+01,1.397037036999999948e+01,2.424407731499999841e+01,8.333333330000000649e-02
2.196535288000000108e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.800000000000000000e+01,1.611435184999999848e+01,2.410877037579999893e+01,0.000000000000000000e+00
2.233471736999999990e+01,2.866732259000000127e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.424166667000000075e+01,-2.411574074000000234e+00,4.509326263999999895e+01,1.000000000000000000e+00
1.975085849999999965e+01,8.281009174999999800e+01,4.157387511999999674e+00,1.118649396999999990e+00,7.109999999999999432e+01,-5.680555560000000170e-01,6.263164763830000226e+01,1.000000000000000000e+00
2.304334657000000064e+01,2.368644362999999942e+01,1.574966512999999964e+02,2.518578378999999856e+01,7.043333332999999641e+01,2.265277778000000186e+00,4.006905851670000374e+01,1.000000000000000000e+00
2.064127347999999884e+01,2.762777851999999701e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.751805582999999444e+01,9.308410537000000318e+00,1.971814465750000167e+01,1.000000000000000000e+00
2.126864549000000082e+01,2.441672304000000082e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.420000000000000284e+01,2.985185185000000185e+00,3.706948423499999734e+01,1.000000000000000000e+00
2.194094377000000051e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.528333333000000493e+01,1.229537037000000055e+01,2.170527944000000176e+01,0.000000000000000000e+00
2.462987383000000108e+01,2.795956891999999971e+00,1.710491526999999792e+02,4.938644343999999364e+02,3.681666666999999649e+01,1.928935184999999919e+01,2.440502909829999822e+01,1.000000000000000000e+00
2.324262621000000095e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.138333332999999925e+01,1.150324074000000074e+01,2.288708958420000172e+01,0.000000000000000000e+00
1.834928878999999924e+01,2.791233863000000071e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.476500000000000057e+01,-6.555185185000000025e+00,3.476114371250000090e+01,1.000000000000000000e+00
2.333647566000000140e+01,9.116635495000000589e+00,1.333310467999999958e+02,8.128486431000000323e+01,9.527500000000000568e+01,1.311203704000000059e+01,3.074737665329999814e+01,1.000000000000000000e+00
2.409089731999999984e+01,0.000000000000000000e+00,1.200782425000000018e+02,8.154904659000000038e+02,5.451666666999999933e+01,1.622685184999999919e+01,2.365642453670000123e+01,0.000000000000000000e+00
2.289182923999999986e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.734166666999999507e+01,9.210185185000000274e+00,2.078592757830000082e+01,0.000000000000000000e+00
2.356361228000000096e+01,2.780027233000000209e+00,4.551181591000000282e+01,6.249466152999999622e+02,1.877499999999999858e+01,1.048287037000000055e+01,2.240245812999999941e+01,1.000000000000000000e+00
2.048110403000000090e+01,3.284858076999999810e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.135833333000000067e+01,-5.235648148000000113e+00,4.026907046170000370e+01,1.000000000000000000e+00
2.227504701999999881e+01,1.811484224999999881e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.454166666999999791e+01,1.030046296000000083e+01,3.270665861580000211e+01,1.000000000000000000e+00
