# iwNorthAvgTemp,heatEnergy,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode,mullInsulationThickness,mullMetalConductivity,intMass,mullSurfaceArea,elecEquipDensityLow,elecEquipDensityHigh,infilRate
2.292742193908929949e+01,1.577868498101899952e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.292499999999999716e+01,-4.209259258999999531e+00,3.793073541500000090e+01,1.000000000000000000e+00,6.288861610548253205e-03,9.727638957359812366e+01,6.648686867768064985e+02,1.260942759918788569e+00,1.764252807399548573e+01,3.614950816513937326e+01,1.429484474693424323e-01
2.439103368350779988e+01,1.591749199516000068e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.738333332999999925e+01,1.400462963000000061e+00,4.473503777670000403e+01,1.000000000000000000e+00,8.673399011883044241e-02,2.498413382341755664e+02,4.732355243711289177e+02,1.618278751169665020e+00,1.892485454374157783e+01,3.861676330752999320e+01,1.057900576801856611e-02
2.214653372458339931e+01,2.441416877754589987e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.704166666999999791e+01,1.166944443999999947e+01,2.060550601829999806e+01,1.000000000000000000e+00,4.451791184764772313e-02,1.077477815889074293e+02,7.734330583853599137e+02,1.412556617801647540e+00,1.216279370747973232e+01,2.259524098439582573e+01,1.056790958604028469e-01
2.060802079266650111e+01,3.501387140880989790e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.704999999999999716e+01,1.088749999999999929e+01,2.008544670000000210e+01,1.000000000000000000e+00,2.463125107272843423e-03,1.721491201539522251e+02,7.877339315595929747e+02,1.600044318544052935e+00,1.800555666104752817e+01,3.856346735800493519e+01,2.079543928069315373e-01
2.231318491226850043e+01,7.192600877869240072e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.154166666999999791e+01,3.716203703999999775e+00,3.412195020920000132e+01,1.000000000000000000e+00,4.582534515762764354e-02,2.043573481139018213e+02,7.178046195087830483e+02,1.486094739643228912e+00,1.420614508987280544e+01,2.671063033062619851e+01,2.717503048016247647e-01
2.400650260146129966e+01,3.296488772252569976e+00,2.456932723999999979e+01,1.494318553000000049e+00,9.867499999999999716e+01,1.063009259000000029e+01,3.242569954580000058e+01,1.000000000000000000e+00,1.015053758039905635e-02,1.094507661703765109e+02,8.281794851814273670e+02,1.690613789590220684e+00,1.402920449239029743e+01,3.908181440084582903e+01,4.643016271001185191e-02
2.487403374495929853e+01,0.000000000000000000e+00,1.685296428000000049e+02,6.309478397999998833e+02,4.899166667000000075e+01,2.398888888999999836e+01,2.442485279670000153e+01,0.000000000000000000e+00,2.178089956486235074e-02,1.339545260130148563e+02,7.281333623194111624e+02,1.501309738266016325e+00,8.437548162409818531e+00,4.620471607487900201e+01,2.943746854200501306e-01
2.232173861556260164e+01,2.275529266231020031e+01,1.468581351999999924e+02,2.027776211000000117e+01,5.517499999999999716e+01,4.944444450000000102e-01,4.097784171420000376e+01,1.000000000000000000e+00,1.070402248993484323e-02,3.370463586820306432e+02,8.117556246843201961e+02,1.533732446229841839e+00,7.892352860283812888e+00,2.424875138948029019e+01,2.446146236000326379e-01
2.275311352082420058e+01,3.965737028999780089e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.209999999999999432e+01,7.271759258999999531e+00,2.079646712999999991e+01,1.000000000000000000e+00,8.565033858563667057e-02,9.783105544880126558e+01,4.821878075209462509e+02,1.150460264745355010e+00,2.472930463730534356e+01,4.870209528345847616e+01,1.809703319680296685e-01
2.585586234345399959e+01,0.000000000000000000e+00,2.857599318000000039e+02,4.108589601000000471e+02,6.706666667000000359e+01,1.741481482000000014e+01,2.356162403579999776e+01,0.000000000000000000e+00,9.504368252017733609e-02,2.545687476012982415e+02,6.556988218503715871e+02,1.259202555780701394e+00,1.450602065213971592e+01,4.207677045179504205e+01,1.972220099164896934e-01
2.222616039519089881e+01,8.357813531357919601e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.154166666999999791e+01,3.716203703999999775e+00,3.412195020920000132e+01,1.000000000000000000e+00,3.968754655093605088e-02,9.314931500185670643e+01,9.613140859915885130e+02,1.589155979036307675e+00,1.576748551949583366e+01,3.763815289127197872e+01,1.588663949247124951e-01
2.128521319061499995e+01,3.893571182922020313e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.479999999999999716e+01,5.643981480999999967e+00,5.518039986080000148e+01,1.000000000000000000e+00,1.054416448262788034e-02,1.785824116346647656e+02,4.004654771548209737e+02,1.357070940894057554e+00,1.717482723374057940e+01,2.623937293888605993e+01,2.861558099278012635e-01
