# iw north average temp C,iw heating energy kWh,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode
2.014813548000000054e+01,3.569981795999999719e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.290833332999999783e+01,-8.787037040000000854e-01,4.373880634329999850e+01,1.000000000000000000e+00
1.931772897999999827e+01,4.284133633999999802e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.675833332999999925e+01,-1.200925926000000032e+01,4.710392106500000153e+01,1.000000000000000000e+00
2.072179754000000074e+01,2.860648652000000070e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.704999999999999716e+01,1.088749999999999929e+01,2.008544670000000210e+01,1.000000000000000000e+00
2.047976400000000297e+01,3.137021207000000089e+01,5.961226680000000222e-01,2.238346739999999835e-01,8.069166667000000359e+01,-1.996759259000000064e+00,4.127794953749999962e+01,1.000000000000000000e+00
2.222984967000000012e+01,5.498845224000000087e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.021666666999999507e+01,-6.502777777999999564e+00,5.517323875000000299e+01,1.000000000000000000e+00
2.681617917000000162e+01,0.000000000000000000e+00,2.177837896999999998e+02,1.438999343000000124e+02,5.238333332999999925e+01,2.325833332999999925e+01,2.504338613420000215e+01,0.000000000000000000e+00
2.043462783000000016e+01,2.660224867000000160e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.498333332999999357e+01,-2.743518518999999767e+00,3.763283594499999651e+01,1.000000000000000000e+00
2.268707187000000047e+01,1.022477113999999965e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.377500000000000568e+01,1.077407408000000011e+01,2.683921889750000034e+01,1.000000000000000000e+00
2.068143308000000147e+01,6.790590412000000242e+01,3.784673292000000089e+01,2.180306441000000106e+01,8.182500000000000284e+01,1.296342592999999965e+01,4.892609759169999961e+01,1.000000000000000000e+00
2.301141532999999839e+01,1.233444693999999942e+01,1.034573299999999989e+02,6.996382845000000295e+00,8.277500000000000568e+01,3.614814814999999903e+00,3.908817279250000354e+01,1.000000000000000000e+00
2.214330119999999980e+01,3.100770218999999717e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.404166666999999791e+01,1.112685184999999954e+01,2.300602874499999828e+01,1.000000000000000000e+00
2.109733757000000054e+01,2.629077400999999981e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.601666667000000643e+01,-1.488888889000000049e+00,3.750150827920000296e+01,1.000000000000000000e+00
2.194294833000000011e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.653333333000000493e+01,1.292222222000000009e+01,2.164598543079999970e+01,0.000000000000000000e+00
2.203272731999999934e+01,1.244618774999999999e+01,1.386963099000000170e+02,6.260060862999999927e+02,5.263333332999999925e+01,-3.685185189999999888e-01,3.743870286579999629e+01,1.000000000000000000e+00
2.122657690999999858e+01,2.385760150000000124e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.865000000000000568e+01,3.240277778000000275e+00,3.725278023330000110e+01,1.000000000000000000e+00
2.450963799999999893e+01,0.000000000000000000e+00,1.353834951999999703e+02,1.872816161999999895e+00,6.979166666999999791e+01,1.682222222000000045e+01,2.427547638920000139e+01,0.000000000000000000e+00
2.221890335000000150e+01,0.000000000000000000e+00,3.154154910000000456e+01,2.008634758999999992e+00,8.429166666999999791e+01,1.709166666999999862e+01,2.163436782830000027e+01,0.000000000000000000e+00
2.265555119999999789e+01,3.139946187000000055e+00,2.954615901000000235e+02,2.182349290999999596e+02,6.656666667000000359e+01,7.147685185000000274e+00,2.336956508749999983e+01,1.000000000000000000e+00
2.277400005999999877e+01,2.447473464000000121e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.668333332999999641e+01,2.548148148000000113e+00,4.746817199170000379e+01,1.000000000000000000e+00
2.112189920999999870e+01,2.794166086999999976e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.656666667000000359e+01,-1.217129630000000073e+00,3.799109753750000351e+01,1.000000000000000000e+00
2.262968168000000091e+01,2.376054935999999884e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.921666666999999507e+01,3.586574073999999612e+00,3.750654237670000413e+01,1.000000000000000000e+00
2.264600906000000080e+01,2.180459322999999827e+01,6.147882204999999800e+01,5.944142610000000548e-01,8.603333333000000493e+01,4.689814815000000081e+00,3.633611759170000255e+01,1.000000000000000000e+00
2.388809704000000167e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.027499999999999858e+01,1.355046296000000083e+01,2.365304633750000107e+01,0.000000000000000000e+00
2.310601046000000025e+01,2.933880446999999947e+00,1.631615921999999728e+02,1.215042397999999935e+01,7.904999999999999716e+01,8.988888889000000049e+00,2.176755277330000027e+01,1.000000000000000000e+00
2.277440329999999946e+01,3.345610176999999741e+00,2.136436384999999802e+02,1.008804810999999972e+02,4.548333333000000067e+01,5.292592593000000178e+00,2.537073869920000035e+01,1.000000000000000000e+00
2.227314008000000101e+01,1.344894898000000083e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.139166667000000643e+01,1.248148147999999935e+01,2.688300207920000062e+01,4.166666667000000213e-01
2.289182923999999986e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.734166666999999507e+01,9.210185185000000274e+00,2.078592757830000082e+01,0.000000000000000000e+00
2.128410050000000098e+01,2.762903488000000074e+00,1.315886699000000135e+02,6.080949012999999468e+02,2.462500000000000000e+01,8.736111110999999596e+00,2.034292453670000000e+01,1.000000000000000000e+00
2.163314180000000064e+01,4.452095092999999792e+01,3.042991352999999890e+02,3.386294035000000235e+01,7.588333332999999925e+01,-5.083796296000000048e+00,5.006644384250000002e+01,1.000000000000000000e+00
2.256009402999999836e+01,1.289472270999999992e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.272499999999999432e+01,1.057638889000000049e+01,2.996565583750000172e+01,1.000000000000000000e+00
2.246075678000000053e+01,3.209849741000000201e+00,2.498815281999999627e+02,3.745860029999999341e+01,6.625000000000000000e+01,7.662499999999999645e+00,2.463409432419999945e+01,1.000000000000000000e+00
2.223670055999999917e+01,1.270754364000000081e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.815833333000000493e+01,7.226388888999999871e+00,2.822120387920000084e+01,1.000000000000000000e+00
2.232657208999999909e+01,3.441504290999999682e+01,1.585859908999999845e+02,5.355354151000000229e+00,7.164166667000000643e+01,-2.316203703999999863e+00,4.425822643419999736e+01,1.000000000000000000e+00
1.961946809000000158e+01,3.818685462999999913e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.116666666999999791e+01,-1.062268519000000033e+01,4.513603634420000077e+01,1.000000000000000000e+00
2.288356809000000069e+01,9.934579337000000621e+00,4.557568596000000127e+01,7.229347240000000738e+02,5.269166666999999649e+01,4.338425926000000210e+00,2.957964888420000094e+01,1.000000000000000000e+00
2.426615281000000124e+01,0.000000000000000000e+00,1.635314268000000197e+02,1.072448445999999933e+01,4.610000000000000142e+01,1.888796295999999941e+01,2.344011481500000116e+01,0.000000000000000000e+00
2.224873989999999679e+01,3.828010562000000050e+01,2.333925389999999993e+02,1.594434194000000105e+02,7.205833332999999641e+01,-5.615740740000000342e-01,3.842858849830000167e+01,1.000000000000000000e+00
2.093826341999999840e+01,2.693367530000000087e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.946666666999999507e+01,-3.412037039999999966e-01,3.871712226919999722e+01,1.000000000000000000e+00
2.128410050000000098e+01,2.762903488000000074e+00,1.315886699000000135e+02,6.080949012999999468e+02,2.462500000000000000e+01,8.736111110999999596e+00,2.034292453670000000e+01,1.000000000000000000e+00
2.195930977000000084e+01,1.985941320999999959e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.896666666999999507e+01,1.657407409999999970e-01,3.341364468670000321e+01,1.000000000000000000e+00
2.434660769999999985e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.079166666999999791e+01,1.394675926000000032e+01,2.489371992919999954e+01,0.000000000000000000e+00
2.062605944999999963e+01,3.803147720000000476e+01,2.724280688999999711e+02,1.226006919999999951e+02,5.075833332999999925e+01,-3.733796296000000403e+00,3.570683997249999919e+01,1.000000000000000000e+00
2.264975746000000001e+01,1.898280746000000008e+01,9.375611431999999468e+01,2.014078939000000013e+00,9.116666666999999791e+01,6.839814815000000436e+00,3.457624045499999710e+01,1.000000000000000000e+00
2.446044218999999842e+01,0.000000000000000000e+00,2.176554229999999848e+02,5.549586212000000387e+02,4.937500000000000000e+01,2.276620370999999921e+01,1.693915109750000170e+01,0.000000000000000000e+00
2.294241501999999855e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.790000000000000568e+01,1.268657407999999975e+01,2.306384603249999898e+01,0.000000000000000000e+00
2.082362601000000168e+01,6.472638424999999529e+01,1.624948569000000020e+01,1.085687437000000033e+00,8.638333332999999925e+01,-5.898148149999999923e-01,6.103168694330000221e+01,1.000000000000000000e+00
2.238084646000000077e+01,2.425667693999999841e+01,6.231800358000000273e+01,3.565163708000000042e+01,7.276666667000000643e+01,1.802777778000000053e+00,5.064759657329999953e+01,1.000000000000000000e+00
1.937886049000000099e+01,3.186112675000000038e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.650000000000000000e+01,7.541666670000000128e-01,2.831302639500000140e+01,1.000000000000000000e+00
2.467896745999999908e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.361666667000000075e+01,1.504259258999999993e+01,2.503831663920000139e+01,0.000000000000000000e+00
2.355140524000000113e+01,3.350224256999999817e+00,1.062383588000000003e+02,7.241157742000000326e+02,6.452500000000000568e+01,5.368055555999999839e+00,2.752702981079999844e+01,1.000000000000000000e+00
2.167902939000000018e+01,2.584837428999999887e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.189999999999999858e+01,-4.398148147999999757e+00,3.459857314749999802e+01,1.000000000000000000e+00
2.046868187000000106e+01,2.325570825000000141e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.546666667000000217e+01,3.121296296000000137e+00,3.546911412920000117e+01,1.000000000000000000e+00
2.051377782999999866e+01,3.187663862999999864e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.840833333000000493e+01,-1.526388889000000137e+00,4.119023694420000226e+01,1.000000000000000000e+00
1.919640730000000062e+01,3.807288167000000101e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.616666666999999791e+01,4.134259259999999991e-01,2.937357544749999860e+01,1.000000000000000000e+00
2.129673344000000057e+01,0.000000000000000000e+00,1.771444401999999627e+02,1.078399442999999902e+00,6.561666667000000075e+01,1.067222222000000009e+01,2.112020344920000170e+01,0.000000000000000000e+00
2.414382525999999984e+01,0.000000000000000000e+00,3.339158051000000569e+02,2.470655658999999957e+02,6.081666666999999649e+01,1.881620369999999909e+01,2.452255833250000094e+01,0.000000000000000000e+00
1.899455367999999922e+01,8.935072499999999707e+01,1.237766779000000099e+02,1.567670575999999869e+02,6.467499999999999716e+01,-7.680555554999999757e+00,5.965897337919999899e+01,1.000000000000000000e+00
