# iw north average temp C,iw heating energy kWh,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode
2.288105516999999978e+01,6.471159317999999772e+00,1.623678469999999834e+02,8.600095061000000385e+01,8.810833332999999357e+01,8.751851851999999710e+00,3.247923041579999648e+01,1.000000000000000000e+00
2.191568606999999957e+01,1.806046621999999857e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.340000000000000568e+01,6.409259258999999709e+00,3.331905111580000067e+01,1.000000000000000000e+00
2.353635531999999841e+01,2.211494359000000021e+00,1.379088065999999912e+01,3.332808349999999975e-01,9.242499999999999716e+01,1.068425925999999926e+01,2.382476082330000011e+01,4.166666667000000213e-01
2.143817483999999851e+01,4.950129287000000033e+01,1.987619941000000168e+01,3.576020007999999848e+02,9.272499999999999432e+01,5.281018517999999773e+00,4.840252314829999847e+01,1.000000000000000000e+00
2.165250054999999918e+01,1.971291352000000074e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.451666667000000643e+01,3.754166666999999791e+00,3.419879512920000053e+01,1.000000000000000000e+00
1.890261033000000168e+01,4.489212153999999799e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.156666667000000359e+01,-1.142731481999999943e+01,4.956087106500000061e+01,1.000000000000000000e+00
2.286981697999999952e+01,2.998778124999999850e+00,1.563352919999999813e+02,6.665099312000000964e+02,5.137500000000000000e+01,6.693981482000000760e+00,2.337775106249999979e+01,1.000000000000000000e+00
2.376497593999999935e+01,2.618564140000000151e+00,1.052026644999999974e+02,7.383066148999999996e+02,4.925833332999999925e+01,1.221620369999999944e+01,2.275776012500000078e+01,1.000000000000000000e+00
2.242414017999999842e+01,3.172539692999999872e+01,1.217879087999999967e+02,4.042167560000000037e+01,7.318333332999999641e+01,-2.118981481999999694e+00,4.309878736079999584e+01,1.000000000000000000e+00
2.211571997000000067e+01,1.816644176999999871e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.559166666999999507e+01,6.475925926000000388e+00,3.252387153250000296e+01,1.000000000000000000e+00
2.463166703999999996e+01,0.000000000000000000e+00,1.726743810000000323e+01,9.266577748000000270e+01,7.728333333000000493e+01,1.424305554999999934e+01,2.447916620420000200e+01,0.000000000000000000e+00
2.170630188999999888e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.173333332999999357e+01,7.916666666000000241e+00,2.269292989750000089e+01,0.000000000000000000e+00
1.958757887000000153e+01,3.656981206999999756e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.020000000000000284e+01,-7.607870369999999660e+00,4.279474745329999763e+01,1.000000000000000000e+00
2.286518659000000042e+01,3.734771778999999725e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.004999999999999716e+01,-5.337037036999999984e+00,5.427104893500000315e+01,1.000000000000000000e+00
1.761375632000000024e+01,2.777075934999999873e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.144166667000000359e+01,-4.088888888999999693e+00,3.620924232920000208e+01,1.000000000000000000e+00
1.963326926999999955e+01,4.020153633000000326e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.900000000000000000e+01,-8.316203703999999419e+00,4.559065259169999962e+01,1.000000000000000000e+00
2.185443268999999944e+01,1.960583225999999968e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.118333332999999641e+01,3.947222221999999725e+00,3.355666763499999661e+01,1.000000000000000000e+00
2.012499800000000150e+01,2.994068890999999866e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.158333333000000209e+01,-2.845370371000000453e+00,3.928427388920000141e+01,1.000000000000000000e+00
2.217736907000000102e+01,1.285865519999999940e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.362500000000000000e+01,9.165277778000000097e+00,2.866691419500000038e+01,1.000000000000000000e+00
2.168476489999999757e+01,1.980556277999999892e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.151666667000000643e+01,3.635185185000000097e+00,3.445057615329999834e+01,1.000000000000000000e+00
2.262955059000000091e+01,3.187730138999999951e+01,3.869117689999999610e-01,1.750374369999999902e-01,9.110833332999999357e+01,4.559259259000000064e+00,3.835678055999999714e+01,1.000000000000000000e+00
2.198977035000000058e+01,1.434034669000000051e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.480833332999999641e+01,8.289351852000001131e+00,3.056202963079999790e+01,1.000000000000000000e+00
1.955912956999999963e+01,1.666445321000000135e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.581666667000000359e+01,2.324537036999999806e+00,2.882803010329999793e+01,1.000000000000000000e+00
2.032413521999999872e+01,2.914616058000000010e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.477500000000000568e+01,-2.829629629999999896e+00,3.834236139749999950e+01,1.000000000000000000e+00
2.101300793000000056e+01,0.000000000000000000e+00,8.983884682000000055e+01,4.744995698000000317e+01,5.890833332999999783e+01,8.268055555000000112e+00,2.150246482920000091e+01,0.000000000000000000e+00
2.338614935000000017e+01,7.352037692999999763e+00,1.144648165999999918e+02,7.044084582000000410e+02,7.719166667000000359e+01,7.379861111000000307e+00,3.056707221750000159e+01,1.000000000000000000e+00
1.937886049000000099e+01,3.186112675000000038e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.650000000000000000e+01,7.541666670000000128e-01,2.831302639500000140e+01,1.000000000000000000e+00
2.225532280000000185e+01,1.101660788000000046e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.085833333000000067e+01,8.796296295999999515e+00,2.798996893079999992e+01,1.000000000000000000e+00
2.489817902000000061e+01,2.803215946000000347e+00,2.166541700999999875e+01,2.598413949999999772e+01,4.573333333000000067e+01,1.449629630000000091e+01,2.427047653170000174e+01,1.000000000000000000e+00
2.033361423999999928e+01,3.397693342000000172e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.543333332999999641e+01,-3.259722221999999725e+00,4.206248319579999873e+01,1.000000000000000000e+00
2.328578667000000024e+01,0.000000000000000000e+00,8.354066858000000195e+01,2.711041605999999859e+01,7.404807787000000019e+01,1.671371049000000042e+01,2.376673240750000105e+01,0.000000000000000000e+00
1.950009065000000064e+01,1.464878189000000042e+01,1.037930349000000030e+00,2.969486808999999727e+00,5.014999999999999858e+01,6.999074074000000145e+00,2.207774380249999879e+01,1.000000000000000000e+00
2.288629442999999952e+01,2.829474863999999812e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.207500000000000284e+01,1.306898147999999971e+01,2.347345478669999963e+01,1.000000000000000000e+00
1.983827614999999867e+01,2.915746033000000015e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.546666666999999507e+01,5.008333333999999581e+00,1.872454398580000046e+01,1.000000000000000000e+00
2.233403146999999933e+01,2.340799883000000037e+01,2.215730595000000278e+02,1.612569535999999744e+02,7.485833332999999357e+01,7.039814814999999726e+00,2.770051618420000139e+01,1.000000000000000000e+00
2.338935928000000075e+01,2.905842526999999897e+00,1.269127533000000057e+02,3.863302934000000164e+02,5.895000000000000284e+01,1.385787037000000055e+01,2.263579768500000000e+01,1.000000000000000000e+00
1.834137000999999856e+01,2.759447692999999902e+01,2.289785766000000056e+00,4.567190596000000546e+00,6.657500000000000284e+01,-5.702777777999999742e+00,3.489873352250000238e+01,1.000000000000000000e+00
2.227694346999999908e+01,8.735137901999999954e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.999166667000000075e+01,2.230555556000000106e+00,3.221155951170000264e+01,1.000000000000000000e+00
2.469841139000000041e+01,2.810723899999999720e+00,1.623530011999999942e+02,5.667575281000000587e+02,4.217499999999999716e+01,1.669120369999999909e+01,2.396325692250000117e+01,1.000000000000000000e+00
2.713416800999999978e+01,0.000000000000000000e+00,5.628304325000000219e+00,6.729633276000000386e+00,5.926666666999999933e+01,2.105740740999999971e+01,2.521727472170000084e+01,0.000000000000000000e+00
2.269840432000000163e+01,3.803974400999999972e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.270000000000000284e+01,4.637500000000000178e+00,4.853087180579999682e+01,1.000000000000000000e+00
2.070429279000000022e+01,3.720474251999999815e+00,1.824236261000000070e+02,3.408428346000000175e+01,8.959999999999999432e+01,6.591203703999999775e+00,2.601076399080000101e+01,1.000000000000000000e+00
2.601267487000000145e+01,0.000000000000000000e+00,1.685296428000000049e+02,6.309478397999998833e+02,4.899166667000000075e+01,2.398888888999999836e+01,2.442485279670000153e+01,0.000000000000000000e+00
2.618420551999999901e+01,0.000000000000000000e+00,7.520811369999999840e+01,1.964269308000000080e+02,5.608333333000000209e+01,2.024537036999999984e+01,2.465022777829999967e+01,0.000000000000000000e+00
2.120460368999999901e+01,1.738115523000000096e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.316666666999999791e+01,4.468055556000000372e+00,3.156819574580000065e+01,1.000000000000000000e+00
