# # cmbedY,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode
1.868398523999999838e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.101666666999999933e+01,6.023611111000000129e+00,3.272229075999999992e+01,1.000000000000000000e+00
2.486970308000000074e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.903333332999999783e+01,-4.569907406999999644e+00,3.314171467579999586e+01,1.000000000000000000e+00
2.189095353000000088e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.932500000000000284e+01,9.000000000000000222e-01,3.407595304170000361e+01,1.000000000000000000e+00
2.300404508000000092e+01,1.424413443000000257e+02,6.035275162999999665e+00,9.254166666999999791e+01,1.006157407000000070e+01,2.329617337499999863e+01,1.000000000000000000e+00
1.969134621999999979e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.258333333000000209e+01,5.366203704000000130e+00,1.872441079080000037e+01,1.000000000000000000e+00
2.219142380999999986e+01,3.842988064000000037e+01,1.292184474000000023e+02,5.774166667000000075e+01,-3.306944443999999983e+00,4.431306134329999935e+01,1.000000000000000000e+00
1.833088893000000041e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.688333332999999925e+01,-5.524074073999999612e+00,3.488917192249999744e+01,1.000000000000000000e+00
2.257611732000000160e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.210833333000000067e+01,-9.777777777999999032e+00,6.522693319420000080e+01,1.000000000000000000e+00
2.429870165000000171e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.392499999999999716e+01,1.379953704000000059e+01,2.428448101920000113e+01,0.000000000000000000e+00
2.799601818000000009e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.778333333000000493e+01,-2.825000000000000178e+00,3.755812127250000287e+01,1.000000000000000000e+00
2.066662558999999888e+01,1.129721290000000096e+02,6.806567069999999831e+02,5.976666666999999933e+01,-2.734722221999999814e+00,3.760325631330000107e+01,1.000000000000000000e+00
2.332485632999999936e+01,1.800434634000000074e+02,3.256976023999999938e+02,5.938333332999999925e+01,1.316249999999999964e+01,2.277313748670000138e+01,1.000000000000000000e+00
4.956756184000000331e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.407500000000000284e+01,-2.544444444000000249e+00,4.859219842499999942e+01,1.000000000000000000e+00
2.074923336000000162e+01,1.412187388000000112e+02,4.102838839999999876e-01,7.669166667000000359e+01,4.431944445000000066e+00,2.858401382419999948e+01,1.000000000000000000e+00
1.668136786000000171e+01,1.796820404000000053e+02,1.031689969999999903e+02,5.214999999999999858e+01,6.785648147999999935e+00,3.314042111580000238e+01,1.000000000000000000e+00
3.553707636000000036e+01,6.204845179000000144e+01,3.061054050999999987e+01,6.427500000000000568e+01,-3.140740741000000114e+00,4.592213009169999793e+01,1.000000000000000000e+00
1.947139927999999998e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.479166666999999791e+01,-1.168379630000000091e+01,4.647477675830000265e+01,1.000000000000000000e+00
1.164706942000000023e+00,1.486885331000000008e+02,2.985053316999999762e+00,7.338333332999999925e+01,1.930000000000000071e+01,2.396018493829999940e+01,0.000000000000000000e+00
2.510720071000000075e+01,1.738796945999999934e+02,2.116983343000000062e+01,8.540833333000000493e+01,2.682870369999999838e+00,3.947292837919999897e+01,1.000000000000000000e+00
2.269346751999999867e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.926666667000000643e+01,1.008287037000000019e+01,3.384797720830000145e+01,1.000000000000000000e+00
2.757960886000000222e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.848333332999999357e+01,9.205555556000000195e+00,1.957331500920000167e+01,1.000000000000000000e+00
2.252826795000000004e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.160833333000000067e+01,3.739351851999999976e+00,3.198763791580000060e+01,1.000000000000000000e+00
2.282105908999999855e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.035000000000000142e+01,-4.344907408000000082e+00,5.542709129669999868e+01,1.000000000000000000e+00
2.373566363000000123e+01,1.904481419999999900e+02,6.284349354999999804e+01,7.459166666999999507e+01,1.545833333000000032e+01,2.410552012920000209e+01,0.000000000000000000e+00
2.264975746000000001e+01,9.375611431999999468e+01,2.014078939000000013e+00,9.116666666999999791e+01,6.839814815000000436e+00,3.457624045499999710e+01,1.000000000000000000e+00
6.865784657999999752e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.740000000000000568e+01,6.002777777999999564e+00,5.684740097249999735e+01,1.000000000000000000e+00
0.000000000000000000e+00,2.857599318000000039e+02,4.108589601000000471e+02,6.706666667000000359e+01,1.741481482000000014e+01,2.356162403579999776e+01,0.000000000000000000e+00
2.251527597000000114e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.661666667000000075e+01,2.739814814999999903e+00,4.449020856420000314e+01,1.000000000000000000e+00
2.269204434999999975e+01,1.284187210999999884e+00,3.968799863999999733e+00,9.749166667000000075e+01,9.072685184999999208e+00,2.914088379500000059e+01,1.000000000000000000e+00
2.321031782000000021e+01,1.068571188000000092e+02,6.105548963999999614e+02,4.470000000000000284e+01,9.743055554999999757e+00,2.203388857499999887e+01,1.000000000000000000e+00
5.513059519000000108e+01,5.966131349999999856e+01,6.015050519999999779e+02,5.454166666999999791e+01,-8.486111110999999596e+00,5.956598972249999946e+01,1.000000000000000000e+00
2.235007277000000059e+01,8.703056600000000742e+01,6.734193921000000138e+00,6.645000000000000284e+01,-3.816666666999999791e+00,4.919954782420000328e+01,1.000000000000000000e+00
1.673829776999999908e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.532500000000000284e+01,7.541203703999999952e+00,3.212944236749999760e+01,1.000000000000000000e+00
2.459494779999999992e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.829999999999999716e+01,1.525462963000000016e+01,2.426340367250000085e+01,0.000000000000000000e+00
2.757960886000000222e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.848333332999999357e+01,9.205555556000000195e+00,1.957331500920000167e+01,1.000000000000000000e+00
1.813012471000000048e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.079166666999999791e+01,-7.502777777999999564e+00,3.599194696330000198e+01,1.000000000000000000e+00
0.000000000000000000e+00,1.251585773000000046e+02,8.624220288999998729e+02,4.260833333000000067e+01,1.620462962999999945e+01,2.229341531920000108e+01,0.000000000000000000e+00
2.286235847000000021e+01,8.881121143999999390e+01,3.489518821000000326e+00,8.997499999999999432e+01,2.114351851999999976e+00,3.961559416669999933e+01,1.000000000000000000e+00
2.339748189000000167e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.962500000000000000e+01,1.301018518999999962e+01,2.382049535169999999e+01,0.000000000000000000e+00
1.946035651000000044e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.934166666999999507e+01,3.474074073999999790e+00,2.814855117999999834e+01,1.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.528333333000000493e+01,1.229537037000000055e+01,2.170527944000000176e+01,0.000000000000000000e+00
