# iwNorthAvgTemp,heatEnergy,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode,mullInsulationThickness,mullMetalConductivity,intMass,mullSurfaceArea,elecEquipDensityLow,elecEquipDensityHigh,infilRate
22.263483114,15.9929015753,4.217488004,5.059697765,71.59166667,3.267592593,47.962669445,1,0.0316251386,147.1526763221,921.8621949476,1.6356250005,24.2300544731,32.3078200045,0.1332945377
25.600125606,0,101.7857706,1.006951537,95.25,14.57731482,23.8276944442,0,0.0441521977,114.1311644827,878.4796217359,1.5310724013,7.9100456574,36.0290113684,0.1254161485
23.4619536787,0,0,0,88.19166667,13.23240741,23.5069349592,0,0.05155165,284.487812814,514.8231576453,1.4130276934,15.9730352864,44.0094961469,0.1401444735
19.6747484132,11.4441469474,75.21526751,0.829271945,65.16666667,-3.981481482,50.4666465267,1,0.0817303851,191.0436777102,900.3476356443,1.2791669353,21.0357467959,21.330436879,0.1814860731
23.572222015,0,0,0,75.68333333,17.44166667,22.9098921308,0,0.0891874189,250.4801677724,847.2500519901,1.5800725919,6.1679760783,22.8784780079,0.2432740814
21.8812132705,0,303.652555,368.4562166,65.16666667,11.47777778,24.2461194775,0.0833333333,0.046663992,341.8741364112,805.528175358,1.2834688945,15.5470409748,27.0735706568,0.1139559116
22.2880424139,9.9459998748,0,0,97.68333333,2.112037037,32.6953935567,1,0.0305757571,77.9273549982,986.9468438742,1.5349888144,5.1428728281,44.2383308742,0.1573111517
15.0984642682,4.8644734691,0,0,79.46666667,-0.341203704,38.7171222692,1,0.0561616124,254.5715790268,233.8605976027,1.1300139522,15.2232939332,30.1581014436,0.2121434039
22.5940546714,0,0,0,91.35833333,13.43425926,23.089878005,0,0.0115112612,87.2699810277,552.7897086289,1.6328186583,19.6874954694,41.5793252786,0.2446289869
18.2748071689,9.1729259863,0,0,63.91666667,-3.111574074,54.8535419908,1,0.0819229688,167.1672626582,696.7680857334,1.1421423241,17.2391013263,39.3992863748,0.143588799
20.4215832238,10.4457922809,14.86528549,1.174128367,81.63333333,4.387962963,34.9194476217,1,0.0836167588,263.6917769253,731.5855400052,1.5668964957,23.735384448,31.1971200682,0.1730103707
15.4172609134,12.8877836494,0,0,75.23333333,-12.125,48.9416405117,1,0.0989425554,66.885460706,535.1372348195,1.5103914941,15.7200529181,49.5388542247,0.2884752553
18.2385742437,0,100.6248886,4.31508474,73.41666667,18.57777778,21.549419495,0,0.051898411,201.1397748854,248.2047779456,1.1836161091,6.885037599,22.7135260476,0.2979732021
24.0583543962,0,10.35709105,3.074842076,59.84166667,7.650925926,21.66891876,0,0.0935585288,115.1447985185,358.1543876775,1.2349718849,13.265850743,28.7050575124,0.053310741
21.3286547065,0,100.8791024,187.791385,80.075,16.81157408,24.3797873983,0,0.0493068015,257.827802216,933.3352398617,1.2372795325,13.7118735873,43.3608495882,0.1213276922
20.0927738584,9.9885577093,190.7474732,44.73998596,73.18333333,-4.411574074,47.305271575,1,0.0403223395,186.628500677,673.4705419621,1.19739481,8.2287914821,27.317131458,0.0149808261
18.7612931743,11.0645770004,0,0,72.36666667,-2.184722222,44.541025555,1,0.0245845129,137.0772387548,258.4652346457,1.2010966646,5.3375553398,38.7536905178,0.148179159
23.6154147985,18.7657382766,120.292448,720.9935856,69.65,9.6125,25.5538444033,1,0.0092247879,386.3570796535,563.0746493785,1.6726987109,14.0719213705,33.865220377,0.1344917441
24.3952627183,12.8392648324,117.9986481,930.3737938,37.44166667,2.025462963,32.562165325,1,0.0061048624,215.5988442584,818.8987158309,1.6676105791,21.3238097275,49.6941444671,0.2024083992
24.1716428605,0,0,0,95.64166667,10.25648148,21.231521555,0,0.0567738442,225.0084287775,252.5282430536,1.1767912048,23.4152711684,33.9299370277,0.0575697034
24.3932864188,7.9206773661,0,0,89.94166667,1.946759259,19.8618382175,1,0.0801551233,260.5231379857,558.6538090551,1.6035944828,9.0166251948,39.6905462481,0.2306630628
19.5999269542,7.0395548483,0,0,54.35,4.124074074,28.4347657317,1,0.008908531,195.9899982712,582.482628733,1.1915933726,21.8015190766,31.067979654,0.1984338716
21.4271364009,12.1648949955,59.91211803,1.686390588,75.48333333,4.694444444,30.7377277092,1,0.0194040635,386.6507142776,415.440170505,1.5777767906,21.5324736389,28.3177546871,0.0540328151
22.3970711557,12.617262587,0,0,67.65833333,5.565740741,34.4755228792,1,0.0705533351,297.5548955157,844.8348472688,1.459644217,5.8587532327,21.6913717711,0.2239103548
19.77479534,11.739953607,0,0,79.36666667,-3.036111111,39.2991265292,1,0.047532721,317.263058822,334.2110214885,1.5584988471,16.6980479769,26.282066801,0.2833657432
19.6071361838,10.8829942499,167.4048351,35.48894163,56.18333333,-3.150925926,45.152514585,1,0.0692308096,282.6442943719,803.3348496154,1.2165571292,13.2931517988,44.1385595517,0.1718400545
22.0074695133,23.2618191242,0.110219213,0.064864364,94.09166667,3.870833334,57.6695452758,1,0.0073200907,324.1692295226,464.1767335197,1.6145813295,20.1168210003,46.3617769014,0.1770428574
19.8210450565,16.4916358976,56.61082617,1.836521852,93.26666667,4.616203704,48.22656676,1,0.019759738,377.3730620071,244.9013093627,1.3836548428,9.9931665163,48.9336896411,0.0201061237
21.3947186895,11.5366013756,0,0,84.675,-0.674074074,46.56204051,1,0.0815125415,203.0852349461,214.1547753824,1.6771405265,10.008609873,40.1322334642,0.1067700469
21.1548745892,19.2991160034,0,0,58.575,-2.343518519,33.6506897725,1,0.0077256427,157.8349393178,599.473672622,1.6273563662,18.7171644114,35.065012274,0.1750135688
22.1924871691,9.7736260855,2.417595195,0.694242117,77.65,9.584722222,21.2463060742,1,0.0801551233,260.5231379857,558.6538090551,1.6035944828,9.0166251948,39.6905462481,0.2306630628
23.8447768607,7.2103274433,137.2928046,827.6472252,30.825,12.5837963,22.4380604633,1,0.0779646096,85.1218960133,580.7060948993,1.2771188899,9.2707689174,45.93969261,0.2177270429
20.1564438991,6.7535635548,0,0,88.4,2.512037037,35.05293705,1,0.0610339899,63.8284804364,781.543587258,1.3028259775,18.3505152692,43.511217649,0.0920414605
22.5621966817,10.4423496182,0,0,61.43333333,-4.674537037,36.6664122683,1,0.0996943605,275.0300862298,873.4799092252,1.6690978944,20.6334646414,30.6261166015,0.0625060912
19.1039487798,7.1271437587,30.85744516,354.130737,56.80833333,-5.997222222,35.3657101208,1,0.0257614755,358.6409560822,822.9709983959,1.2437456551,21.7187580102,44.8800555615,0.2099581239
18.490051752,12.1651596715,0,0,85.43333333,-3.259722222,42.0624831958,1,0.0891874189,250.4801677724,847.2500519901,1.5800725919,6.1679760783,22.8784780079,0.2432740814
28.0754166161,0,0,0,62.6,18.5587963,24.7099881758,0,0.0868384308,222.7412123717,276.2984976591,1.3265637109,12.9712001741,46.8718262576,0.1209193912
19.420105547,17.056011253,205.3857905,15.87005814,74.74166667,-4.453703704,50.3281902317,1,0.0472956876,281.1188072084,956.7415427679,1.5683940308,6.505476829,38.816632127,0.2849316915
22.6934996993,7.8771811159,0,0,66.21666667,8.096296296,33.5407591717,1,0.0938840533,229.2944592344,797.942856793,1.4680518371,12.7377914415,35.6589802191,0.0271978702
16.8451352773,9.460291012,0,0,77.325,10.03611111,36.3672286625,1,0.0376683432,342.4075852536,641.9596391638,1.3508491378,10.6221137523,49.2052516588,0.2663590135
24.4433381864,2.2150954909,45.72286961,0.422239869,97.775,11.02962963,20.9378145792,0,0.0819229688,167.1672626582,696.7680857334,1.1421423241,17.2391013263,39.3992863748,0.143588799
27.0697556878,5.938330006,0,0,43.86666667,9.3125,19.8437126892,1,0.0948520376,384.4678204301,288.1491952308,1.553661808,19.0999770674,45.1477955311,0.0427140027
23.3890370803,9.7617146167,0,0,64.01666667,-1.883796296,35.9326038233,1,0.0153243214,280.2827265597,835.1592573947,1.4301945811,12.1536679729,38.1527654246,0.082355489
24.5334980697,0,0,0,82.1,14.58657407,24.4138639208,0,0.0493068015,257.827802216,933.3352398617,1.2372795325,13.7118735873,43.3608495882,0.1213276922
20.1589386324,5.1694459655,0,0,60.9,-7.038888889,35.6753402467,1,0.0236210776,350.8220023067,829.7772043353,1.1646972224,15.1331056158,41.3937392494,0.0416756213
23.4245638351,8.7377140129,233.392539,159.4434194,72.05833333,-0.561574074,38.4285884983,1,0.0472956876,281.1188072084,956.7415427679,1.5683940308,6.505476829,38.816632127,0.2849316915
24.1401500627,3.7015686479,0,0,94.04166667,11.12685185,23.006028745,1,0.049944683,230.3538675885,517.8928820804,1.2029287906,20.2625621759,46.2211902048,0.0328829078
24.8617129138,0,0,0,68.29166667,18.54074074,24.7188638883,0,0.0173418983,219.0307844752,837.4538275774,1.1238985014,21.6211476035,26.316342393,0.1533963587
21.2099661582,0,37.53807705,0.042172439,91.83333333,12.90277778,22.8136791658,0,0.0548204572,62.7573018849,761.2559911788,1.3955454335,9.5727626268,22.6719681735,0.2556056301
19.316837376,15.4836651834,47.6880839,2.304119597,79.31666667,-1.775925926,66.2792863425,1,0.031795359,272.9078847101,710.8946441315,1.4059432104,6.7635137355,36.8789843237,0.2569130634
17.286502691,11.6396794083,57.21014699,46.87867455,65.425,-5.932407407,66.5458695825,1,0.0625848794,349.7610610083,649.3860086825,1.15889054,15.8405731429,40.4285387132,0.2150664841
22.6795084732,10.9860363681,0,0,65.625,-1.216203704,36.5870201625,1,0.0267302422,322.182035883,706.4729700259,1.5809288276,24.4769122016,29.2136547713,0.0662447079
18.0049284563,15.6459508609,66.61261802,12.31271967,84.66666667,0.359259259,65.185739305,1,0.0759351591,265.5221764622,756.1307894664,1.4029285021,11.4756999435,48.418192175,0.0557617166
22.3816879155,17.0492604333,81.37587076,833.3810725,66.01666667,5.459259259,29.7617032542,1,0.0137828731,309.0507084106,871.4890855687,1.614005503,5.4177529975,23.8359151555,0.2495631177
22.3002027795,0,74.2718467,5.232542017,76.38333333,5.645833333,50.6133793992,0,0.0616341354,197.1333413506,972.6702250709,1.5385326572,11.1462140543,25.7888426389,0.0968177314
24.6168404848,4.5588812769,0,0,51.94166667,10.61990741,21.9009882317,1,0.0322326448,100.8409683439,489.2800153869,1.2582163311,19.9040088458,21.8527755692,0.1516559657
20.3928364783,10.3102537281,0,0,82.9,2.69212963,34.1469152133,1,0.068213028,156.1085453024,287.0458023558,1.5186171293,15.2983002925,23.2656461004,0.1431892126
13.7030620864,22.29533221,163.411723,251.036224,57.09166667,-8.892592592,65.7463176392,1,0.0035508415,156.679867451,240.6223634998,1.2654479851,10.1740599896,39.9338579443,0.1843273509
24.3205950517,0,98.12929077,311.0380746,84.61666667,16.37083333,24.9312433475,0,0.0664792146,289.852213244,205.4880380507,1.205110433,24.6573827705,46.1493640452,0.1510932081
26.9720490239,0,88.97921912,315.2116654,95.58333333,13.72546296,22.9118701158,0,0.0773861332,306.6526769546,615.5880886997,1.1989852094,23.8597729094,48.7631570968,0.056612656
20.3030558543,7.2264852027,0,0,80.16666667,2.905092593,31.9514763742,1,0.0902594869,235.2101889146,743.76394168,1.3460196165,8.8986532917,40.902976381,0.0117751282
18.0795538425,5.9868654486,0,0,82.88333333,-4.018981482,36.4240757183,1,0.0403223395,186.628500677,673.4705419621,1.19739481,8.2287914821,27.317131458,0.0149808261
22.8115938348,7.3571038155,0,0,94.45833333,7.396296296,31.783315305,1,0.0565321319,241.0609742375,481.2084199964,1.416943451,22.48125858,42.2277101405,0.1312718837
23.3611449438,0,2.096440103,0.346594931,95.3,13.07268519,24.47687176,0,0.0839953668,378.4763671218,657.8822184065,1.2883306434,8.0197895701,24.0046887345,0.1484652629
21.1533762993,5.4508058933,0,0,69.125,0.418055556,32.9330576825,1,0.0493068015,257.827802216,933.3352398617,1.2372795325,13.7118735873,43.3608495882,0.1213276922
21.7582370936,10.3770711576,0,0,57.275,-3.313888889,27.3004799583,1,0.0345225938,107.4265988554,882.7321167652,1.5324878691,11.3709717882,49.9161985468,0.0160692777
20.7001936059,13.7343109761,208.5037619,61.82384455,69.81666667,0.133333333,42.6696688417,1,0.0553622977,312.7420490381,308.6668092788,1.3870227871,17.9973208623,24.2146441049,0.0380556163
22.942775011,11.4150320566,32.05415201,0.325074937,72.24166667,0.431944755,40.3250299992,1,0.0728814668,217.0521558019,425.8190793401,1.3924337411,9.1813965894,37.9565609179,0.2419957438
18.7563792515,13.6196549071,208.5037619,61.82384455,69.81666667,0.133333333,42.6696688417,1,0.0548204572,62.7573018849,761.2559911788,1.3955454335,9.5727626268,22.6719681735,0.2556056301
