# # cmbedY,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode,mullInsulationThickness,mullMetalConductivity,intMass,mullSurfaceArea,elecEquipDensityLow,elecEquipDensityHigh,infilRate
2.508656887339530073e+01,1.268308636000000007e+02,8.787525097999999844e+02,2.879166667000000146e+01,1.231898147999999971e+01,2.330219650829999978e+01,1.000000000000000000e+00,6.163413535796351955e-02,1.971333413505857379e+02,9.726702250709055306e+02,1.538532657208695920e+00,1.114621405426568046e+01,2.578884263893996120e+01,9.681773135538657149e-02
2.203369676472059879e+01,5.061655927999999705e+01,2.613150562999999948e+01,7.292499999999999716e+01,3.494444445000000066e+00,3.841468236170000239e+01,1.000000000000000000e+00,7.725642745111633430e-03,1.578349393178010587e+02,5.994736726219980483e+02,1.627356366176820890e+00,1.871716441140701193e+01,3.506501227395528986e+01,1.750135688262700329e-01
1.970608246884329873e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.974166667000000075e+01,4.363425926000000565e+00,3.466508630580000272e+01,1.000000000000000000e+00,4.729568758000737144e-02,2.811188072084339638e+02,9.567415427679360391e+02,1.568394030826210095e+00,6.505476828953492330e+00,3.881663212700595977e+01,2.849316915001926520e-01
2.392538230886290052e+01,8.897921911999999622e+01,3.152116653999999585e+02,9.558333333000000209e+01,1.372546295999999977e+01,2.291187011579999933e+01,0.000000000000000000e+00,5.083015020276458046e-02,2.770546184576000996e+02,4.741359573512078782e+02,1.507487128408393717e+00,1.438638324598895224e+01,3.020321986210212373e+01,2.840802878675927068e-01
2.110063169614399925e+01,9.035501700999999741e+01,2.910185283999999797e+02,6.750000000000000000e+01,-5.706481480999999967e+00,6.568896777919999863e+01,1.000000000000000000e+00,2.642245939517972198e-03,3.763575288785927455e+02,9.063548254774618727e+02,1.502355415585327369e+00,2.429614311988656894e+01,4.031702083969003070e+01,2.351445374812588529e-01
9.180307625142429373e+00,1.234831065999999851e+02,8.642621687000000748e+02,4.574166667000000075e+01,1.111527777999999955e+01,2.333710740829999963e+01,1.000000000000000000e+00,2.562478002595952598e-02,3.050177360140512519e+02,4.624689783136487335e+02,1.245466493510534844e+00,5.732743150498189166e+00,2.967491119553209700e+01,1.640322109159169928e-01
1.327583823762040005e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.200833332999999925e+01,8.001851851999999710e+00,3.886377054580000134e+01,1.000000000000000000e+00,2.285126362203905581e-02,2.474212175218940217e+02,6.520145731287771014e+02,1.421604901009368316e+00,1.746000037844433805e+01,3.849490634554568658e+01,2.293059001596362834e-01
2.601677808092890132e+01,1.596769361000000060e+02,1.162519104000000070e+01,7.041666666999999791e+01,9.281944445000000599e+00,2.135108851500000071e+01,1.000000000000000000e+00,1.940406354797908836e-02,3.866507142775815851e+02,4.154401705049850193e+02,1.577776790637521520e+00,2.153247363893084909e+01,2.831775468711110477e+01,5.403281512686250454e-02
1.181073455483540080e+01,3.754461277999999957e+00,4.968840969999999579e+00,6.126666666999999933e+01,-3.112037036999999895e+00,5.574848259329999678e+01,1.000000000000000000e+00,7.387018575044954072e-02,1.900071599937897702e+02,3.936581693417783185e+02,1.314872090256630432e+00,2.278251380328225295e+01,4.450258296796432944e+01,2.913350461734403041e-01
2.296024147254840031e+01,2.005831014000000039e+02,5.588099053999999910e+01,4.948333333000000067e+01,-1.203240740999999892e+00,3.185425017580000073e+01,1.000000000000000000e+00,9.224787933904132764e-03,3.863570796534555143e+02,5.630746493785424036e+02,1.672698710904327424e+00,1.407192137048211933e+01,3.386522037695696952e+01,1.344917441299513516e-01
1.199479984404320021e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.012023750000000177e+01,-7.126322777999999580e+00,4.000728634330000233e+01,1.000000000000000000e+00,9.638976076574755358e-02,3.694803722824905776e+02,9.121457327767169545e+02,1.703251485844913482e+00,1.789579647192221756e+01,4.026618201224023608e+01,1.876980126396926296e-01
1.514939409603890041e+01,2.256916151999999727e+02,3.268843588999999952e+02,5.917499999999999716e+01,1.271111110999999916e+01,2.321235022169999951e+01,1.000000000000000000e+00,2.433661332936763733e-02,3.911445673085671615e+02,6.356278739326452296e+02,1.476944994221779384e+00,7.708691999867714806e+00,4.395399381509978554e+01,1.384959861850419971e-01
6.541358410883000296e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.596666666999999507e+01,-1.099537036999999939e+00,4.072379180499999762e+01,1.000000000000000000e+00,2.576147545038826731e-02,3.586409560822426670e+02,8.229709983958816792e+02,1.243745655066582856e+00,2.171875801018063612e+01,4.488005556153426312e+01,2.099581239040492764e-01
1.273897894262020003e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.175000000000000000e+01,-1.722222219999999804e-01,3.890760842670000130e+01,1.000000000000000000e+00,2.028558010239380621e-02,2.627903260134736456e+02,5.884574434946466681e+02,1.570987274951316959e+00,1.399335471153968946e+01,2.431142095338095288e+01,2.858645648767791925e-01
2.261732163049639865e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.194166666999999649e+01,1.061990740999999971e+01,2.190098823170000131e+01,1.000000000000000000e+00,2.055331089451014129e-02,6.920261798417035948e+01,7.744755022994995670e+02,1.153631788681691139e+00,6.422889983345145382e+00,2.898561417133667106e+01,1.655533795885187065e-01
2.327540876938369863e+01,1.104293670999999790e+02,8.482371203999999807e+02,3.824166667000000075e+01,1.850972222000000045e+01,2.418165374499999842e+01,1.000000000000000000e+00,3.264222299964471968e-02,2.073080151884086035e+02,3.385710150087184047e+02,1.178107615277526055e+00,1.245037435201320442e+01,4.496884582014786957e+01,9.939962886267250664e-02
1.830358877745619850e+01,1.045783394000000044e+02,5.562594861000000037e+02,5.876666666999999933e+01,3.456018518999999678e+00,3.214922347830000149e+01,1.000000000000000000e+00,7.963962250338241233e-03,3.974730838476453982e+02,4.122551576738845824e+02,1.680397123784464375e+00,1.862501494270851765e+01,2.855669294434585836e+01,1.043022509535137948e-01
2.296631343171230100e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.345833333000000209e+01,-1.332407407000000044e+00,2.060040672250000071e+01,1.000000000000000000e+00,1.698034321460375681e-02,9.115185549334677262e+01,8.566179653259230236e+02,1.596845965964268643e+00,2.315418300489805858e+01,4.162117760078329098e+01,1.690983739561866261e-01
2.353605032556189869e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.738333332999999925e+01,1.044305555999999946e+01,2.649384773250000080e+01,1.000000000000000000e+00,6.217842499968750242e-02,7.208681374037450951e+01,3.751895405972284721e+02,1.420033936659069962e+00,8.439022076768052827e+00,3.482931215726529217e+01,1.925268957285320992e-01
