# # iwNorthAvgTemp,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode,pitchedRoofInsuThickness,mullSurfaceMetalThickness,extWinU,extWinSHGC,intMass,infilRate
2.423091996060000142e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.499166667000000075e+01,-4.217592593000000001e+00,3.089972855830000142e+01,1.000000000000000000e+00,1.469152172000000034e-01,9.820841699999999230e-03,1.697757076999999892e+00,2.589399648999999859e-01,3.601956921829999914e+01,4.416964610000000124e-02
1.755663625140000050e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.293333332999999641e+01,2.982407407999999815e+00,2.884608186000000174e+01,1.000000000000000000e+00,2.836613574999999887e-01,7.891133499999999565e-03,2.588434535299999784e+00,4.535171438000000221e-01,8.579175754400000642e+01,2.580067342999999846e-01
2.277719646110000085e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.264166666999999933e+01,5.932407407000000354e+00,3.340275374499999828e+01,1.000000000000000000e+00,2.748394592000000247e-01,2.209847799999999866e-03,2.714275744100000054e+00,5.221115176999999719e-01,6.053331594170000329e+01,2.858059170999999732e-01
2.105716869269999947e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.692499999999999716e+01,8.426851852000000420e+00,3.151604651419999925e+01,1.000000000000000000e+00,2.895858217000000234e-01,4.538814000000000390e-03,2.881256897900000169e+00,3.582427676000000116e-01,4.817691001680000085e+01,2.679453735999999808e-01
2.238543596199999897e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.412500000000000000e+01,1.477453704000000023e+01,2.406254143079999963e+01,0.000000000000000000e+00,8.573968390000000217e-02,2.078177899999999936e-03,2.727701689599999924e+00,4.281998349000000204e-01,3.109975872720000112e+01,2.272287457000000122e-01
1.798325470769999868e+01,1.824236261000000070e+02,3.408428346000000175e+01,8.959999999999999432e+01,6.591203703999999775e+00,2.601076399080000101e+01,1.000000000000000000e+00,5.188054739999999748e-02,9.158548199999999931e-03,1.965928933000000045e+00,6.132608472999999671e-01,6.668858344820000639e+01,7.056062370000000528e-02
2.695293656710000008e+01,1.167894174999999990e+02,4.202024386999999805e+00,8.725833332999999925e+01,3.006944444000000161e+00,3.912008166670000264e+01,1.000000000000000000e+00,2.415569646000000070e-01,4.310122700000000237e-03,1.983144564300000079e+00,4.073032402999999801e-01,9.543304786109999327e+01,1.513397217000000128e-01
2.596439533830000101e+01,2.308420790000000125e+02,2.050251057000000117e+02,6.636666667000000075e+01,1.198657406999999964e+01,2.395711490749999939e+01,1.000000000000000000e+00,1.399109282000000065e-01,8.039469599999999813e-03,2.550754897700000079e+00,4.353477765000000055e-01,3.425155377979999827e+01,2.391046208000000006e-01
2.346391453360000057e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.567499999999999716e+01,-4.170370370999999743e+00,3.084464427329999836e+01,1.000000000000000000e+00,1.862119965000000044e-01,3.421437700000000068e-03,2.136592998399999832e+00,6.328300471000000149e-01,7.193942276479999975e+01,2.809167590000000159e-01
2.408853005259999946e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.911666667000000075e+01,1.569212963000000016e+01,2.270781715249999877e+01,0.000000000000000000e+00,2.171916854000000008e-01,1.669156100000000016e-03,1.745363488900000037e+00,3.347436446000000010e-01,3.738023153910000218e+01,5.617092239999999653e-02
