# # iw north average temp C,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode
1.977315031999999917e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.963333332999999925e+01,-1.146574073999999932e+01,4.455686249920000108e+01,1.000000000000000000e+00
2.420260462999999973e+01,2.705170635000000061e+02,2.888287306999999942e+02,6.335000000000000142e+01,1.813657407000000177e+01,2.454196751830000167e+01,0.000000000000000000e+00
2.328825588000000124e+01,1.887134158000000070e+02,1.164397356000000059e+02,6.379166666999999791e+01,1.830092593000000045e+00,3.691841888830000329e+01,1.000000000000000000e+00
2.356332812000000132e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.465000000000000568e+01,1.166759258999999993e+01,2.334313610999999966e+01,0.000000000000000000e+00
1.960215125999999941e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.681666667000000359e+01,4.684722222000000436e+00,2.311503245500000148e+01,1.000000000000000000e+00
2.133488599000000008e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.740000000000000568e+01,2.118981481000000056e+00,3.582768033330000179e+01,1.000000000000000000e+00
2.257391177999999954e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.153333332999999783e+01,8.762499999999999289e+00,2.170093156420000113e+01,1.000000000000000000e+00
2.161298117999999846e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.718333332999999641e+01,2.538425925999999944e+00,3.514891597670000323e+01,1.000000000000000000e+00
2.265935345999999839e+01,1.266249592000000064e+02,2.585299278999999828e+01,6.192499999999999716e+01,1.466018518999999998e+01,2.248696780999999945e+01,0.000000000000000000e+00
2.169693858000000120e+01,1.102192129999999964e-01,6.486436399999999380e-02,9.409166666999999507e+01,3.870833333999999848e+00,5.766954527579999734e+01,1.000000000000000000e+00
2.321031782000000021e+01,1.068571187999999950e+02,6.105548963999999614e+02,4.470000000000000284e+01,9.743055554999999757e+00,2.203388857499999887e+01,1.000000000000000000e+00
1.948980007999999842e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.618333332999999641e+01,3.850462963000000016e+00,2.808507731419999942e+01,1.000000000000000000e+00
2.235007277000000059e+01,8.703056599999999321e+01,6.734193921000000138e+00,6.645000000000000284e+01,-3.816666666999999791e+00,4.919954782420000328e+01,1.000000000000000000e+00
2.194305171999999970e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.857500000000000284e+01,-2.343518518999999856e+00,3.365068977250000160e+01,1.000000000000000000e+00
1.970219511999999895e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.577499999999999858e+01,5.002777777999999564e+00,2.351213668249999955e+01,1.000000000000000000e+00
2.349161343000000102e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.964999999999999858e+01,1.420972221999999974e+01,2.400319868920000133e+01,0.000000000000000000e+00
2.273783119000000141e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.515833332999999783e+01,7.901851852000000065e+00,3.282285363329999939e+01,1.000000000000000000e+00
2.264031409000000039e+01,1.215711564000000067e+02,6.057633587000000261e+02,6.504999999999999716e+01,-8.199074074000000323e+00,5.392628694420000102e+01,1.000000000000000000e+00
2.035469928999999922e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.056666666999999649e+01,-1.514814815000000037e+00,3.445254625919999825e+01,1.000000000000000000e+00
2.445000422000000029e+01,8.426822287999999617e+01,7.684577596000000312e+02,3.759166667000000217e+01,1.705555555999999839e+01,2.234725786999999997e+01,0.000000000000000000e+00
2.133488599000000008e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.740000000000000568e+01,2.118981481000000056e+00,3.582768033330000179e+01,1.000000000000000000e+00
2.464433315000000135e+01,7.081006080000000225e+01,1.802786465999999876e+01,4.895833333000000209e+01,1.869074073999999897e+01,2.361221089420000041e+01,0.000000000000000000e+00
2.136768140999999943e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.228333333000000493e+01,1.165972222000000080e+01,2.145832574499999978e+01,0.000000000000000000e+00
2.248490427000000125e+01,1.401893538999999862e+02,2.707717279999999893e-01,9.670000000000000284e+01,1.056759259000000029e+01,3.075638958829999936e+01,1.000000000000000000e+00
2.099020464000000175e+01,1.113820776000000023e+01,1.146370362999999948e+01,7.054999999999999716e+01,1.703703699999999932e-01,6.007412222250000156e+01,1.000000000000000000e+00
2.311986220000000003e+01,1.604486900999999932e+02,2.437640044000000117e+01,8.273333332999999357e+01,5.510648147999999580e+00,3.426171686080000001e+01,1.000000000000000000e+00
2.426615281000000124e+01,1.635314267999999913e+02,1.072448445999999933e+01,4.610000000000000142e+01,1.888796295999999941e+01,2.344011481500000116e+01,0.000000000000000000e+00
2.301778994000000012e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.247499999999999432e+01,5.254629630000000162e+00,3.357339343579999991e+01,1.000000000000000000e+00
1.892003541000000055e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.954999999999999716e+01,1.964351852000000065e+00,3.082628976750000049e+01,1.000000000000000000e+00
2.108577301000000048e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.118333332999999641e+01,3.132407407000000088e+00,3.793949773580000340e+01,1.000000000000000000e+00
2.157202486999999991e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.020000000000000284e+01,1.001249999999999929e+01,3.612156514330000334e+01,1.000000000000000000e+00
2.257937052999999850e+01,2.435318444000000113e+02,5.090891427999999905e+02,4.423333333000000067e+01,4.818518519000000389e+00,2.647986510579999830e+01,1.000000000000000000e+00
2.137535889999999839e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.276666666999999933e+01,6.106481482000000405e+00,3.363208562079999808e+01,1.000000000000000000e+00
1.757268819000000093e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.910833332999999357e+01,-8.009259260000000102e-01,1.827562818419999857e+01,0.000000000000000000e+00
2.520377504000000002e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.068333332999999641e+01,1.885648147999999935e+01,2.148765483669999909e+01,0.000000000000000000e+00
2.198663209000000052e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.726666666999999933e+01,-3.622685184999999919e+00,4.609964735999999874e+01,1.000000000000000000e+00
2.313073626999999988e+01,1.165430544000000026e+02,8.765355160000000296e+02,1.977499999999999858e+01,9.530555555999999484e+00,2.146826157419999959e+01,1.000000000000000000e+00
2.266217242999999826e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.435833332999999357e+01,1.077777777999999920e+01,2.171691464419999917e+01,1.000000000000000000e+00
2.085523846999999975e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.213333332999999925e+01,5.143981480999999967e+00,3.518216882499999798e+01,1.000000000000000000e+00
2.118409817999999945e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.726666667000000643e+01,1.062175925999999926e+01,2.080065970000000064e+01,1.000000000000000000e+00
2.267010458000000028e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.887500000000000000e+01,7.995370369999999838e+00,3.169474814419999831e+01,1.000000000000000000e+00
2.198663209000000052e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.726666666999999933e+01,-3.622685184999999919e+00,4.609964735999999874e+01,1.000000000000000000e+00
1.931563111000000177e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.571666666999999507e+01,1.382407407000000088e+00,2.937646877830000136e+01,1.000000000000000000e+00
2.139468984999999890e+01,5.120537328999999716e+01,4.975992931999999591e+00,7.976666667000000643e+01,7.906018517999999773e+00,2.232837084670000038e+01,0.000000000000000000e+00
2.270255184000000170e+01,2.834853988000000058e+01,7.590206062000000031e+01,6.150833332999999925e+01,-8.639351852000000775e+00,6.318119189829999982e+01,1.000000000000000000e+00
2.247305036999999928e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.974166667000000075e+01,1.293888888999999942e+01,2.333088678749999900e+01,0.000000000000000000e+00
2.221550885999999991e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.289166667000000643e+01,8.843055555999999484e+00,3.164388167079999903e+01,1.000000000000000000e+00
1.970219511999999895e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.577499999999999858e+01,5.002777777999999564e+00,2.351213668249999955e+01,1.000000000000000000e+00
2.165719354999999879e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.747499999999999432e+01,1.762499999999999956e+00,3.470753309829999722e+01,1.000000000000000000e+00
