# # cmbedY,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode,mullInsulationThickness,mullMetalConductivity,intMass,mullSurfaceArea,elecEquipDensityAll,infilRate
1.661905046311030176e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.409166666999999507e+01,-8.425925925999999677e+00,3.784703190750000346e+01,1.000000000000000000e+00,3.948192358533024991e-03,3.026203526786280236e+02,2.046863732064060741e+02,1.427911726022262906e+00,5.300756078253394676e+00,1.615052249005769214e-01
2.167245576491560044e+01,8.392427383000000418e+01,7.696254799999999174e-02,9.740000000000000568e+01,1.075231480999999967e+01,3.309430776880000025e+01,7.500000000000000000e-01,3.103215433771063219e-03,3.337036463983204726e+02,9.085123166765688438e+02,1.615350082314369828e+00,1.098826597404784700e+01,1.528236034824205503e-01
2.278505904782959846e+01,2.977426053000000294e+00,5.956168259999999881e-01,8.094166667000000359e+01,2.186111110999999774e+00,5.564285129670000174e+01,1.000000000000000000e+00,1.073398532483167949e-03,3.240619831196445375e+02,7.116467737029744285e+02,1.329648284580795092e+00,3.016973617757175319e+01,2.339608900416844384e-01
1.877917964280920060e+01,9.290675518999999838e+01,1.906985248000000022e+00,6.831666667000000359e+01,3.624999999999999889e-01,4.121121694420000381e+01,1.000000000000000000e+00,4.986967650115023583e-03,3.574600010234216825e+02,2.480369313994251002e+02,1.326024819956507006e+00,2.262260457260801871e+01,1.650461487578761266e-01
2.207683784059939924e+01,5.922498967000000114e+00,2.093747133999999832e+01,7.682500000000000284e+01,-3.824537036999999806e+00,5.667744041579999958e+01,1.000000000000000000e+00,1.464534701275512461e-03,2.210373581038128918e+02,2.013358993664045329e+02,1.663630151882926178e+00,3.467582638613069435e+01,3.252222421115961992e-02
2.274360211302450097e+01,1.574966512999999964e+02,2.518578378999999856e+01,7.043333332999999641e+01,2.265277778000000186e+00,4.006905851670000374e+01,1.000000000000000000e+00,3.072902662501180836e-03,1.538513269685658997e+02,7.422392049184762755e+02,1.484924201353555517e+00,1.565056816718328214e+01,2.343774543665205212e-01
2.535140898521499864e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.947500000000000142e+01,6.454166667000000857e+00,2.955213223920000232e+01,1.000000000000000000e+00,3.394909976302857776e-03,2.559790298580524848e+02,7.875323437885336944e+02,1.701485992552692839e+00,4.668900095972997377e+01,1.575198451688873680e-01
1.269432767615760049e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.488333332999999925e+01,-4.021759258999999531e+00,3.036224738329999795e+01,1.000000000000000000e+00,3.738176727835463512e-03,8.921427736032292444e+01,4.366524681979383331e+02,1.454551128311009744e+00,1.505553666744493313e+01,8.802387193565365531e-02
2.409682253939969954e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.614166667000000643e+01,8.564814820000000717e-01,3.593577679669999725e+01,1.000000000000000000e+00,3.026437752340316659e-03,1.071123193403137748e+02,6.776637469027416500e+02,1.687751782908740061e+00,4.567938777713596465e+01,1.326240305613263226e-01
2.191389713822880125e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.292499999999999716e+01,6.485185184999999741e+00,3.155499198669999927e+01,1.000000000000000000e+00,1.414983392149595865e-03,2.582269524070748616e+02,7.056434749852917321e+02,1.305512625385655712e+00,2.450820172070361735e+01,1.397277971207858960e-01
2.246723709655369916e+01,2.288332420000000145e+00,1.379543091999999804e+00,8.515000000000000568e+01,-8.659259259000000597e+00,5.990702259169999877e+01,1.000000000000000000e+00,2.791686170390166206e-03,1.666094217036198302e+02,6.951573034884686422e+02,1.572144913355831175e+00,4.748954416904500420e+01,6.266082911402058586e-02
2.216308100252850011e+01,9.737270349000000635e+01,5.630763201000000606e+00,4.781666666999999649e+01,1.874444443999999876e+01,2.356190833420000175e+01,0.000000000000000000e+00,1.319493244097313901e-03,9.676444219137479763e+01,9.714399617068226007e+02,1.666496382468272808e+00,6.212089155973570698e+00,1.531023581499773578e-01
2.438196297027710102e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.695000000000000284e+01,1.536111110999999951e+01,2.397532936920000068e+01,0.000000000000000000e+00,2.664177782246127460e-03,8.727218941029536836e+01,2.604158456231636478e+02,1.718848512471425449e+00,3.756974304607766868e+01,1.369798255245330276e-01
2.155436449973970170e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.969166667000000359e+01,-1.038888889000000093e+00,3.959180277829999994e+01,1.000000000000000000e+00,4.503005345635144666e-03,1.969600805575259130e+02,4.035077376591939355e+02,1.543035188409931813e+00,4.852803846109745933e+01,2.197708505446022142e-01
