# iwNorthAvgTemp,heatEnergy,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode,mullInsulationThickness,mullMetalConductivity,intMass,mullSurfaceArea,elecEquipDensityAll,infilRate
2.506321460148319957e+01,4.559791008626449837e+01,2.134922756999999649e+02,4.912721026999999907e+01,6.365833332999999783e+01,-4.138425926000000032e+00,4.686416166669999939e+01,1.000000000000000000e+00,3.394909976302857776e-03,2.559790298580524848e+02,7.875323437885336944e+02,1.701485992552692839e+00,4.668900095972997377e+01,1.575198451688873680e-01
1.914980568784509884e+01,1.481153144201850047e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.689166667000000643e+01,3.075925926000000032e+00,3.773189273669999722e+01,1.000000000000000000e+00,2.442146968924645018e-03,3.823939782107412384e+02,5.165724772709274930e+02,1.271134687414538167e+00,1.239625789249068433e+01,2.755838822690377943e-01
2.434190487608900000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.793333332999999641e+01,1.550555555999999946e+01,2.415195694499999846e+01,0.000000000000000000e+00,1.652180970248856139e-03,1.227149135273749323e+02,8.317777904642608746e+02,1.596962001527432395e+00,3.070621917782193577e+01,2.848908689053800680e-01
2.119891553464919909e+01,2.749141466465719930e+01,2.620538204000000064e+02,3.947421583999999939e+02,5.126666666999999933e+01,-4.233796296000000403e+00,3.389555417999999776e+01,1.000000000000000000e+00,3.598784762460672561e-03,2.079923735990474256e+02,3.583747997685472910e+02,1.452687260167613292e+00,2.230587372683722336e+01,1.397553343235263465e-02
2.349631238274330158e+01,1.601638522896299932e+01,9.007836763999999619e+01,8.715564006000000745e+02,5.409166667000000217e+01,-3.167592593000000178e+00,3.257350997169999829e+01,1.000000000000000000e+00,4.850825318694952822e-03,3.551934663804802312e+02,6.239671583331792135e+02,1.573132562486869945e+00,2.315305286225503067e+01,1.311594877967690309e-01
1.868980824383340078e+01,2.609085762454419921e+01,3.810744351999999679e+01,6.225724169000000074e+02,4.565833332999999783e+01,2.270370370000000193e+00,3.892951546249999950e+01,1.000000000000000000e+00,3.774485552575196270e-03,9.300520712248192012e+01,9.805437216133780112e+02,1.321000790888084531e+00,1.373837246454611005e+01,2.841480570188824051e-01
1.863745522292089873e+01,4.149720366245220049e+01,6.661261801999999932e+01,1.231271966999999989e+01,8.466666666999999791e+01,3.592592589999999975e-01,6.518573930499999847e+01,1.000000000000000000e+00,3.287825422885637394e-03,1.354667583457443243e+02,8.409463912129718892e+02,1.215770486531248196e+00,1.385550174958557967e+01,2.447301085770640372e-01
2.026057593566629933e+01,0.000000000000000000e+00,1.727336740999999876e+01,1.380398961999999896e+00,5.594166666999999649e+01,1.102592592999999965e+01,2.152170370829999868e+01,0.000000000000000000e+00,2.732291664522577997e-03,3.884844723638805135e+02,6.321578044654133919e+02,1.645484136130256125e+00,1.004795044750069621e+01,1.863098995679945274e-02
1.941551650184419842e+01,2.038545881392149894e+01,1.429633720000000052e-01,7.214057699999999740e-02,9.702500000000000568e+01,-3.495370370000000504e-01,3.009573935079999885e+01,1.000000000000000000e+00,1.222384710535572190e-03,1.582750963322515076e+02,3.706054710880927701e+02,1.252818352601767327e+00,8.619061097243468694e+00,1.765389456555177816e-01
2.338378158308839971e+01,9.225157980766200083e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.673333332999999357e+01,8.406018517999999773e+00,3.428933489920000000e+01,1.000000000000000000e+00,2.148227972308117649e-03,3.293592927466302172e+02,9.338054097551333825e+02,1.202547540485483069e+00,4.941870463087237653e+01,6.634106988422827644e-02
