# iw north average temp C,iw heating energy kWh,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode
2.156059245999999874e+01,2.176096422999999902e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.302500000000000568e+01,2.150462963000000283e+00,3.540374299500000177e+01,1.000000000000000000e+00
2.167902939000000018e+01,2.584837428999999887e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.189999999999999858e+01,-4.398148147999999757e+00,3.459857314749999802e+01,1.000000000000000000e+00
2.373695385999999985e+01,0.000000000000000000e+00,2.700786258999999632e+02,1.072086618000000016e+02,6.171666667000000217e+01,1.743564814999999868e+01,2.286195138420000106e+01,0.000000000000000000e+00
1.886249589000000171e+01,2.281122342999999830e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.881666667000000359e+01,-5.031018518999999856e+00,3.143190371420000062e+01,1.000000000000000000e+00
1.978369722000000053e+01,2.564937158000000039e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.453333333000000493e+01,1.005092592999999868e+00,1.868984876829999919e+01,1.000000000000000000e+00
2.112225151999999895e+01,2.647147043000000011e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.994166667000000359e+01,7.379629629999999718e-01,3.809466921420000318e+01,1.000000000000000000e+00
2.082630264999999881e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.564166667000000643e+01,1.025648147999999971e+01,2.123152155500000049e+01,0.000000000000000000e+00
2.228767064000000175e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.073333332999999357e+01,1.523287037000000055e+01,2.855571963419999904e+01,0.000000000000000000e+00
2.295368759000000125e+01,0.000000000000000000e+00,2.233478321999999707e+02,8.494460100999999952e+01,6.102499999999999858e+01,1.585925925999999997e+01,2.265663173579999778e+01,0.000000000000000000e+00
2.214496515000000088e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.147499999999999432e+01,7.739351852000000420e+00,2.309790555500000053e+01,0.000000000000000000e+00
2.181217274999999844e+01,1.914619041999999993e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.808333333000000209e+01,4.713425926000000210e+00,3.358756338919999962e+01,1.000000000000000000e+00
1.852083525000000108e+01,4.693689158000000106e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.067499999999999716e+01,1.278703703999999997e+00,4.736445402670000249e+01,1.000000000000000000e+00
2.264044735999999958e+01,8.648691928999999945e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.316666666999999791e+01,4.607870369999999660e+00,3.194809426169999966e+01,1.000000000000000000e+00
2.101276395000000008e+01,2.334660944000000171e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.404999999999999716e+01,-2.243981481000000056e+00,3.488435630920000108e+01,1.000000000000000000e+00
1.935709237000000016e+01,7.126065762000000348e+01,6.870366371000000072e+01,6.955408456000000115e+02,6.464166667000000643e+01,-3.855555556000000106e+00,5.593235986079999833e+01,1.000000000000000000e+00
2.340528807999999827e+01,5.998961932999999469e+00,1.761894379999999956e+02,1.693011924000000192e+02,6.441666666999999791e+01,1.315138888999999978e+01,2.852625965749999892e+01,1.000000000000000000e+00
2.085284466999999964e+01,2.970663641999999882e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.167499999999999716e+01,-2.262037036999999806e+00,3.967206777749999702e+01,1.000000000000000000e+00
2.248773577000000046e+01,1.092122406000000012e+01,1.054120620000000059e+02,7.517955736000000115e+02,6.354999999999999716e+01,-5.039351852000000243e+00,3.244493504670000306e+01,1.000000000000000000e+00
1.895471278000000126e+01,4.484529118999999753e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.248333332999999357e+01,-1.233657406999999928e+01,4.927287138919999876e+01,1.000000000000000000e+00
2.054514166999999958e+01,2.378571914999999848e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.659166667000000217e+01,2.023148148000000202e+00,3.507730300499999743e+01,1.000000000000000000e+00
1.964598413999999948e+01,1.569704957999999984e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.435000000000000142e+01,4.124074074000000145e+00,2.843476573170000066e+01,1.000000000000000000e+00
2.213350648999999848e+01,1.868398523999999838e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.101666666999999933e+01,6.023611111000000129e+00,3.272229075999999992e+01,1.000000000000000000e+00
2.217342452000000108e+01,3.522723031999999677e+01,4.419346995000000078e+01,1.382264166999999873e+02,5.642499999999999716e+01,-2.085185184999999830e+00,4.308152995420000053e+01,1.000000000000000000e+00
2.215311539999999724e+01,7.979936708999999517e+00,1.024201024000000046e+02,1.062232611999999961e+02,8.642499999999999716e+01,7.201388888999999516e+00,3.320493546329999646e+01,1.000000000000000000e+00
2.269308737000000065e+01,3.973974494000000135e+01,4.914007720000000745e+01,9.651035780000000175e-01,9.814166667000000643e+01,6.945370371000000098e+00,4.046273235249999800e+01,1.000000000000000000e+00
2.435826400999999919e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.568333332999999641e+01,1.744166667000000004e+01,2.290989213079999942e+01,0.000000000000000000e+00
1.933840299999999957e+01,4.037224020000000357e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.407500000000000284e+01,1.500000000000000000e+00,2.035934146580000004e+01,0.000000000000000000e+00
2.144925113000000039e+01,2.601965842999999978e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.160833333000000067e+01,-2.823148148000000024e+00,3.623580438829999650e+01,1.000000000000000000e+00
2.143817483999999851e+01,4.950129287000000033e+01,1.987619941000000168e+01,3.576020007999999848e+02,9.272499999999999432e+01,5.281018517999999773e+00,4.840252314829999847e+01,1.000000000000000000e+00
1.877743283999999946e+01,8.418333101000000340e+01,5.075218499000000349e+01,3.533710056000000321e+01,7.016666666999999791e+01,-5.879629630000000162e+00,5.776109689750000342e+01,1.000000000000000000e+00
2.132591443999999825e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.963333332999999925e+01,1.017129629999999985e+01,2.102808793579999858e+01,0.000000000000000000e+00
2.331470111000000145e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.503333333000000493e+01,1.399768519000000033e+01,2.360670141670000177e+01,0.000000000000000000e+00
2.165209738000000073e+01,5.483989283999999742e+01,1.757423760000000001e+00,1.081847581999999903e+02,4.912500000000000000e+01,-3.573148148000000024e+00,5.289660606329999837e+01,1.000000000000000000e+00
2.114239321999999888e+01,2.592720303000000115e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.046666666999999507e+01,3.549999999999999822e+00,3.781142017670000399e+01,1.000000000000000000e+00
2.073518583999999976e+01,2.853125091000000069e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.945833333000000209e+01,-1.630092593000000090e+00,3.955070439749999878e+01,1.000000000000000000e+00
2.267659560999999968e+01,3.354717119000000025e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.429999999999999716e+01,4.604166667000000324e+00,3.958413923919999888e+01,1.000000000000000000e+00
2.459903852000000057e+01,0.000000000000000000e+00,2.053400428000000204e+02,4.155360621000000378e+02,5.931666666999999649e+01,2.043101851999999852e+01,2.367320120420000151e+01,0.000000000000000000e+00
1.953342148000000122e+01,1.166213484999999928e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.624166667000000075e+01,4.849537037000000161e+00,2.513340559579999933e+01,1.000000000000000000e+00
2.328214901999999853e+01,1.267352628999999986e+01,1.609267102000000023e+02,1.643949540000000127e+02,7.934166666999999507e+01,6.366666667000000501e+00,3.244404056919999846e+01,1.000000000000000000e+00
2.181217274999999844e+01,1.914619041999999993e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.808333333000000209e+01,4.713425926000000210e+00,3.358756338919999962e+01,1.000000000000000000e+00
2.175900985000000176e+01,6.671513219000000561e+01,6.971554514999999697e+01,7.401927779000000100e+02,6.444166667000000359e+01,-5.755555556000000017e+00,6.618247013830000469e+01,1.000000000000000000e+00
1.829473317000000065e+01,2.803417551000000074e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.104166666999999791e+01,-7.859259258999999886e+00,3.448393941169999977e+01,1.000000000000000000e+00
2.068919327000000052e+01,1.924084337000000033e+01,7.395991886999999565e+01,1.124657250000000025e-01,9.422499999999999432e+01,5.851851852000000243e+00,2.985037889920000254e+01,1.000000000000000000e+00
2.119642238000000134e+01,2.408179746000000065e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.175000000000000000e+01,1.824074074000000101e+00,3.692718911419999728e+01,1.000000000000000000e+00
2.256945514999999958e+01,2.949517871000000113e+01,2.447698343000000420e+02,8.974845700999999565e+01,6.128333332999999783e+01,1.262037037000000028e+00,4.270665277919999880e+01,1.000000000000000000e+00
2.196695894000000138e+01,1.514591689000000052e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.651666667000000643e+01,8.621296296000000581e+00,3.068442250500000057e+01,1.000000000000000000e+00
2.312155862999999911e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.771666666999999507e+01,1.297083332999999961e+01,2.349632427330000084e+01,0.000000000000000000e+00
2.231381809000000160e+01,1.709935176000000112e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.967499999999999716e+01,3.940277778000000009e+00,3.209895649500000303e+01,1.000000000000000000e+00
2.252585819000000100e+01,2.346676052000000112e+01,1.244118886999999951e+01,1.240225893000000079e+00,8.424166667000000075e+01,8.928240740999999758e+00,3.697503193920000086e+01,1.000000000000000000e+00
