# # cmbedY,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode
0.000000000000000000e+00,5.626506822999999713e+00,1.464818729000000097e+00,9.594166667000000359e+01,1.361481481000000038e+01,2.419108450079999884e+01,0.000000000000000000e+00
2.237936055000000124e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.306666667000000359e+01,1.717592593000000223e+00,3.473589300919999800e+01,1.000000000000000000e+00
0.000000000000000000e+00,5.626506822999999713e+00,1.464818729000000097e+00,9.594166667000000359e+01,1.361481481000000038e+01,2.419108450079999884e+01,0.000000000000000000e+00
2.660483577000000111e+01,1.309767831000000058e+02,4.664020804999999825e+01,6.474166667000000075e+01,2.170833333000000032e+00,4.225617162169999830e+01,1.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.329999999999999716e+01,9.370833333000000209e+00,2.296816156079999871e+01,0.000000000000000000e+00
2.285154639999999659e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.003333333000000493e+01,4.617129629999999985e+00,4.502304999829999588e+01,1.000000000000000000e+00
2.245692522999999952e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.108333333000000209e+01,1.045138889000000049e+01,2.989023450830000073e+01,9.166666666999999658e-01
0.000000000000000000e+00,8.132915884999999889e+01,6.456659667000000269e+00,8.099166667000000075e+01,1.687962963000000016e+01,2.154001413419999977e+01,0.000000000000000000e+00
2.888765155000000195e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.104166666999999791e+01,1.410648147999999935e+01,2.283184953749999835e+01,1.000000000000000000e+00
2.293064477000000068e+01,1.213444379999999825e+02,5.083300386999999887e+02,6.412500000000000000e+01,1.535185185000000008e+00,3.373847330579999948e+01,1.000000000000000000e+00
1.434034669000000051e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.480833332999999641e+01,8.289351852000001131e+00,3.056202963079999790e+01,1.000000000000000000e+00
2.994068890999999866e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.158333333000000209e+01,-2.845370371000000453e+00,3.928427388920000141e+01,1.000000000000000000e+00
1.912807568999999930e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.534166666999999507e+01,-1.198564814999999939e+01,4.796845972250000045e+01,1.000000000000000000e+00
1.845154992000000149e+01,3.178632663000000136e+01,6.450183130000000098e-01,7.734166666999999507e+01,1.186527777999999955e+01,2.807640069500000024e+01,4.166666667000000213e-01
2.280042953999999966e+01,1.596769361000000060e+02,1.162519104000000070e+01,7.041666666999999791e+01,9.281944445000000599e+00,2.135108851500000071e+01,1.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.940833333000000493e+01,1.559444444000000018e+01,2.439449842670000024e+01,0.000000000000000000e+00
2.133488599000000008e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.740000000000000568e+01,2.118981481000000056e+00,3.582768033330000179e+01,1.000000000000000000e+00
2.115975450000000180e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.143333333000000351e+01,-4.674537036999999451e+00,3.666641226830000022e+01,1.000000000000000000e+00
6.533655122999999776e+01,1.194968080000000099e-01,7.450026199999999765e-02,9.812500000000000000e+01,7.928703704000000130e+00,5.513355361250000186e+01,1.000000000000000000e+00
3.187067628999999958e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.817499999999999716e+01,-1.996296295999999915e+00,1.997676213420000124e+01,1.000000000000000000e+00
2.145797728000000149e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.747499999999999432e+01,5.247685184999999919e+00,3.330035740830000179e+01,1.000000000000000000e+00
0.000000000000000000e+00,8.426822287999999617e+01,7.684577596000000312e+02,3.759166667000000217e+01,1.705555555999999839e+01,2.234725786999999997e+01,0.000000000000000000e+00
