# # cmbedY,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode,mullInsulationThickness,mullMetalConductivity,intMass,mullSurfaceArea,elecEquipDensityAll,infilRate
1.393796640700169931e+01,1.796820404000000053e+02,1.031689969999999903e+02,5.214999999999999858e+01,6.785648147999999935e+00,3.314042111580000238e+01,1.000000000000000000e+00,2.187778060634124055e-03,2.399363089129870161e+02,5.831858993571114524e+02,1.496751368299487739e+00,3.525906914521466717e+01,6.065327959054317430e-02
2.495524613560629845e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.440833333000000493e+01,-8.166666670000000128e-01,3.272894676079999954e+01,1.000000000000000000e+00,1.573997601243300962e-03,1.628455563241914490e+02,2.909861758592584238e+02,1.130110830822913748e+00,3.871191818459356426e+01,4.926294115430002174e-02
9.997446836092549916e+00,2.399663341000000116e+01,2.391511819000000205e+00,7.648333332999999357e+01,4.319907406999999644e+00,3.441699579170000334e+01,1.000000000000000000e+00,2.507955965598752078e-03,3.055450851443755482e+02,7.637645662007150804e+02,1.390745759931939496e+00,1.932381745323666422e+01,1.272593005666126931e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.944166667000000359e+01,1.301574074000000003e+01,2.295926276830000035e+01,0.000000000000000000e+00,2.664177782246127460e-03,8.727218941029536836e+01,2.604158456231636478e+02,1.718848512471425449e+00,3.756974304607766868e+01,1.369798255245330276e-01
9.222903648524509279e+00,1.062383588000000003e+02,7.241157742000000326e+02,6.452500000000000568e+01,5.368055555999999839e+00,2.752702981079999844e+01,1.000000000000000000e+00,4.277125285719356705e-03,9.894197690229496800e+01,7.942137711747543563e+02,1.631949256656839653e+00,2.349844276046269442e+01,2.889296765628230901e-01
2.192177940063900010e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.264166666999999933e+01,-3.898148149999999812e-01,3.268285436000000033e+01,1.000000000000000000e+00,1.565706584075640326e-03,3.466586393804852833e+02,7.343438372363641520e+02,1.424851511127184001e+00,9.700943018719907940e+00,1.761705322516271890e-02
0.000000000000000000e+00,3.339158051000000569e+02,2.470655658999999957e+02,6.081666666999999649e+01,1.881620369999999909e+01,2.452255833250000094e+01,0.000000000000000000e+00,4.573893489634754499e-03,3.742844404784396488e+02,9.683250554640773089e+02,1.707612977628758300e+00,2.905628420772340093e+01,1.687889428269872261e-01
2.184016346549829990e+01,1.329480943000000082e+02,3.940918734999999629e+02,7.445833333000000209e+01,4.802777778000000275e+00,3.429533944420000324e+01,1.000000000000000000e+00,4.456154190051481861e-03,3.264506714370371583e+02,5.535090777825314490e+02,1.362816243929690252e+00,2.969912791837981558e+01,3.080655196528001016e-02
2.183373817879679990e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.735000000000000142e+01,2.206944443999999894e+00,3.542698194500000142e+01,1.000000000000000000e+00,2.507955965598752078e-03,3.055450851443755482e+02,7.637645662007150804e+02,1.390745759931939496e+00,1.932381745323666422e+01,1.272593005666126931e-01
1.878049550369820153e+01,7.746094195000000582e+01,5.887512197000000214e+01,6.904166666999999791e+01,9.384259259999999658e-01,5.939397013829999850e+01,1.000000000000000000e+00,2.629315525474593216e-03,2.196115707677751345e+02,8.283042498966913172e+02,1.199551786596803060e+00,6.161058059847917434e+00,2.810107246793843716e-01
7.910214454923419680e+00,9.810363775000000430e+01,6.708012940999999785e+01,7.970833333000000209e+01,6.031481481000000144e+00,2.721227963079999768e+01,1.000000000000000000e+00,2.438410310265370484e-03,3.101294887451347222e+02,8.585282366159974572e+02,1.691564799028716370e+00,4.770690092922861680e+01,2.746211201866471385e-01
4.128715491917279934e+01,1.907474731999999733e+02,4.473998595999999850e+01,7.318333332999999641e+01,-4.411574073999999790e+00,4.730527157499999902e+01,1.000000000000000000e+00,2.710260494317996184e-03,3.564322033928339124e+02,3.000132591161612936e+02,1.664373899749695518e+00,3.043729668830946622e+01,1.028484053020957585e-02
0.000000000000000000e+00,9.010903524999999803e+00,4.802988470000000376e+01,5.913333332999999925e+01,1.934305555999999982e+01,2.470769653829999868e+01,0.000000000000000000e+00,4.675822760085586102e-03,8.456525584961391928e+01,7.014761529278114267e+02,1.475932571721718878e+00,9.587621012684643063e+00,2.008154379941252676e-01
2.620955507841949839e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.440833333000000493e+01,-8.166666670000000128e-01,3.272894676079999954e+01,1.000000000000000000e+00,1.369895070731332563e-03,1.476970469684061982e+02,5.283287792425419411e+02,1.501744504539866742e+00,4.821367979178583596e+01,3.177450116836207095e-02
1.813251494235520056e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.054166666999999791e+01,4.256018518000000306e+00,3.554058611079999963e+01,1.000000000000000000e+00,2.909894403578697913e-03,3.490775527559866873e+02,3.270159764887782785e+02,1.465162575254370436e+00,1.597371830172485119e+01,1.289223093165962064e-01
1.923578530800180175e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.322499999999999432e+01,4.589814815000000436e+00,3.451297389500000179e+01,1.000000000000000000e+00,3.419628284425757763e-03,2.358612637929725508e+02,4.770447403467093750e+02,1.684897460507028377e+00,3.385090009187126014e+01,2.438144755572166089e-01
1.966982010803889835e+01,2.124919170999999949e+02,5.910629711000000270e+02,5.267499999999999716e+01,-4.999537036999999629e+00,2.559597150500000140e+01,1.000000000000000000e+00,1.181768410959445001e-03,3.126493259111981615e+02,8.975029010639540274e+02,1.581242640456729021e+00,1.747228541327225315e+01,2.494912654732309165e-01
2.157109694870209893e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.623333333000000067e+01,2.792129629999999807e+00,2.138628047750000150e+01,1.000000000000000000e+00,1.932501024881124168e-03,3.928218165891988178e+02,4.128007210537087417e+02,1.399186172402234085e+00,4.425499378172946052e+01,2.602182466285899443e-01
2.293465905429879825e+01,2.768542857999999995e+00,5.851132679999999642e-01,7.554999999999999716e+01,7.827314815000000259e+00,3.816509423250000310e+01,1.000000000000000000e+00,4.850825318694952822e-03,3.551934663804802312e+02,6.239671583331792135e+02,1.573132562486869945e+00,2.315305286225503067e+01,1.311594877967690309e-01
0.000000000000000000e+00,9.179880516000000057e+01,3.250491249999999943e-01,9.055833332999999641e+01,1.301620370000000015e+01,2.328795509669999930e+01,0.000000000000000000e+00,2.811248632831303551e-03,1.860515748558801761e+02,8.060939922901683303e+02,1.626049146236693499e+00,2.163435228395905341e+01,2.154713633176289778e-01
2.748170188718179929e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.492499999999999716e+01,1.509259259000000064e+01,2.416317685250000125e+01,0.000000000000000000e+00,4.886562963357326747e-03,3.346073801362610993e+02,3.652681516992344086e+02,1.634019932262642527e+00,4.598523469687538778e+01,5.984173475346621363e-02
1.514719452551839929e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.900833332999999925e+01,-8.187037036999999629e+00,3.223048521169999958e+01,1.000000000000000000e+00,3.531946939555875593e-03,3.677244982498125978e+02,6.549486991152982682e+02,1.382172781828908903e+00,3.826653327129484694e+01,7.823042429720233892e-02
4.538452766137019978e+01,1.664234254999999862e+01,1.237933704000000024e+00,4.735000000000000142e+01,2.917592593000000178e+00,5.769103310250000050e+01,1.000000000000000000e+00,3.691271429480739909e-03,3.659560578231645991e+02,5.995654102419734954e+02,1.614072423406202716e+00,4.581248620543513539e+01,1.807121029384002320e-01
