EST,iw north average temp C,iw heating energy J,,,,
5/01/2017 22:00,21.76592837,88070662.656,,,,
5/01/2017 23:00,21.14020222,101358400.392,,,,
6/01/2017 0:00,20.72782687,111202142.724,,,,
6/01/2017 1:00,20.42947028,120096750.888,,,,
6/01/2017 2:00,20.30235301,119347091.712,,,,
6/01/2017 3:00,20.1003529,127055896.848,,,,
6/01/2017 4:00,19.93443888,131544069.552,,,,
6/01/2017 5:00,19.79059927,137099671.308,,,,
6/01/2017 6:00,19.61946809,137472676.668,,,,
6/01/2017 7:00,19.49449496,145124825.508,,,,
6/01/2017 8:00,19.63645181,276451851.888,,,,
6/01/2017 9:00,20.50265179,257708399.364,,,,
6/01/2017 10:00,21.62065358,229099909.824,,,,
6/01/2017 11:00,22.65508241,148244588.1,,,,
6/01/2017 12:00,22.65048747,108669938.22,,,,
6/01/2017 13:00,22.64421272,88371340.092,,,,
6/01/2017 14:00,22.64031409,186413727.672,,,,
6/01/2017 15:00,22.91983646,159231072.456,,,,
6/01/2017 16:00,22.81664524,149333880.852,,,,
6/01/2017 17:00,22.62269262,256527602.28,,,,
6/01/2017 18:00,22.76964146,175283720.964,,,,
6/01/2017 19:00,22.78640657,226636021.008,,,,
6/01/2017 20:00,22.7900603,201754059.372,,,,
6/01/2017 21:00,22.49237002,21166339.518,,,,
6/01/2017 22:00,21.42847052,99006488.388,,,,
6/01/2017 23:00,20.69766164,119391341.688,,,,
7/01/2017 0:00,20.21183592,127199106.9,,,,
7/01/2017 1:00,19.90202523,139087295.64,,,,
7/01/2017 2:00,19.70890022,143977902.696,,,,
7/01/2017 3:00,19.55530601,146861435.808,,,,
7/01/2017 4:00,19.44563531,146615484.564,,,,
7/01/2017 5:00,19.34035139,151875880.596,,,,
7/01/2017 6:00,19.2543313,154902661.344,,,,
7/01/2017 7:00,19.21837716,152318669.976,,,,
7/01/2017 8:00,19.18627364,161589798.648,,,,
7/01/2017 9:00,19.49686436,288707895.648,,,,
7/01/2017 10:00,20.53785634,248395552.848,,,,
7/01/2017 11:00,21.72874611,232457420.808,,,,
7/01/2017 12:00,22.82107201,131609794.932,,,,
7/01/2017 13:00,22.83829382,129585234.6,,,,
7/01/2017 14:00,22.64840548,243361680.588,,,,
7/01/2017 15:00,22.75329829,168733209.528,,,,
7/01/2017 16:00,22.83242969,164593513.008,,,,
7/01/2017 17:00,22.70255184,271342556.964,,,,
7/01/2017 18:00,22.79599772,182761517.628,,,,
7/01/2017 19:00,22.57611732,262928118.168,,,,
7/01/2017 20:00,22.30019726,23073023.7432,,,,
