Date/Time,EMS:IW North Zone Average Temperature [C](TimeStep),EMS:IW Calculated Heating Demand [KW](TimeStep) 
 01/09  14:00:00,20.2247282773192,55.3773473780234 
 01/09  15:00:00,20.5719650775933,53.5125418370577 
 01/09  16:00:00,21.0691363828343,52.845748049955 
 01/09  17:00:00,21.5335107235655,52.4565556015904 
 01/09  18:00:00,21.8482644266201,49.0483795023649 
 01/09  19:00:00,22.0055949592967,46.4646946269827 
 01/09  20:00:00,21.9443964281098,45.3548079445201 
 01/09  21:00:00,21.8307067383949,35.6343361734537 
 01/09  22:00:00,21.6948282858925,32.749529976087 
 01/09  23:00:00,21.5193567852461,30.2062828972468 
 01/09  24:00:00,21.3258967761117,28.7534060485051 
 01/10  01:00:00,21.1064925077251,27.7704654964322 
 01/10  02:00:00,20.8693692991597,26.2934407600832 
 01/10  03:00:00,20.6291519622261,24.7524966807303 
 01/10  04:00:00,20.3963247747116,34.1812384240665 
 01/10  05:00:00,20.288934095797,34.6497631189405 
 01/10  06:00:00,20.3057510044503,36.5801750677162 
 01/10  07:00:00,20.3565933017449,37.2641769114139 
 01/10  08:00:00,20.3757356599321,46.6768754468119 
 01/10  09:00:00,20.3978428293719,54.3789036080598 
 01/10  10:00:00,20.6284398750783,52.6509423601126 
 01/10  11:00:00,20.9281730046854,51.6098098218722 
 01/10  12:00:00,21.2448965132234,51.4831601281738 
 01/10  13:00:00,21.5657625808572,51.3068897780512 
 01/10  14:00:00,21.8652304432743,47.1022784092111 
 01/10  15:00:00,22.1154993204938,43.6284551950155 
 01/10  16:00:00,22.2485861421038,41.2807429740612 
 01/10  17:00:00,22.3352421626735,37.8916875613266 
 01/10  18:00:00,22.4217324731679,30.1420463767527 
 01/10  19:00:00,22.4148568749716,28.5488499154473 
 01/10  20:00:00,22.3957638860139,27.9803275843602 
 01/10  21:00:00,22.3722042062087,22.649499780001 
 01/10  22:00:00,22.3455762376017,20.1800816721004 
 01/10  23:00:00,22.3056999885726,18.6768756008838 
 01/10  24:00:00,22.2624608773754,17.5514758498331 
 01/11  01:00:00,22.2002195875502,17.4275565207413 
 01/11  02:00:00,22.134509516798,16.9707879852741 
 01/11  03:00:00,22.0782169273137,16.1944352331707 
 01/11  04:00:00,22.0082910180677,15.6504815980588 
 01/11  05:00:00,21.9290819782414,15.42574357674 
 01/11  06:00:00,21.8348518584851,14.598945102125 
 01/11  07:00:00,21.721077423428,14.4467116058496 
 01/11  08:00:00,21.591103451133,17.9771080449129 
 01/11  09:00:00,21.4490582318713,27.802195341194 
 01/11  10:00:00,21.3890994197135,46.6163570402891 
 01/11  11:00:00,21.6774794476447,48.9774670114392 
 01/11  12:00:00,22.1924877729645,42.0807270176317 
 01/11  13:00:00,22.9476113529561,37.7900936659757 
 01/11  14:00:00,23.5120722257671,0.0 
 01/11  15:00:00,23.0536140791376,0.0 
 01/11  16:00:00,22.5637001948828,0.0 
 01/11  17:00:00,22.3434430226885,0.0 
 01/11  18:00:00,22.1624293016633,0.0 
 01/11  19:00:00,21.9761209230348,0.0 
 01/11  20:00:00,21.7558600698676,0.0 
 01/11  21:00:00,21.5027331424719,38.7060002080954 
 01/11  22:00:00,21.9491491775064,29.6495331064682 
 01/11  23:00:00,22.4851192285184,0.0 
 01/11  24:00:00,22.3121613628535,0.0 
 01/12  01:00:00,21.9867945483415,0.0 
 01/12  02:00:00,21.7934014324169,0.0 
 01/12  03:00:00,21.6897999374999,0.0 
