# # iw north average temp C,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode
2.294179051000000058e+01,1.471180908999999986e+02,2.775978241000000253e+02,6.941666666999999791e+01,1.386111110999999951e+00,3.256837052249999687e+01,1.000000000000000000e+00
2.220040131000000017e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.644166667000000359e+01,8.986574073999999968e+00,2.923655417499999842e+01,1.000000000000000000e+00
2.273953719000000007e+01,1.570842538000000275e+02,4.982880943000000116e+02,6.153333332999999783e+01,8.620304125000000539e+00,3.029805856830000010e+01,1.000000000000000000e+00
2.024435851000000142e+01,4.604755673999999743e+01,3.095908831000000418e+02,4.900000000000000000e+01,7.178240741000000646e+00,5.398854000080000048e+01,1.000000000000000000e+00
2.266400932999999895e+01,7.283905382000000372e+01,7.111055724999999939e+00,5.814166666999999933e+01,3.648148150000000145e-01,4.173396574000000214e+01,1.000000000000000000e+00
1.944563531000000012e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.248333332999999357e+01,-1.159259259000000064e+01,4.643710842670000005e+01,1.000000000000000000e+00
1.834928878999999924e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.476500000000000057e+01,-6.555185185000000025e+00,3.476114371250000090e+01,1.000000000000000000e+00
2.149421162000000152e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.013333332999999925e+01,4.111111111000000484e+00,3.617325430670000230e+01,1.000000000000000000e+00
2.280939937000000128e+01,1.158655700999999851e+02,5.064806575000000421e+00,6.699166667000000075e+01,2.193055556000000017e+00,3.981819546330000037e+01,1.000000000000000000e+00
2.216095723000000106e+01,3.425027224000000103e+01,1.050650528999999977e+01,7.769166667000000359e+01,4.924999999999999822e+00,3.471652306420000400e+01,0.000000000000000000e+00
1.892691020999999907e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.797499999999999432e+01,2.179629629999999985e+00,3.101308656169999978e+01,1.000000000000000000e+00
