# # iwNorthAvgTemp,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode,elecEquipDensityHigh,elecEquipDensityLow,mullMetalConductivity,intMass,infilRate
2.351990075658680013e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.629166666999999791e+01,4.555555555999999839e+00,3.480291537080000097e+01,1.000000000000000000e+00,2.804769945957122346e+01,1.849340329290389207e+01,9.136139185389004069e+01,9.111916143137042354e+02,1.011045869129422042e-01
1.933662080555719953e+01,2.005831014000000039e+02,5.588099053999999910e+01,4.948333333000000067e+01,-1.203240740999999892e+00,3.185425017580000073e+01,1.000000000000000000e+00,2.790450592348051373e+01,1.183684008092827611e+01,3.554196895539138268e+02,3.279972519100223280e+02,2.280137920976218480e-01
2.228940393712380086e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.179166666999999791e+01,7.277314815000000436e+00,2.100302851500000045e+01,1.000000000000000000e+00,2.385549733131125549e+01,8.769543410314746268e+00,3.043853628063327506e+02,2.041288907276003783e+02,1.442438660509042514e-01
2.191838504806329979e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.392499999999999716e+01,-1.166759258999999993e+01,4.580538680499999771e+01,1.000000000000000000e+00,3.319177118915628455e+01,1.154033864790955732e+01,9.668562277139366756e+01,9.343590189021110746e+02,9.258990699561381321e-02
2.634565150414600154e+01,9.566227301000000693e+01,7.636917427000000202e+00,7.567499999999999716e+01,1.830879630000000091e+01,2.158899024420000146e+01,0.000000000000000000e+00,3.116662982223078160e+01,2.242658519772458803e+01,2.269948709487964607e+02,3.587027865537920661e+02,4.500197632936601272e-02
2.146687942376760105e+01,1.506469819999999848e-01,6.989841099999999363e-02,8.341666666999999791e+01,9.496296296000000581e+00,3.427188472329999769e+01,1.000000000000000000e+00,4.168945132171922552e+01,1.195527685826422015e+01,2.443510120371652192e+02,2.299523892465525989e+02,1.823844600294494411e-01
2.216093761636189896e+01,1.311637019999999865e+01,8.591388152999998695e+00,7.051666667000000643e+01,-1.842129630000000073e+00,4.382502449079999707e+01,1.000000000000000000e+00,4.666601078825887328e+01,7.903270405591321435e+00,1.994027941181311405e+02,4.285787006381185051e+02,2.883864193052478320e-01
2.376401909525040068e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.659999999999999432e+01,1.694675926000000032e+01,2.165458766080000075e+01,0.000000000000000000e+00,4.560259688201992390e+01,1.969164247987468030e+01,2.552501508862105482e+02,7.232980935462296657e+02,1.796760084987148454e-01
2.302428714551389888e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.732500000000000284e+01,1.003611111000000022e+01,3.636722866249999697e+01,1.000000000000000000e+00,2.896603540044174707e+01,1.380705889725091140e+01,1.718847970965365448e+02,5.379191887268545997e+02,1.763243399154135194e-01
2.178914013541620065e+01,1.096413059000000061e+02,7.591077728999999863e+02,5.695000000000000284e+01,2.700462963000000105e+00,3.418274267670000199e+01,1.000000000000000000e+00,2.063126714227496095e+01,1.192677393291905119e+01,1.300601354359017137e+02,3.213055462263546360e+02,2.948506719483317551e-01
2.372649603798669915e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.353333332999999783e+01,-3.399999999999999911e+00,2.581124193420000168e+01,1.000000000000000000e+00,3.865435419026186992e+01,7.795387268616559062e+00,2.677818079725165603e+02,3.866406878523462183e+02,7.344027968234828618e-02
1.919214082770429997e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.618333332999999641e+01,3.850462963000000016e+00,2.808507731419999942e+01,1.000000000000000000e+00,4.560259688201992390e+01,1.969164247987468030e+01,2.552501508862105482e+02,7.232980935462296657e+02,1.796760084987148454e-01
2.087334884818740122e+01,9.630863629999999453e-01,5.484929029999999761e-01,8.444166667000000359e+01,3.560648148000000290e+00,5.859003629419999726e+01,1.000000000000000000e+00,3.361178924208000751e+01,1.091683661207633804e+01,1.098760498494058737e+02,4.567139305803760863e+02,2.985984020096291158e-01
2.320834187727849951e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.934999999999999432e+01,1.390787036999999948e+01,2.240258956579999960e+01,0.000000000000000000e+00,2.604162431232583685e+01,1.127461317593233403e+01,2.931700797390195703e+02,9.215915182998463706e+02,2.679230118904658842e-02
2.093315703715349940e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.735833332999999357e+01,1.483796295999999959e+00,3.042361088499999866e+01,1.000000000000000000e+00,3.038398246238246969e+01,1.121601887538853148e+01,3.869081339350469193e+02,5.149148786124660546e+02,7.394692919086670591e-02
2.325874622578090012e+01,1.096413059000000061e+02,7.591077728999999863e+02,5.695000000000000284e+01,2.700462963000000105e+00,3.418274267670000199e+01,1.000000000000000000e+00,2.790450592348051373e+01,1.183684008092827611e+01,3.554196895539138268e+02,3.279972519100223280e+02,2.280137920976218480e-01
